ParName   Value   Gradient
theta[3]      14.3807  -0.00134208
theta[11]      9.61836  2.95589e-06
theta[12]      9.62895  1.51764e-06
theta[13]      9.66526  1.75897e-06
theta[14]        9.785  2.33767e-06
theta[15]      10.2234 -5.25765e-06
theta[16]      10.7704  6.25672e-06
theta[17]      11.2081  3.63608e-07
theta[18]      11.4119  1.09052e-06
theta[19]      11.5046  1.34745e-07
theta[20]      11.5408  -2.9398e-06
theta[21]      11.5052 -5.55949e-07
theta[22]      11.2635 -2.51055e-07
theta[23]       10.955 -1.02268e-05
theta[24]      10.6974 -2.14403e-05
theta[25]      10.8304 -2.31775e-05
theta[26]      11.8816 -4.29829e-06
theta[27]      11.3783 -8.58503e-06
theta[28]      10.4044  4.15814e-06
theta[29]      9.34906 -1.06859e-05
theta[30]      8.34807  -5.5844e-06
theta[31]       7.5297  3.92652e-06
theta[32]       7.1365 -4.37044e-06
theta[33]      12.2855 -2.34306e-06
theta[34]      12.4108  1.49598e-06
theta[35]      13.2398 -1.41131e-05
theta[36]      13.7368 -1.89181e-05
theta[37]      13.0536 -1.40085e-05
theta[38]      13.1429 -1.41517e-05
theta[39]      12.8582  -1.5099e-05
theta[40]      12.6187 -1.68537e-05
theta[41]      12.5636 -2.27854e-05
theta[42]      12.0348 -2.37061e-05
theta[43]      11.3661 -2.24503e-05
theta[44]      11.2485  -1.9889e-05
theta[45]      11.3983 -2.06703e-05
theta[46]      10.4843 -1.63921e-05
theta[47]      9.10522 -7.93386e-06
theta[48]      8.04652   6.0689e-06
theta[49]      7.28418 -6.08325e-06
theta[50]      6.75203  1.07476e-06
theta[51]      6.36443 -2.81059e-06
theta[52]      6.07613  1.29847e-07
theta[53]       5.8749 -2.17418e-06
theta[54]         5.77 -1.28407e-07
theta[55]      12.1606  4.81678e-07
theta[56]      12.1807  1.00991e-06
theta[57]      12.2284 -8.79661e-07
theta[58]      12.3686 -7.48832e-07
theta[59]      13.5274 -2.93662e-08
theta[60]      13.5871  9.71152e-06
theta[61]      12.9908  4.80212e-06
theta[62]      12.1529  4.19109e-05
theta[63]       11.026  4.63144e-05
theta[64]      9.97229  1.97858e-05
theta[65]       9.2464  1.33357e-05
theta[66]      8.82746  1.22158e-05
theta[67]      8.62901  3.25861e-06
theta[68]      8.57725 -6.21313e-07
theta[69]       8.4782  5.50511e-06
theta[70]      8.28059  3.06468e-06
theta[71]      8.02459  7.45957e-06
theta[72]      7.76975  6.02515e-07
theta[73]      7.52859  7.31375e-06
theta[74]      7.30029  1.43296e-06
theta[75]      7.14329  2.86488e-06
theta[76]       7.0517  1.07022e-06
theta[77]     -13.8187  1.53202e-06
theta[78]     -13.8699  1.52196e-06
theta[79]     -13.9674 -1.43923e-06
theta[80]     -14.1228 -1.01923e-06
theta[81]     -13.6402 -3.57788e-06
theta[82]     -13.4721  2.38316e-06
theta[83]     -14.5953  5.30396e-06
theta[84]     -15.6152 -1.13759e-06
theta[85]     -16.4218 -8.54977e-07
theta[86]     -17.0488 -5.64105e-07
theta[87]      -17.502 -2.37901e-06
theta[88]     -17.8434 -9.00312e-07
theta[89]     -18.1137  9.05257e-07
theta[90]     -18.3403 -9.50377e-07
theta[91]     -18.5368  1.28293e-07
theta[92]       -18.71  9.05604e-07
theta[93]     -18.8638  6.91354e-07
G_pars_est[1]     0.984917  1.81317e-05
G_pars_est[2]    -0.240991 -4.75368e-05
G_pars_est[4]     -4.81418   0.00013163
G_pars_est[5]    -0.426456 -0.000738126
M_pars_est[1]     0.284797  3.35291e-05
M_pars_est[2]      1.59138 -1.27416e-05
M_pars_est[3]     0.413218  2.13848e-06
M_pars_est[5]    0.0252679  9.74463e-07
M_pars_est[7]      2.34714 -9.98532e-05
M_pars_est[9]      0.26781  0.000121381
M_pars_est[10]    -0.465058 -6.83342e-06
M_pars_est[11]     0.906335  2.85629e-05
M_pars_est[13]            1 -2.46574e-06
M_pars_est[14]      1.66547 -1.49931e-06
M_pars_est[15]      1.09637 -6.96618e-07
S_pars_est[1]      4.66739    0.0006901
S_pars_est[2]      1.67042 -0.000182502
S_pars_est[3]      4.77681  9.97008e-05
S_pars_est[4]      2.38608 -9.06525e-05
S_pars_est[5]     -3.24141 -1.19014e-06
S_pars_est[6]     -2.74468 -1.75427e-06
S_pars_est[7]     -2.28802 -1.71943e-06
S_pars_est[8]     -1.53477 -8.90847e-07
S_pars_est[9]     -1.50679 -1.58797e-06
S_pars_est[10]     -1.32288 -2.92344e-06
S_pars_est[11]     -1.02105 -2.78285e-06
S_pars_est[12]     -1.00256 -2.48206e-07
S_pars_est[13]     -1.12712  1.46575e-06
S_pars_est[14]     -1.09888  2.47518e-06
S_pars_est[15]     -1.03377  -2.1909e-07
