ParName   Value   Gradient
T_pars_est[3]      13.9471 -0.000368384
T_pars_est[11]      9.56557 -6.98887e-07
T_pars_est[12]      9.58092 -4.42346e-07
T_pars_est[13]      9.63431  4.16692e-06
T_pars_est[14]      9.77408 -1.28932e-06
T_pars_est[15]      10.2413  1.00785e-06
T_pars_est[16]      10.8198 -1.29894e-06
T_pars_est[17]      11.2899  2.30293e-06
T_pars_est[18]      11.5008 -6.09774e-07
T_pars_est[19]      11.5588 -1.97011e-06
T_pars_est[20]      11.5532  7.71201e-07
T_pars_est[21]       11.494  7.52969e-07
T_pars_est[22]      11.2392  3.93602e-06
T_pars_est[23]      10.9331  4.92909e-06
T_pars_est[24]       10.683  1.32227e-05
T_pars_est[25]      10.7695  3.06118e-05
T_pars_est[26]      11.7968  3.81919e-05
T_pars_est[27]       11.256  2.96792e-05
T_pars_est[28]       10.281  4.09747e-06
T_pars_est[29]      9.23163  8.88581e-06
T_pars_est[30]      8.22545  1.86643e-07
T_pars_est[31]      7.40311  1.21721e-06
T_pars_est[32]      6.99713  1.13275e-06
T_pars_est[33]      11.9337  2.66686e-06
T_pars_est[34]      12.0866 -6.11916e-06
T_pars_est[35]      12.9801 -1.11617e-05
T_pars_est[36]      13.4895 -2.15271e-05
T_pars_est[37]      12.7681 -8.68947e-06
T_pars_est[38]      12.8483 -9.82623e-06
T_pars_est[39]       12.562   5.5322e-06
T_pars_est[40]      12.3087  7.04464e-07
T_pars_est[41]      12.2414 -2.58926e-06
T_pars_est[42]      11.7357  4.11368e-06
T_pars_est[43]      11.0781  1.97787e-06
T_pars_est[44]      10.9469 -1.59152e-06
T_pars_est[45]      11.0595  2.12345e-06
T_pars_est[46]       10.194  2.45196e-06
T_pars_est[47]      8.84984  4.49521e-06
T_pars_est[48]      7.79773  2.14866e-06
T_pars_est[49]      7.03376 -1.81787e-06
T_pars_est[50]      6.49684  1.62314e-06
T_pars_est[51]      6.10582 -1.85541e-06
T_pars_est[52]      5.81658  3.83363e-06
T_pars_est[53]      5.61585 -2.21545e-06
T_pars_est[54]      5.51182 -1.39847e-07
T_pars_est[55]      11.0027  3.07478e-07
T_pars_est[56]      11.0789 -3.76639e-06
T_pars_est[57]      11.3219  1.44579e-06
T_pars_est[58]      11.7723 -1.94369e-07
T_pars_est[59]      12.8845 -4.23295e-06
T_pars_est[60]      13.4918  6.37353e-06
T_pars_est[61]      13.1961  2.65859e-06
T_pars_est[62]      12.2831  1.29777e-05
T_pars_est[63]      11.1813  3.60827e-05
T_pars_est[64]      10.0158   1.9048e-05
T_pars_est[65]      9.24155  4.66805e-06
T_pars_est[66]      8.77436  9.01372e-06
T_pars_est[67]      8.52156  3.62433e-06
T_pars_est[68]      8.45567  4.01206e-07
T_pars_est[69]      8.35548   4.4717e-06
T_pars_est[70]      8.16622  6.79436e-06
T_pars_est[71]      7.91659  1.51187e-06
T_pars_est[72]      7.65725   2.3571e-06
T_pars_est[73]      7.40701  3.51964e-06
T_pars_est[74]      7.16853  3.29765e-06
T_pars_est[75]       7.0083 -3.21865e-07
T_pars_est[76]      6.93738  1.39908e-06
T_pars_est[77]     -14.1274  4.76841e-07
T_pars_est[78]     -14.1735  7.12443e-08
T_pars_est[79]     -14.4177 -6.91833e-07
T_pars_est[80]     -14.4278 -5.87533e-07
T_pars_est[81]     -14.1282    5.692e-07
T_pars_est[82]     -13.5538 -1.62302e-06
T_pars_est[83]     -14.2752 -2.11274e-07
T_pars_est[84]     -15.3349 -1.59633e-07
T_pars_est[85]     -16.2586  -9.2837e-07
T_pars_est[86]     -16.9572  4.49421e-07
T_pars_est[87]     -17.4489  8.90547e-07
T_pars_est[88]     -17.7969 -1.59047e-06
T_pars_est[89]     -18.0807 -1.05828e-06
T_pars_est[90]     -18.3173 -5.56015e-08
T_pars_est[91]     -18.5216  1.25984e-06
T_pars_est[92]     -18.7011  1.35564e-06
T_pars_est[93]     -18.8598 -1.18667e-06
G_pars_est[1]      1.02559 -2.63935e-05
G_pars_est[2]    -0.240233  9.38435e-05
G_pars_est[4]     -4.78675 -0.000127531
G_pars_est[5]    -0.425511  0.000890824
M_pars_est[1]     0.291582 -2.77456e-05
M_pars_est[2]       1.3818  1.23077e-06
M_pars_est[3]      1.84492  1.73831e-05
M_pars_est[5]    -0.352201  6.55689e-07
M_pars_est[7]      2.18543  4.48905e-05
M_pars_est[9]     0.264035  5.16676e-05
M_pars_est[10]    -0.551978 -1.44503e-07
M_pars_est[11]      1.25607  4.26818e-06
M_pars_est[13]     0.712472  3.84909e-05
M_pars_est[14]      1.59524  3.17397e-06
M_pars_est[15]      1.40841  3.96186e-06
S_pars_est[1]      4.67398 -0.000909256
S_pars_est[2]      1.66869  0.000270803
S_pars_est[3]      4.82919  1.62681e-05
S_pars_est[4]       2.4005  8.72442e-05
S_pars_est[5]     -3.03407  1.33171e-06
S_pars_est[6]     -2.61039 -1.33436e-07
S_pars_est[7]     -2.20059  1.23585e-06
S_pars_est[8]     -1.47918  4.73153e-07
S_pars_est[9]     -1.46065 -2.51402e-07
S_pars_est[10]      -1.3075  3.03738e-07
S_pars_est[11]     -1.03086  1.64155e-06
S_pars_est[12]     -1.01173 -1.37725e-06
S_pars_est[13]     -1.11227 -9.67583e-07
S_pars_est[14]     -1.05703   1.4572e-06
S_pars_est[15]    -0.976343 -2.25659e-07
S_pars_est[16]    -0.926016 -4.92411e-08
S_pars_est[17]     -0.89753 -2.19366e-06
S_pars_est[18]    -0.806182 -1.66099e-06
S_pars_est[19]    -0.804519 -1.22818e-06
S_pars_est[20]    -0.914786  1.36171e-06
S_pars_est[21]    -0.770841  5.25887e-07
S_pars_est[22]    -0.668241  -8.8732e-07
S_pars_est[23]    -0.468863  3.11205e-07
S_pars_est[24]    -0.303772  1.49278e-06
S_pars_est[25]    -0.200139  1.25217e-06
S_pars_est[26]    -0.234609 -3.12561e-06
S_pars_est[27]     -3.88543  8.10634e-07
S_pars_est[28]     -2.96646 -6.98299e-06
S_pars_est[29]     -2.31371 -2.80851e-06
S_pars_est[30]     -1.61009 -2.98353e-06
S_pars_est[31]     -1.44342  3.55224e-06
S_pars_est[32]     -1.29217  2.51095e-06
S_pars_est[33]     -1.09681  2.66573e-06
S_pars_est[34]     -1.01384 -2.85885e-07
S_pars_est[35]     -1.05548  3.46006e-06
S_pars_est[36]     -1.05369  1.00356e-06
S_pars_est[37]     -1.01356  1.84592e-06
S_pars_est[38]     -0.94404  1.66349e-06
S_pars_est[39]     -0.89833  3.41485e-06
S_pars_est[40]    -0.781701  4.35191e-07
S_pars_est[41]    -0.626943  9.51445e-07
S_pars_est[42]    -0.378011  3.34172e-07
S_pars_est[43]    -0.267843 -1.24719e-06
S_pars_est[44]    -0.191339  1.49268e-06
S_pars_est[45]     -0.16344  -1.1199e-06
S_pars_est[46]    -0.123715 -5.86167e-07
S_pars_est[47]   -0.0820539  1.34262e-07
S_pars_est[48]   -0.0732719  5.62643e-07
S_pars_est[49]      4.20724  0.000271792
S_pars_est[50]      1.01304 -1.09885e-05
S_pars_est[51]     -3.37996  4.30912e-06
S_pars_est[52]     -3.08093  1.50089e-06
S_pars_est[53]     -2.98351 -9.96104e-08
S_pars_est[54]     -1.72031 -1.35259e-06
S_pars_est[55]    -0.865868  -9.6447e-09
S_pars_est[56]    -0.470445 -1.10976e-06
S_pars_est[57]    -0.641371   1.8541e-06
S_pars_est[58]     -0.79669 -3.08272e-06
S_pars_est[59]     -0.83949  -7.4089e-08
S_pars_est[60]    -0.929133  1.00401e-06
S_pars_est[61]    -0.910228  1.19583e-06
S_pars_est[62]    -0.872027  1.07027e-07
S_pars_est[63]    -0.839335  2.53055e-06
S_pars_est[64]    -0.791762  1.31202e-06
S_pars_est[65]    -0.721919 -2.41442e-06
S_pars_est[66]    -0.631453 -9.41701e-07
S_pars_est[67]    -0.529643 -2.37845e-06
S_pars_est[68]    -0.423618 -3.20127e-07
S_pars_est[69]    -0.314016 -3.14148e-07
S_pars_est[70]    -0.199457 -1.62236e-06
S_pars_est[71]   -0.0829244  8.73566e-06
S_pars_est[73]     -4.70207  1.42417e-07
S_pars_est[74]     -3.82635  1.96332e-05
S_pars_est[75]     -3.17271  2.26756e-05
S_pars_est[76]      -1.2477 -6.75494e-06
S_pars_est[77]    -0.622749 -4.84341e-06
S_pars_est[78]    -0.208682 -6.57923e-06
S_pars_est[79]    -0.256177 -9.96334e-09
S_pars_est[80]    -0.869301  6.76517e-07
S_pars_est[81]     -1.01637 -2.00438e-06
S_pars_est[82]     -1.21948 -3.72775e-06
S_pars_est[83]     -1.32855 -1.20219e-06
S_pars_est[84]     -1.00433  -1.4587e-06
S_pars_est[85]     -0.83166  6.35344e-08
S_pars_est[86]    -0.778134 -4.97304e-08
S_pars_est[87]    -0.710795  -1.0417e-07
S_pars_est[88]    -0.623459 -1.24161e-07
S_pars_est[89]    -0.524264 -2.86821e-07
S_pars_est[90]     -0.41999  6.85451e-07
S_pars_est[91]    -0.311355  1.64063e-07
S_pars_est[92]    -0.197245   -1.129e-06
S_pars_est[93]   -0.0805489 -1.14896e-06
S_pars_est[95]      4.59867   0.00119546
S_pars_est[96]      0.24754  3.67024e-05
log_fbar[1]    0.0693884  0.000169181
log_fbar[2]      -4.7636 -2.48922e-05
log_fdev[1](1)     -1.51886  6.74651e-05
log_fdev[1](2)     -1.84037   2.8909e-05
log_fdev[1](3)     -1.21941  2.14647e-05
log_fdev[1](4)    -0.877749  2.14921e-05
log_fdev[1](5)    -0.749326  1.02942e-05
log_fdev[1](6)    -0.350043 -7.63718e-07
log_fdev[1](7)     -0.34717 -1.18258e-05
log_fdev[1](8)    -0.396687 -7.54074e-06
log_fdev[1](9)     0.598664  3.88455e-05
log_fdev[1](10)     0.227162  1.28657e-05
log_fdev[1](11)     0.680963  2.08405e-05
log_fdev[1](12)     0.861958 -1.31327e-06
log_fdev[1](13)     0.266122 -2.46555e-05
log_fdev[1](14)     0.545589 -1.30522e-05
log_fdev[1](15)     0.531051  6.95848e-06
log_fdev[1](16)     0.334115  3.83872e-06
log_fdev[1](17)      1.16406 -3.34308e-05
log_fdev[1](18)    -0.313104 -1.55516e-05
log_fdev[1](19)    -0.408234  3.45593e-05
log_fdev[1](20)     0.178522   1.3633e-05
log_fdev[1](21)     0.255255  2.03254e-05
log_fdev[1](22)    -0.362409  3.71469e-05
log_fdev[1](23)    -0.498711  2.96041e-05
log_fdev[1](24)    -0.772565  2.93508e-05
log_fdev[1](25)    -0.262026  1.88801e-06
log_fdev[1](26)     0.081157  5.07725e-06
log_fdev[1](27)    -0.183799  3.33379e-05
log_fdev[1](28)    -0.657083  3.22995e-05
log_fdev[1](29)    -0.627149 -2.93724e-05
log_fdev[1](30)    -0.151901 -2.98027e-05
log_fdev[1](31)     0.247494 -2.14883e-05
log_fdev[1](32)     0.600138  -4.9754e-05
log_fdev[1](33)      1.01358 -1.48214e-05
log_fdev[1](34)     0.998427  8.88962e-06
log_fdev[1](35)     0.547182 -1.60399e-05
log_fdev[1](36)     0.415035 -4.55138e-05
log_fdev[1](37)      1.14661   2.3449e-05
log_fdev[1](38)      1.55951 -1.96727e-06
log_fdev[1](39)      1.56699   3.6962e-05
log_fdev[1](40)    -0.757133 -1.42998e-05
log_fdev[1](41)     -1.52586  4.23771e-05
log_fdev[2](1)     0.118831 -8.62582e-07
log_fdev[2](2)    0.0533502 -5.41859e-07
log_fdev[2](3)    -0.164963 -9.80073e-07
log_fdev[2](4)    -0.374671  8.17328e-07
log_fdev[2](5)     -9.33823 -1.86777e-08
log_fdev[2](6)       -5.156  4.79322e-07
log_fdev[2](7)     -5.62037  3.00381e-06
log_fdev[2](8)     -1.84015 -2.64789e-06
log_fdev[2](9)    -0.541975  1.54905e-06
log_fdev[2](10)      2.05472  1.44649e-06
log_fdev[2](11)      1.61283 -3.41265e-06
log_fdev[2](12)      1.51874 -6.83073e-06
log_fdev[2](13)      1.17546 -4.80336e-06
log_fdev[2](14)      1.67677  1.91931e-06
log_fdev[2](15)      1.44904  4.52662e-07
log_fdev[2](16)     0.637324 -8.47027e-06
log_fdev[2](17)     0.930034 -4.75667e-06
log_fdev[2](18)     0.346187  4.56018e-06
log_fdev[2](19)     0.540686  9.89944e-06
log_fdev[2](20)     0.539386  1.04969e-05
log_fdev[2](21)     0.128453  5.72356e-06
log_fdev[2](22)     0.142368  2.51054e-06
log_fdev[2](23)     0.187421  -1.4574e-08
log_fdev[2](24)    0.0299682 -3.92828e-06
log_fdev[2](25)     0.704939 -2.02106e-07
log_fdev[2](26)     0.442906     -4.5e-06
log_fdev[2](27)     -0.19363  -5.8569e-06
log_fdev[2](28)     0.275285  6.26202e-06
log_fdev[2](29)    -0.822169 -1.35016e-06
log_fdev[2](30)    -0.682933   6.1651e-06
log_fdev[2](31)    -0.138076 -3.55633e-06
log_fdev[2](32)      0.24123 -2.08614e-07
log_fdev[2](33)        1.782  1.24614e-06
log_fdev[2](34)      3.03616  1.10944e-06
log_fdev[2](35)    -0.611815 -4.53744e-06
log_fdev[2](36)     0.282786 -3.02983e-06
log_fdev[2](37)      1.73496  2.57164e-06
log_fdev[2](38)      1.34095 -6.07608e-06
log_fdev[2](39)       1.5802 -5.08095e-06
log_fdev[2](40)     0.857055  -2.3071e-07
log_fdev[2](41)    -0.304093 -3.68128e-06
log_fdev[2](42)     0.314306 -1.94057e-06
log_fdev[2](43)     0.054714  1.99958e-07
log_foff[1]     -7.21902 -0.000135255
log_fdov[1](1)      1.55978  1.27366e-05
log_fdov[1](2)      1.79012  8.06527e-06
log_fdov[1](3)      1.42463  1.14377e-05
log_fdov[1](4)      1.34852   9.9021e-06
log_fdov[1](5)      2.26381  9.89659e-06
log_fdov[1](6)      2.37354  8.77306e-06
log_fdov[1](7)     0.481258 -8.77056e-06
log_fdov[1](8)     0.229487 -7.52128e-06
log_fdov[1](9)      2.73226  4.12651e-06
log_fdov[1](10)      1.25377  6.12611e-06
log_fdov[1](11)      1.35195  3.02535e-06
log_fdov[1](12)     0.515502  4.05937e-07
log_fdov[1](13)     0.903863 -5.90502e-06
log_fdov[1](14)    -0.562832 -1.33968e-05
log_fdov[1](15)       1.0175 -1.29696e-07
log_fdov[1](16)      1.20222  -1.3667e-06
log_fdov[1](17)     -2.11401 -9.24592e-06
log_fdov[1](18)    -0.406974 -6.71633e-06
log_fdov[1](19)     -2.25174 -1.05898e-05
log_fdov[1](20)     0.177766  9.74655e-07
log_fdov[1](21)      -2.0143 -6.27407e-07
log_fdov[1](22)     -2.15346 -2.66859e-06
log_fdov[1](23)     -1.37675  4.14276e-06
log_fdov[1](24)    -0.792441 -2.11881e-06
log_fdov[1](25)     -2.63491 -8.85506e-06
log_fdov[1](26)     -0.22578 -9.11213e-06
log_fdov[1](27)     0.120094  9.93683e-06
