ParName   Value   Gradient
T_pars_est[3]      13.9289 -0.000390183
T_pars_est[11]      9.49392   2.3581e-06
T_pars_est[12]      9.50887 -4.46113e-06
T_pars_est[13]       9.5596 -2.30457e-06
T_pars_est[14]      9.69476  4.56043e-06
T_pars_est[15]      10.2088 -3.10017e-06
T_pars_est[16]      10.8254 -1.09738e-06
T_pars_est[17]      11.3276  3.66224e-06
T_pars_est[18]      11.5378  1.83255e-06
T_pars_est[19]      11.5976   2.6809e-06
T_pars_est[20]      11.5933  2.25237e-06
T_pars_est[21]      11.5332  1.91997e-08
T_pars_est[22]      11.2712  8.33562e-06
T_pars_est[23]      10.9537 -3.18862e-06
T_pars_est[24]      10.6839   4.8678e-07
T_pars_est[25]      10.7503 -1.83047e-06
T_pars_est[26]      11.7599 -4.51383e-05
T_pars_est[27]      11.2305 -8.89476e-05
T_pars_est[28]      10.2676 -6.37007e-05
T_pars_est[29]      9.22485 -1.51865e-05
T_pars_est[30]       8.2206 -1.09148e-05
T_pars_est[31]      7.39831  4.77175e-06
T_pars_est[32]      6.99393  2.10066e-07
T_pars_est[33]      13.6789 -2.04267e-05
T_pars_est[34]      13.6525 -3.78521e-05
T_pars_est[35]      13.2262 -2.30972e-05
T_pars_est[36]      13.2531  -2.8537e-05
T_pars_est[37]      12.7993 -2.91217e-05
T_pars_est[38]      12.8677 -7.86144e-06
T_pars_est[39]      12.5484 -7.82298e-06
T_pars_est[40]      12.2747 -1.12945e-05
T_pars_est[41]      12.2144 -3.68593e-06
T_pars_est[42]      11.6741 -8.74687e-06
T_pars_est[43]      11.0127 -4.86237e-06
T_pars_est[44]      10.9122 -8.99855e-06
T_pars_est[45]      11.0409 -3.44209e-05
T_pars_est[46]      10.1194 -2.01024e-05
T_pars_est[47]      8.77477  -8.1419e-08
T_pars_est[48]      7.74134 -1.93932e-06
T_pars_est[49]      6.99388 -4.43274e-06
T_pars_est[50]       6.4676 -2.00533e-07
T_pars_est[51]      6.08349 -6.71359e-06
T_pars_est[52]      5.79891 -2.64328e-06
T_pars_est[53]       5.6012  3.99029e-06
T_pars_est[54]      5.49865 -4.50326e-06
T_pars_est[55]        12.21  2.08742e-06
T_pars_est[56]      12.2161  -2.1059e-06
T_pars_est[57]      12.2433   5.2429e-06
T_pars_est[58]      12.3381   2.7423e-06
T_pars_est[59]      13.3241  8.56455e-06
T_pars_est[60]      13.6247 -6.40204e-06
T_pars_est[61]      13.1552  -3.4345e-05
T_pars_est[62]      12.3147 -0.000107413
T_pars_est[63]      11.2354 -0.000112286
T_pars_est[64]       10.097 -6.66745e-05
T_pars_est[65]      9.30768 -3.55295e-05
T_pars_est[66]      8.82998 -3.07129e-05
T_pars_est[67]      8.56191 -3.28107e-05
T_pars_est[68]      8.48793 -2.91706e-05
T_pars_est[69]      8.37707 -2.70602e-05
T_pars_est[70]      8.17711 -3.81604e-05
T_pars_est[71]      7.91938   -1.868e-05
T_pars_est[72]      7.65631 -2.60872e-05
T_pars_est[73]      7.40362 -2.28752e-05
T_pars_est[74]      7.16683 -1.30724e-05
T_pars_est[75]      7.01021 -1.24686e-05
