ParName   Value   Gradient
T_pars_est[2]      14.4287  0.000475346
T_pars_est[3]      13.9574   0.00227214
T_pars_est[11]   -0.0826495  -1.6668e-06
T_pars_est[12]   -0.0826494  7.65519e-08
T_pars_est[13]    -0.121302 -3.77514e-06
T_pars_est[14]    -0.553045 -4.47774e-06
T_pars_est[15]    -0.426088   6.2451e-07
T_pars_est[16]    -0.258055  1.23415e-05
T_pars_est[17]    -0.183457  1.50907e-05
T_pars_est[18]    -0.182883   7.5655e-06
T_pars_est[19]    -0.112044  1.32976e-05
T_pars_est[20]   -0.0803183  9.78431e-06
T_pars_est[21]    0.0144896  1.03019e-05
T_pars_est[22]   -0.0659359  1.55647e-05
T_pars_est[23]     -0.14304  9.10099e-06
T_pars_est[24]    -0.256506  1.06012e-05
T_pars_est[25]    -0.285142  3.18656e-05
T_pars_est[26]     0.713807 -0.000188594
T_pars_est[27]     0.140264  0.000105461
T_pars_est[28]    -0.466531 -8.07792e-06
T_pars_est[29]     -1.03438  1.44626e-06
T_pars_est[30]     -1.40139  4.95175e-07
T_pars_est[31]     -1.68279  7.85299e-06
T_pars_est[32]    -0.679881  6.26315e-06
T_pars_est[33]    -0.399474  1.06829e-05
T_pars_est[34]      0.71767  6.94385e-05
T_pars_est[35]    -0.341052  2.92214e-05
T_pars_est[36]     0.528625  4.80076e-05
T_pars_est[37]   -0.0845371  2.21391e-05
T_pars_est[38]     0.562693  4.08192e-05
T_pars_est[39]     0.407187  3.47745e-05
T_pars_est[40]       0.3053  2.60082e-05
T_pars_est[41]     0.845546  3.87257e-05
T_pars_est[42]     0.486867  2.76738e-05
T_pars_est[43]    -0.121097  1.08567e-05
T_pars_est[44]    0.0816438  9.38128e-06
T_pars_est[45]     0.754153  2.78611e-05
T_pars_est[46]  0.000151011  1.29486e-05
T_pars_est[47]    -0.459697  3.45368e-06
T_pars_est[48]    -0.406655  1.70047e-06
T_pars_est[49]    -0.234453  2.19946e-06
T_pars_est[50]    -0.160887   6.4858e-06
T_pars_est[51]    -0.139293 -6.79509e-06
T_pars_est[52]    -0.128342 -8.53051e-06
T_pars_est[53]    -0.113216  8.58067e-06
T_pars_est[54]   -0.0850986   4.8521e-06
T_pars_est[55]   -0.0826428  2.75758e-07
T_pars_est[56]   -0.0827916 -9.92306e-07
T_pars_est[57]   -0.0828042 -5.79924e-06
T_pars_est[58]    -0.151436 -1.45375e-06
T_pars_est[59]      0.80128  1.27058e-05
T_pars_est[60]      1.13738  1.57398e-05
T_pars_est[61]      1.21638  1.17547e-05
T_pars_est[62]      0.62074 -1.64945e-05
T_pars_est[63]     0.086605  9.79844e-06
T_pars_est[64]    -0.288167  1.27827e-05
T_pars_est[65]    -0.318398   1.8374e-05
T_pars_est[66]     -0.16528  5.87435e-06
T_pars_est[67]   -0.0937123 -9.28623e-06
T_pars_est[68]   -0.0809152  -1.0086e-06
T_pars_est[69]   -0.0825029  3.63902e-06
T_pars_est[70]   -0.0825927   1.0952e-05
T_pars_est[71]   -0.0826118  6.59941e-06
T_pars_est[72]   -0.0826227  1.42746e-06
T_pars_est[73]   -0.0826346  2.14157e-06
T_pars_est[74]   -0.0826442  1.28626e-06
T_pars_est[75]   -0.0826476  9.38432e-07
T_pars_est[76]   -0.0826489   4.1193e-07
T_pars_est[77]    -0.333488 -2.70319e-07
T_pars_est[78]    -0.797899 -2.42694e-06
T_pars_est[79]    -0.493732  1.13361e-05
T_pars_est[80]    -0.460915  4.21603e-06
T_pars_est[81]     -0.85112  9.38085e-06
T_pars_est[82]   -0.0978693  2.14972e-06
T_pars_est[83]     0.359169  9.56911e-06
T_pars_est[84]   -0.0822837 -1.02353e-05
T_pars_est[85]   -0.0824763  3.32777e-06
T_pars_est[86]   -0.0826015  1.08293e-05
T_pars_est[87]   -0.0826342   3.6868e-06
T_pars_est[88]   -0.0826406  1.89215e-06
T_pars_est[89]    -0.082648 -1.72201e-06
T_pars_est[90]   -0.0826493  3.96722e-07
T_pars_est[91]   -0.0826494  2.28419e-07
T_pars_est[92]   -0.0826494 -4.09814e-07
T_pars_est[93]   -0.0826494  7.22951e-07
G_pars_est[1]    0.0380326  0.000301767
G_pars_est[2]    -0.254504 -0.000613997
G_pars_est[4]     -4.74183 -1.68592e-05
G_pars_est[5]    -0.423953 -4.32012e-05
M_pars_est[1]     0.293182 -0.000209342
M_pars_est[2]     0.760671 -3.62819e-05
M_pars_est[3]      1.18507  -4.6998e-05
M_pars_est[5]    -0.142382 -0.000191603
M_pars_est[7]      2.09991 -0.000195154
M_pars_est[9]     0.266729 -2.68943e-05
M_pars_est[10]     0.258188  -2.1311e-05
M_pars_est[11]      1.20554  -1.0283e-05
M_pars_est[13]      0.48629  -1.8577e-05
M_pars_est[14]      2.15838  -5.1385e-05
S_pars_est[1]      4.68674 -0.000803383
S_pars_est[2]      1.69505  0.000257703
S_pars_est[3]      4.84325 -0.000392314
S_pars_est[4]      2.38364  0.000373287
S_pars_est[5]     -3.36436  6.68295e-06
S_pars_est[6]     -2.82756  2.28826e-06
S_pars_est[7]     -2.51797 -1.98649e-06
S_pars_est[8]     -1.69074 -5.70745e-06
S_pars_est[9]     -1.71931  3.32646e-06
S_pars_est[10]     -1.56047 -5.02413e-06
S_pars_est[11]     -1.25482 -4.68542e-06
S_pars_est[12]     -1.18251   3.9334e-06
S_pars_est[13]     -1.25818   9.3985e-07
S_pars_est[14]     -1.15233  1.77493e-07
S_pars_est[15]     -1.05077 -2.95397e-06
S_pars_est[16]    -0.976495  2.74205e-06
S_pars_est[17]    -0.940666  4.86267e-06
S_pars_est[18]    -0.827602 -7.93753e-07
S_pars_est[19]    -0.802556  2.79704e-06
S_pars_est[20]     -1.09916 -2.67701e-06
S_pars_est[21]    -0.878677 -1.14892e-06
S_pars_est[22]    -0.643245 -1.86507e-06
S_pars_est[23]    -0.454875  9.69906e-06
S_pars_est[24]    -0.294663 -1.27498e-06
