"mode","peel","Year","recruit_male"
"standard",0,1982,2320288.55320504
"standard",0,1983,2307184.60131515
"standard",0,1984,3885105.89198849
"standard",0,1985,4534435.62523569
"standard",0,1986,170904.54673946
"standard",0,1987,1419680.17967214
"standard",0,1988,526634.38768311
"standard",0,1989,853528.20747822
"standard",0,1990,3164479.74328229
"standard",0,1991,4601459.45672782
"standard",0,1992,107470.43983333
"standard",0,1993,112149.93286067
"standard",0,1994,444049.43834549
"standard",0,1995,255920.85304414
"standard",0,1996,354268.32588806
"standard",0,1997,247931.88337368
"standard",0,1998,486519.61959171
"standard",0,1999,341405.80911963
"standard",0,2000,34513.23537947
"standard",0,2001,1432615.46355229
"standard",0,2002,975131.69064064
"standard",0,2003,543922.84020441
"standard",0,2004,2059437.46505326
"standard",0,2005,478557.76901221
"standard",0,2006,450063.34865692
"standard",0,2007,929887.20111465
"standard",0,2008,1424276.45215353
"standard",0,2009,155323.87486186
"standard",0,2010,405463.20163315
"standard",0,2011,120814.59232118
"standard",0,2012,826129.14727945
"standard",0,2013,1232607.92844046
"standard",0,2014,4392201.76314341
"standard",0,2015,7397189.68871444
"standard",0,2016,425559.79439776
"standard",0,2017,1241051.29386583
"standard",0,2018,1756482.15297178
"standard",0,2019,2130586.69631707
"standard",1,1982,2407017.24167574
"standard",1,1983,2407030.57947193
"standard",1,1984,4022876.89493188
"standard",1,1985,4754877.29200314
"standard",1,1986,181787.32108873
"standard",1,1987,1474650.98330991
"standard",1,1988,551365.79915327
"standard",1,1989,892904.98073808
"standard",1,1990,3254568.55227198
"standard",1,1991,4821534.07751911
"standard",1,1992,117065.72190993
"standard",1,1993,119318.83347658
"standard",1,1994,459646.67636096
"standard",1,1995,269965.03160511
"standard",1,1996,366148.8742979
"standard",1,1997,260477.89674029
"standard",1,1998,501107.42345421
"standard",1,1999,361513.02954707
"standard",1,2000,37236.60179253
"standard",1,2001,1477398.78026206
"standard",1,2002,1023751.44336726
"standard",1,2003,564646.86710314
"standard",1,2004,2126012.60327481
"standard",1,2005,515567.32406686
"standard",1,2006,474582.08967645
"standard",1,2007,956526.9367352
"standard",1,2008,1485970.52721543
"standard",1,2009,165802.96631206
"standard",1,2010,421935.52548847
"standard",1,2011,127074.95581321
"standard",1,2012,853362.97189278
"standard",1,2013,1266336.30129071
"standard",1,2014,4638236.65259971
"standard",1,2015,7424016.42818464
"standard",1,2016,444001.34955757
"standard",1,2017,1229824.11965675
"standard",1,2018,1675909.40962895
"standard",2,1982,2401141.30858258
"standard",2,1983,2416082.60061032
"standard",2,1984,4050217.48745065
"standard",2,1985,4752796.56230647
"standard",2,1986,184398.76037713
"standard",2,1987,1471593.09410471
"standard",2,1988,552645.43540415
"standard",2,1989,894904.71220715
"standard",2,1990,3269815.08409009
"standard",2,1991,4813086.74396777
"standard",2,1992,117760.60467273
"standard",2,1993,118970.07634016
"standard",2,1994,455186.33263882
"standard",2,1995,284849.02607396
"standard",2,1996,355748.0737209
"standard",2,1997,264917.51983409
"standard",2,1998,496261.11947319
"standard",2,1999,367312.99435767
"standard",2,2000,38770.9122354
"standard",2,2001,1476832.16426637
"standard",2,2002,1026331.79548842
"standard",2,2003,556325.82429798
"standard",2,2004,2128973.32388136
"standard",2,2005,510699.3069878
"standard",2,2006,502667.24925508
"standard",2,2007,941206.19926912
"standard",2,2008,1489638.14637397
"standard",2,2009,160035.30664408
"standard",2,2010,425132.77517823
"standard",2,2011,141205.33081696
"standard",2,2012,747304.68735893
"standard",2,2013,1203653.6604572
"standard",2,2014,3854735.71454316
"standard",2,2015,6306115.98661008
"standard",2,2016,1166986.77597878
"standard",2,2017,1375605.86824479
"standard",3,1982,1945344.65195696
"standard",3,1983,1934825.16798969
"standard",3,1984,3392272.07417495
"standard",3,1985,3689083.108603
"standard",3,1986,151872.32186294
"standard",3,1987,1208157.39405879
"standard",3,1988,428182.1758322
"standard",3,1989,714193.99868666
"standard",3,1990,2839965.11675359
"standard",3,1991,3732331.37652217
"standard",3,1992,94865.54420515
"standard",3,1993,104111.15089235
"standard",3,1994,380182.36923146
"standard",3,1995,176980.71302477
"standard",3,1996,355506.40766116
"standard",3,1997,147965.86370045
"standard",3,1998,471018.63085445
"standard",3,1999,250924.27918023
"standard",3,2000,31393.9387493
"standard",3,2001,1275645.4809861
"standard",3,2002,755396.35042849
"standard",3,2003,531018.21146402
"standard",3,2004,1753465.91269558
"standard",3,2005,333616.31395478
"standard",3,2006,399060.226426
"standard",3,2007,796675.64895539
"standard",3,2008,1185350.35067059
"standard",3,2009,99932.79928816
"standard",3,2010,379126.39826563
"standard",3,2011,522028.92089512
"standard",3,2012,577824.42167271
"standard",3,2013,839914.55823324
"standard",3,2014,2914895.10273522
"standard",3,2015,3165065.47299112
"standard",3,2016,1964328.64325402
"standard",4,1982,2075082.22899747
"standard",4,1983,2063948.85001125
"standard",4,1984,3551866.35732459
"standard",4,1985,4002384.40726257
"standard",4,1986,171189.95766674
"standard",4,1987,1258636.04368229
"standard",4,1988,496649.30746802
"standard",4,1989,724183.09181557
"standard",4,1990,2992312.9467623
"standard",4,1991,4025434.33389284
"standard",4,1992,109996.72080446
"standard",4,1993,117144.05683243
"standard",4,1994,396791.26797574
"standard",4,1995,199175.71298501
"standard",4,1996,361042.96247375
"standard",4,1997,185766.01410292
"standard",4,1998,475907.62569905
"standard",4,1999,287627.57889515
"standard",4,2000,37436.82523341
"standard",4,2001,1311349.88532441
"standard",4,2002,864209.22652399
"standard",4,2003,527359.03820067
"standard",4,2004,1875332.61639844
"standard",4,2005,362254.14774503
"standard",4,2006,423509.19521004
"standard",4,2007,845063.5729074
"standard",4,2008,1263043.33233702
"standard",4,2009,130084.99749923
"standard",4,2010,559409.05409238
"standard",4,2011,673132.37687942
"standard",4,2012,462912.86045407
"standard",4,2013,1163749.14695301
"standard",4,2014,3725279.44546414
"standard",4,2015,4157876.59033115
"standard",5,1982,1817688.24538546
"standard",5,1983,1822030.9487757
"standard",5,1984,3204577.53387813
"standard",5,1985,3517868.31499644
"standard",5,1986,139425.19652419
"standard",5,1987,1141199.86998293
"standard",5,1988,424012.48392582
"standard",5,1989,643321.56294735
"standard",5,1990,2747616.03790385
"standard",5,1991,3543092.25253537
"standard",5,1992,85101.86495492
"standard",5,1993,90546.10987314
"standard",5,1994,370508.34392933
"standard",5,1995,175859.94125974
"standard",5,1996,301743.71491397
"standard",5,1997,192798.1120895
"standard",5,1998,405835.23643043
"standard",5,1999,255319.31072026
"standard",5,2000,28299.02490779
"standard",5,2001,1211976.60488751
"standard",5,2002,730595.98564164
"standard",5,2003,510108.58502531
"standard",5,2004,1601265.74340476
"standard",5,2005,376530.11222472
"standard",5,2006,364581.25040987
"standard",5,2007,716969.64539786
"standard",5,2008,1314205.80803942
"standard",5,2009,422824.44922578
"standard",5,2010,698811.4845815
"standard",5,2011,691090.69791009
"standard",5,2012,904353.83205081
