"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
1,-23879.835324236,0.00354787252274577,20260822,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/001",413,NA,NA,87.06065752,86.81975504,0.24090248,53.71457029,53.71457029,FALSE,142.33755774,1034956.39787493,2025,20260822,134,94,TRUE,"",TRUE,FALSE,"minor"
2,-23881.5644613701,0.0131011553246542,20260823,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/002",413,NA,NA,84.68421072,84.44724882,0.2369619,54.14171102,54.14171102,FALSE,139.38365491,1018612.11321676,2025,20260823,134,88,TRUE,"",FALSE,FALSE,NA
3,-23842.887457589,0.0107473201923927,20260824,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/003",413,NA,NA,82.53511528,82.32856117,0.20655411,76.21306449,76.21306449,FALSE,143.08012612,1331533.65734714,2025,20260824,134,87.3,TRUE,"",FALSE,FALSE,NA
4,-23857.8401494122,0.0308114468038342,20260825,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/004",413,NA,NA,85.46567194,85.20955873,0.25611321,46.07782257,46.07782257,FALSE,137.59170883,901243.24934284,2025,20260825,134,102.9,TRUE,"",FALSE,FALSE,NA
5,-23885.4495646494,0.00868544542209116,20260826,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/005",413,NA,NA,84.791167,84.55481456,0.23635244,54.44964258,54.44964258,FALSE,139.61237253,1023637.07542119,2025,20260826,134,86.2,TRUE,"",TRUE,FALSE,"C"
6,-23885.4495646493,0.0133075371618447,20260827,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/006",413,NA,NA,84.7911568,84.55480425,0.23635255,54.44956607,54.44956607,FALSE,139.61233212,1023636.23456338,2025,20260827,134,90.6,TRUE,"",FALSE,FALSE,NA
7,-23879.8353242361,0.0129284844578749,20260828,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/007",413,NA,NA,87.06065554,86.81975313,0.24090241,53.71460586,53.71460586,FALSE,142.33756889,1034956.59312878,2025,20260828,134,89.9,TRUE,"",FALSE,FALSE,NA
8,-23885.4495646493,0.0395430743455125,20260829,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/008",413,NA,NA,84.79119054,84.55483803,0.23635251,54.44958123,54.44958123,FALSE,139.61236661,1023636.80323161,2025,20260829,134,84.1,TRUE,"",FALSE,FALSE,NA
9,-23878.209071292,0.00608568043610045,20260830,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/009",413,NA,NA,86.79048055,86.56371395,0.2267666,61.5017442,61.5017442,FALSE,144.83812661,1134451.46232447,2025,20260830,134,86.1,TRUE,"",TRUE,FALSE,"F"
10,-23883.7029832531,0.00411358642325016,20260831,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/010",413,NA,NA,84.61139875,84.38959258,0.22180617,62.80120301,62.80120301,FALSE,142.41358044,1130052.32755779,2025,20260831,134,90,TRUE,"",TRUE,FALSE,"D"
11,-23886.4329404678,0.00166214662541671,20260832,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/011",413,NA,NA,84.78823075,84.55176192,0.23646883,54.34419842,54.34419842,FALSE,139.56986132,1021950.80222563,2025,20260832,134,89.1,TRUE,"",TRUE,FALSE,"B"
12,-23886.4329404677,0.00736936796375772,20260833,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_eqmdevs/jitter/012",413,NA,NA,84.78825414,84.55178527,0.23646887,54.34420192,54.34420192,FALSE,139.56989959,1021951.20785332,2025,20260833,134,85.7,TRUE,"",TRUE,FALSE,"B"
