"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
1,-14010.3631618217,0.00813881152498234,20260822,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/001",234,NA,NA,73.99839693,73.67496199,0.32343494,20.5008392,20.5008392,FALSE,113.521679,372497.16276269,2025,20260822,NA,NA,TRUE,"",TRUE,FALSE,"B"
2,-14005.0344487339,0.0109543106552886,20260823,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/002",234,NA,NA,75.25546804,74.92778089,0.32768715,19.98021342,19.98021342,FALSE,114.80355314,378956.01497567,2025,20260823,NA,NA,TRUE,"",FALSE,FALSE,NA
3,-14010.663583927,0.00110126341783915,20260824,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/003",234,NA,NA,76.99559725,76.66370726,0.33188999,20.54474403,20.54474403,FALSE,115.90186729,363549.83964387,2025,20260824,NA,NA,TRUE,"",TRUE,FALSE,"A"
4,-14005.3015538196,0.00460167789367979,20260825,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/004",234,NA,NA,78.18895154,77.85301362,0.33593792,20.03676113,20.03676113,FALSE,117.11497594,369696.5110094,2025,20260825,NA,NA,TRUE,"",TRUE,FALSE,"D"
5,-14010.6635839267,0.00181985802590399,20260826,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/005",234,NA,NA,76.99558371,76.66369377,0.33188994,20.54474958,20.54474958,FALSE,115.90186028,363549.78289418,2025,20260826,NA,NA,TRUE,"",TRUE,FALSE,"A"
6,-14005.3015538177,0.00277385968284499,20260827,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/006",234,NA,NA,78.1889621,77.85302412,0.33593798,20.03676016,20.03676016,FALSE,117.11498386,369696.55913752,2025,20260827,NA,NA,TRUE,"",TRUE,FALSE,"D"
7,-14005.0344487367,0.00808729585540621,20260828,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/007",234,NA,NA,75.25546831,74.92778114,0.32768717,19.98021153,19.98021153,FALSE,114.80356098,378956.11173324,2025,20260828,NA,NA,TRUE,"",TRUE,FALSE,"F"
8,-14005.3015538187,0.00123184351108046,20260829,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/008",234,NA,NA,78.18895303,77.85301507,0.33593796,20.03676279,20.03676279,FALSE,117.11497627,369696.56068445,2025,20260829,NA,NA,TRUE,"",TRUE,FALSE,"D"
9,-14005.2176439873,0.0037768503510344,20260830,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/009",234,NA,NA,78.0512799,77.71577961,0.33550029,20.12220421,20.12220421,FALSE,117.01227305,369347.29846372,2025,20260830,NA,NA,TRUE,"",TRUE,FALSE,"E"
10,-14005.0344487329,0.0105418744526204,20260831,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/010",234,NA,NA,75.25548993,74.92780268,0.32768725,19.98020446,19.98020446,FALSE,114.80357791,378956.11604757,2025,20260831,NA,NA,TRUE,"",FALSE,FALSE,NA
