"mode","peel","Year","recruit_male"
"standard",0,1982,820293.919238
"standard",0,1983,1209552.86713978
"standard",0,1984,2577510.22472235
"standard",0,1985,1601834.8552561
"standard",0,1986,283151.82983561
"standard",0,1987,662295.32388438
"standard",0,1988,336413.3619627
"standard",0,1989,311710.33308286
"standard",0,1990,2592731.39775437
"standard",0,1991,1626822.38056987
"standard",0,1992,210762.64989534
"standard",0,1993,174181.83451753
"standard",0,1994,139881.46048668
"standard",0,1995,137588.52995888
"standard",0,1996,204719.04025755
"standard",0,1997,221973.79682672
"standard",0,1998,316039.87293182
"standard",0,1999,145005.70997858
"standard",0,2000,91360.67008422
"standard",0,2001,813861.07467866
"standard",0,2002,621691.04328269
"standard",0,2003,603336.33079796
"standard",0,2004,892569.3149466
"standard",0,2005,203650.45837439
"standard",0,2006,150902.08857066
"standard",0,2007,591636.10003655
"standard",0,2008,620389.7681848
"standard",0,2009,154230.8959605
"standard",0,2010,157727.77577165
"standard",0,2011,162915.08291019
"standard",0,2012,313273.87687495
"standard",0,2013,325740.90746092
"standard",0,2014,3098597.81197286
"standard",0,2015,662088.6125606
"standard",0,2016,254633.7334165
"standard",0,2017,139883.63478044
"standard",0,2018,124096.56676977
"standard",0,2019,81677.2568242
"standard",0,2020,938926.28579951
"standard",0,2021,1194315.93910094
"standard",0,2022,2188755.42155748
"standard",0,2023,507439.44533905
"standard",0,2024,330482.70685159
"standard",0,2025,363549.82258174
"standard",1,1982,862936.06835218
"standard",1,1983,1202951.84027892
"standard",1,1984,2547469.16868443
"standard",1,1985,1622735.2604857
"standard",1,1986,286724.06283779
"standard",1,1987,652844.19830119
"standard",1,1988,339863.58495881
"standard",1,1989,319185.50353817
"standard",1,1990,2551263.88678242
"standard",1,1991,1639914.50320015
"standard",1,1992,214398.05756992
"standard",1,1993,175320.52039027
"standard",1,1994,138208.42043101
"standard",1,1995,136283.44058082
"standard",1,1996,207568.58537107
"standard",1,1997,220135.6623029
"standard",1,1998,312734.11458217
"standard",1,1999,146517.92198605
"standard",1,2000,93221.56019197
"standard",1,2001,792280.22187067
"standard",1,2002,636371.66950801
"standard",1,2003,590805.88086591
"standard",1,2004,886216.47439281
"standard",1,2005,204493.1413663
"standard",1,2006,152148.03458641
"standard",1,2007,585294.82082467
"standard",1,2008,622319.62981192
"standard",1,2009,154448.34628858
"standard",1,2010,157526.91818128
"standard",1,2011,159078.99382824
"standard",1,2012,310791.90680792
"standard",1,2013,359349.3781688
"standard",1,2014,2865922.21040674
"standard",1,2015,812563.96379769
"standard",1,2016,324064.02827493
"standard",1,2017,162035.6879611
"standard",1,2018,166729.2545502
"standard",1,2019,470377.72418647
"standard",1,2020,719138.22971928
"standard",1,2021,1103588.66645801
"standard",1,2022,2104266.4692167
"standard",1,2023,575763.42769259
"standard",1,2024,411817.62057773
"standard",2,1982,871687.89634494
"standard",2,1983,1202186.59395798
"standard",2,1984,2541067.35418933
"standard",2,1985,1649454.70779108
"standard",2,1986,285407.82280158
"standard",2,1987,653560.04464352
"standard",2,1988,346434.44433269
"standard",2,1989,320622.7844502
"standard",2,1990,2494807.66035666
"standard",2,1991,1681468.1661926
"standard",2,1992,213411.457667
"standard",2,1993,174206.07704694
"standard",2,1994,139090.87555481
"standard",2,1995,137457.16409084
"standard",2,1996,206037.15639916
"standard",2,1997,216976.84448556
"standard",2,1998,306575.75243809
"standard",2,1999,147151.59991804
"standard",2,2000,92475.84639786
"standard",2,2001,785636.95279803
"standard",2,2002,636557.02890063
"standard",2,2003,570063.67341365
"standard",2,2004,890402.02013417
"standard",2,2005,209048.35577814
"standard",2,2006,154332.12541786
"standard",2,2007,583433.41599096
"standard",2,2008,632084.53164082
"standard",2,2009,156418.42259818
"standard",2,2010,158455.54659916
"standard",2,2011,164118.24347169
"standard",2,2012,411668.65622525
"standard",2,2013,542617.03330021
"standard",2,2014,2733621.80390858
"standard",2,2015,1469645.35165832
"standard",2,2016,648639.15017956
"standard",2,2017,197703.78465488
"standard",2,2018,171568.92468931
"standard",2,2019,241522.09564718
"standard",2,2020,543135.75526934
"standard",2,2021,667339.68377232
"standard",2,2022,1563195.27119504
"standard",2,2023,657007.29147917
"standard",3,1982,847461.10394478
"standard",3,1983,1204597.14208994
"standard",3,1984,2537881.09188011
"standard",3,1985,1648873.08995668
"standard",3,1986,282754.57644328
"standard",3,1987,655419.7942928
"standard",3,1988,344849.0285078
"standard",3,1989,319338.38573967
"standard",3,1990,2483420.47065143
"standard",3,1991,1690617.30491389
"standard",3,1992,211459.68733832
"standard",3,1993,173902.84162871
"standard",3,1994,139248.847247
"standard",3,1995,138302.71657077
"standard",3,1996,203090.60099861
"standard",3,1997,216229.28132903
"standard",3,1998,306475.62235412
"standard",3,1999,144871.07125319
"standard",3,2000,91009.45824949
"standard",3,2001,789778.58266867
"standard",3,2002,634249.52714078
"standard",3,2003,569374.07740577
"standard",3,2004,892449.38598001
"standard",3,2005,206897.66881072
"standard",3,2006,153024.52606751
"standard",3,2007,581219.92303408
"standard",3,2008,634902.25518758
"standard",3,2009,155448.86537301
"standard",3,2010,158848.23004923
"standard",3,2011,163677.86233907
"standard",3,2012,420050.14707518
"standard",3,2013,574351.72363629
"standard",3,2014,2792716.30806788
"standard",3,2015,1556750.28544327
"standard",3,2016,697873.42075043
"standard",3,2017,189772.85341228
"standard",3,2018,156372.82054619
"standard",3,2019,190240.35375041
"standard",3,2020,349617.31605887
"standard",3,2021,404894.94155509
"standard",3,2022,1487043.0640996
"standard",4,1982,850126.26148411
"standard",4,1983,1201858.61249892
"standard",4,1984,2527408.62475796
"standard",4,1985,1642113.36117751
"standard",4,1986,281738.18152181
"standard",4,1987,654659.77975002
"standard",4,1988,352157.68097793
"standard",4,1989,319023.37546919
"standard",4,1990,2408162.80858539
"standard",4,1991,1738124.74724861
"standard",4,1992,206249.84339802
"standard",4,1993,171139.73470061
"standard",4,1994,141694.5877983
"standard",4,1995,141677.402092
"standard",4,1996,195060.53787115
"standard",4,1997,212692.54474374
"standard",4,1998,309394.50670347
"standard",4,1999,142581.46678857
"standard",4,2000,90917.9241647
"standard",4,2001,785039.09236561
"standard",4,2002,648415.91780827
"standard",4,2003,546026.87789887
"standard",4,2004,893314.15590417
"standard",4,2005,206054.2984533
"standard",4,2006,152698.40081864
"standard",4,2007,582790.29324358
"standard",4,2008,636308.92058366
"standard",4,2009,155894.48546143
"standard",4,2010,158609.16098689
"standard",4,2011,163844.96641503
"standard",4,2012,443193.72719509
"standard",4,2013,604778.91561957
"standard",4,2014,2682950.74796634
"standard",4,2015,2040861.20986541
"standard",4,2016,1026627.05041539
"standard",4,2017,220452.39931499
"standard",4,2018,182970.29951272
"standard",4,2019,256873.80097112
"standard",4,2020,432217.86563296
"standard",4,2021,381425.91737983
"standard",5,1982,759553.69615588
"standard",5,1983,1200120.00508879
"standard",5,1984,2391814.12961265
"standard",5,1985,1884458.91861383
"standard",5,1986,287212.25612605
"standard",5,1987,623101.38789725
"standard",5,1988,347952.69459357
"standard",5,1989,347150.29390713
"standard",5,1990,2110801.67646819
"standard",5,1991,1897517.08435479
"standard",5,1992,132331.42573614
"standard",5,1993,101323.60041414
"standard",5,1994,165800.77557109
"standard",5,1995,197392.85800245
"standard",5,1996,137714.24983824
"standard",5,1997,151847.13913923
"standard",5,1998,252735.99841514
"standard",5,1999,142393.67867869
"standard",5,2000,76685.17473497
"standard",5,2001,734258.26072367
"standard",5,2002,486391.17580271
"standard",5,2003,321493.9092063
"standard",5,2004,998075.93367367
"standard",5,2005,285149.61850783
"standard",5,2006,181895.67494241
"standard",5,2007,597052.98657107
"standard",5,2008,634064.04378787
"standard",5,2009,153951.90457956
"standard",5,2010,146046.40479498
"standard",5,2011,131402.8028232
"standard",5,2012,411785.79369989
"standard",5,2013,748225.32024985
"standard",5,2014,2523396.5275334
"standard",5,2015,4060149.67959881
"standard",5,2016,383215.77646104
"standard",5,2017,188421.82160414
"standard",5,2018,165458.33377201
"standard",5,2019,217315.93225268
"standard",5,2020,214374.1337468
"standard",6,1982,782568.26559007
"standard",6,1983,1200905.26669591
"standard",6,1984,2407514.492061
"standard",6,1985,1875258.55843213
"standard",6,1986,291589.59382962
"standard",6,1987,617624.52751165
