"mode","peel","Year","ssb","recruit_male"
"standard",0,1982,208.13731148,815584.34466685
"standard",0,1983,256.56538167,1209329.10580369
"standard",0,1984,292.45068798,2577651.27757852
"standard",0,1985,304.26430739,1603417.96317154
"standard",0,1986,314.8131436,282548.3778235
"standard",0,1987,338.33560463,662559.89152983
"standard",0,1988,383.9766896,336465.94422703
"standard",0,1989,432.78825457,311421.17841245
"standard",0,1990,381.20484294,2591034.08413733
"standard",0,1991,340.76297008,1628647.65096092
"standard",0,1992,265.25814271,210053.0894849
"standard",0,1993,237.24563233,173793.93403862
"standard",0,1994,299.99207781,140018.31642633
"standard",0,1995,273.85279194,137696.52720271
"standard",0,1996,289.08906874,204418.17181735
"standard",0,1997,271.84672329,221350.36258292
"standard",0,1998,189.49195528,315859.52282086
"standard",0,1999,164.76938118,144906.10759258
"standard",0,2000,136.68807411,91185.12266488
"standard",0,2001,113.19631357,813204.88695859
"standard",0,2002,96.8050963,620977.34545946
"standard",0,2003,93.99981161,601607.31972167
"standard",0,2004,90.13888338,894073.63532345
"standard",0,2005,104.91475588,203673.82858648
"standard",0,2006,129.02430451,150881.8692632
"standard",0,2007,144.43817334,591994.85931425
"standard",0,2008,161.96108161,620512.49334803
"standard",0,2009,182.15911958,154123.76104314
"standard",0,2010,172.28488321,157656.50228978
"standard",0,2011,159.99491349,162553.97162274
"standard",0,2012,139.00377615,312674.76171095
"standard",0,2013,126.82474346,326052.18912653
"standard",0,2014,104.88402194,3104334.89118818
"standard",0,2015,90.73613144,648440.489816
"standard",0,2016,82.71993662,249386.37266533
"standard",0,2017,107.4771158,136958.56308668
"standard",0,2018,133.27770896,122038.25534664
"standard",0,2019,143.87118417,79570.48528061
"standard",0,2020,91.81389393,900313.24158034
"standard",0,2021,76.27879561,1154087.015513
"standard",0,2022,67.70017518,2116621.67124916
"standard",0,2023,59.60113197,495153.8182377
"standard",0,2024,73.65274518,323177.5957285
"standard",0,2025,112.32788769,357501.62744807
"standard",1,1982,203.48968955,860344.9432445
"standard",1,1983,252.18726112,1203241.95795057
"standard",1,1984,288.24845222,2548072.02660345
"standard",1,1985,300.08655025,1622742.99792945
"standard",1,1986,310.88637434,286412.39478184
"standard",1,1987,334.63450142,653026.51910379
"standard",1,1988,380.66216815,339794.55644738
"standard",1,1989,430.08239057,319047.23074962
"standard",1,1990,378.83383767,2552317.9587478
"standard",1,1991,338.91328929,1639659.95739282
"standard",1,1992,263.80725945,214260.17968568
"standard",1,1993,235.91989099,175319.45324053
"standard",1,1994,298.50222607,138201.40209625
"standard",1,1995,272.57204581,136273.81073961
"standard",1,1996,287.79313304,207607.87975991
"standard",1,1997,270.71317238,220076.87752961
"standard",1,1998,188.53034329,312839.81190564
"standard",1,1999,164.08465295,146505.48632413
"standard",1,2000,136.22660993,93181.4893781
"standard",1,2001,112.87859739,792513.6897738
"standard",1,2002,96.62517021,636456.81816742
"standard",1,2003,93.85991675,590590.84114796
"standard",1,2004,89.94760957,886529.17997632
"standard",1,2005,104.57832791,204355.69069467
"standard",1,2006,128.37716167,152066.09874569
"standard",1,2007,143.55422737,585392.3611566
"standard",1,2008,161.0903315,622438.66167982
"standard",1,2009,181.16913687,154376.77909875
"standard",1,2010,171.21006647,157520.70843988
"standard",1,2011,158.84071675,159103.05763554
"standard",1,2012,138.00177968,311033.91688754
"standard",1,2013,126.01561573,359209.92420248
"standard",1,2014,104.26900185,2873152.5465619
"standard",1,2015,90.22837808,800812.73764388
"standard",1,2016,82.24489107,319557.57981928
"standard",1,2017,106.04268757,160335.75367623
"standard",1,2018,128.26729978,164842.20470502
"standard",1,2019,115.10162331,456340.10858274
"standard",1,2020,72.44608351,701570.05389496
"standard",1,2021,64.59651706,1076175.24397677
"standard",1,2022,65.08351964,2056709.34141691
"standard",1,2023,63.28523835,567957.09244975
"standard",1,2024,84.44335701,407340.87078904
"standard",2,1982,203.04480161,869832.20500888
"standard",2,1983,251.75559702,1202330.11161442
"standard",2,1984,286.5952236,2541359.64409713
"standard",2,1985,297.82634308,1649806.0730793
"standard",2,1986,309.03314429,285191.63861091
"standard",2,1987,333.28347886,653720.44632913
"standard",2,1988,379.28177819,346333.74290116
"standard",2,1989,428.51495287,320542.14893511
"standard",2,1990,377.05170398,2495223.88302812
"standard",2,1991,337.41847889,1681525.6710816
"standard",2,1992,262.43462304,213273.44121786
"standard",2,1993,234.55998841,174167.75840773
"standard",2,1994,296.21392059,139092.93123348
"standard",2,1995,270.03834565,137455.36935445
"standard",2,1996,284.91238979,206044.70557975
"standard",2,1997,268.16191144,216834.05066781
"standard",2,1998,186.40086165,306629.40845048
"standard",2,1999,162.20299389,147099.37492632
"standard",2,2000,134.67005725,92391.86559513
"standard",2,2001,111.49292109,785906.39536207
"standard",2,2002,95.23551625,636281.30098847
"standard",2,2003,92.24200715,569961.51533562
"standard",2,2004,88.13526119,890639.45503134
"standard",2,2005,102.50485161,209021.1100026
"standard",2,2006,126.00332922,154282.00136574
"standard",2,2007,140.83035669,583552.33706171
"standard",2,2008,157.93962908,632095.41528046
"standard",2,2009,177.65556948,156364.98199887
"standard",2,2010,168.06217723,158432.41513327
"standard",2,2011,156.35069823,164012.02847791
"standard",2,2012,136.24213402,410932.30917413
"standard",2,2013,124.87381028,541132.69126142
"standard",2,2014,103.6884447,2737917.87244259
"standard",2,2015,91.00339486,1459974.82435974
"standard",2,2016,85.3303398,639399.64045141
"standard",2,2017,115.76595847,195783.69426957
"standard",2,2018,103.14113933,169740.21273473
"standard",2,2019,68.70124581,237289.04528338
"standard",2,2020,47.85186056,533229.25084898
"standard",2,2021,52.59471776,656468.21770903
"standard",2,2022,61.50323857,1539862.23941429
"standard",2,2023,59.73442642,652465.48779022
"standard",3,1982,203.09297363,847461.12067266
"standard",3,1983,251.81253719,1204597.14066363
"standard",3,1984,286.58453221,2537881.07443687
"standard",3,1985,297.7045708,1648873.16076738
"standard",3,1986,308.77663761,282754.54289421
"standard",3,1987,332.93294467,655419.8138489
"standard",3,1988,378.76867215,344849.033307
"standard",3,1989,427.8513447,319338.38653931
"standard",3,1990,376.37446108,2483420.42287221
"standard",3,1991,336.7045698,1690617.36349789
"standard",3,1992,261.73607514,211459.67940942
"standard",3,1993,233.85542479,173902.85078571
"standard",3,1994,295.32109597,139248.84283576
"standard",3,1995,269.22349032,138302.71975748
"standard",3,1996,284.17320553,203090.594795
"standard",3,1997,267.5974654,216229.28329875
"standard",3,1998,185.91130773,306475.62296089
"standard",3,1999,161.78186295,144871.05999237
"standard",3,2000,134.33251625,91009.44486642
"standard",3,2001,111.16345378,789778.70468656
"standard",3,2002,94.87139951,634249.44045209
"standard",3,2003,91.83169633,569374.15433051
"standard",3,2004,87.72007509,892449.33075513
"standard",3,2005,102.03003889,206897.69061462
"standard",3,2006,125.62995565,153024.51603866
"standard",3,2007,140.61987459,581219.92904951
"standard",3,2008,157.78362566,634902.26187303
"standard",3,2009,177.51501828,155448.86623938
"standard",3,2010,167.92183588,158848.23333469
"standard",3,2011,156.12173046,163677.8695482
"standard",3,2012,135.96076096,420050.20314241
"standard",3,2013,124.64195426,574351.71748961
"standard",3,2014,103.53275266,2792716.17680265
"standard",3,2015,91.00344235,1556750.32551367
"standard",3,2016,85.69014915,697873.44525608
"standard",3,2017,117.66600824,189772.86309866
"standard",3,2018,102.61778803,156372.82089741
"standard",3,2019,66.01222221,190240.38890001
"standard",3,2020,46.44657263,349617.27477491
"standard",3,2021,52.06201848,404894.91996235
"standard",3,2022,60.97763753,1487042.91904609
