"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
1,-14177.9493429384,0.011190382523741,20260822,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/001",235,NA,NA,71.30670058,70.99826821,0.30843237,20.22866878,20.22866878,FALSE,110.63067531,374679.70385877,2025,20260822,134,22.5,TRUE,"",FALSE,FALSE,NA
2,-14178.2686547677,0.00745402770689117,20260823,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/002",235,NA,NA,74.35061266,74.03369417,0.31691849,20.25060335,20.25060335,FALSE,113.04942573,365415.11875084,2025,20260823,134,20.9,TRUE,"",TRUE,FALSE,"A"
3,-14177.9493429379,0.00213986374129456,20260824,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/003",235,NA,NA,71.30669965,70.99826729,0.30843236,20.22866829,20.22866829,FALSE,110.63067495,374679.74454265,2025,20260824,134,20.6,TRUE,"",TRUE,FALSE,"B"
4,-14178.2686547686,0.00107064044012542,20260825,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/004",235,NA,NA,74.3506109,74.03369239,0.31691851,20.25060452,20.25060452,FALSE,113.0494252,365415.12608919,2025,20260825,134,20.4,TRUE,"",TRUE,FALSE,"A"
5,-14177.9493429363,0.00508068000829505,20260826,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/005",235,NA,NA,71.30670532,70.99827293,0.30843239,20.22866563,20.22866563,FALSE,110.63068184,374679.79566857,2025,20260826,134,20.2,TRUE,"",TRUE,FALSE,"B"
6,-14178.268654768,0.013838034314963,20260827,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/006",235,NA,NA,74.35058425,74.03366585,0.3169184,20.25061466,20.25061466,FALSE,113.04940157,365415.20115346,2025,20260827,134,20.7,TRUE,"",FALSE,FALSE,NA
7,-14172.1507090215,0.000651802766172963,20260828,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/007",235,NA,NA,74.55804817,74.24045971,0.31758846,20.13246673,20.13246673,FALSE,113.2907328,365669.66167132,2025,20260828,134,21.7,TRUE,"",TRUE,TRUE,"E"
8,-14178.268654769,0.00418987773420964,20260829,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/008",235,NA,NA,74.35061585,74.03369733,0.31691852,20.25060225,20.25060225,FALSE,113.04942726,365415.11758104,2025,20260829,134,20.9,TRUE,"",TRUE,FALSE,"A"
9,-14177.9493429346,0.0196950585081601,20260830,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/009",235,NA,NA,71.3066831,70.99825079,0.30843231,20.2286722,20.2286722,FALSE,110.63066777,374679.72378396,2025,20260830,134,21.4,TRUE,"",FALSE,FALSE,NA
10,-14177.9493429357,0.0106309616323464,20260831,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/010",235,NA,NA,71.30669678,70.99826443,0.30843235,20.22867271,20.22867271,FALSE,110.63066979,374679.70937804,2025,20260831,134,20.9,TRUE,"",FALSE,FALSE,NA
11,-14178.2686547675,0.00500793761847968,20260832,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/011",235,NA,NA,74.35061134,74.03369283,0.31691851,20.25060523,20.25060523,FALSE,113.04942367,365415.14041943,2025,20260832,134,20.7,TRUE,"",TRUE,FALSE,"A"
12,-14178.2686547681,0.00340294846650565,20260833,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/012",235,NA,NA,74.35060601,74.03368754,0.31691847,20.25060227,20.25060227,FALSE,113.04940776,365415.21389545,2025,20260833,134,21.6,TRUE,"",TRUE,FALSE,"A"
13,-14178.2686547684,0.00186833069031038,20260834,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/013",235,NA,NA,74.35061103,74.03369252,0.31691851,20.2506042,20.2506042,FALSE,113.04942434,365415.13525281,2025,20260834,134,21.2,TRUE,"",TRUE,FALSE,"A"
14,-14177.94934294,0.0095860298296015,20260835,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/014",235,NA,NA,71.30671608,70.99828363,0.30843245,20.22865863,20.22865863,FALSE,110.63068514,374679.8129887,2025,20260835,134,30.7,TRUE,"",TRUE,FALSE,"B"
15,-14174.393850396,0.00840104090036527,20260836,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/015",235,NA,NA,71.21083212,70.90262768,0.30820444,20.2731171,20.2731171,FALSE,110.54736335,374311.06368569,2025,20260836,134,20.5,TRUE,"",TRUE,FALSE,"D"
16,-14178.2686547679,0.0244129634780527,20260837,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/016",235,NA,NA,74.35060616,74.03368765,0.31691851,20.25060686,20.25060686,FALSE,113.04942467,365415.10692793,2025,20260837,134,19.9,TRUE,"",FALSE,FALSE,NA
17,-14171.8312983412,0.00756222723106633,20260838,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/017",235,NA,NA,71.22609882,70.91807306,0.30802576,20.34687342,20.34687342,FALSE,110.71800875,374392.79647516,2025,20260838,134,19.3,TRUE,"",TRUE,FALSE,"F"
18,-14172.1507090217,0.00102750425315129,20260839,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/018",235,NA,NA,74.55804456,74.24045612,0.31758844,20.13246859,20.13246859,FALSE,113.29073049,365669.65539246,2025,20260839,134,20.1,TRUE,"",TRUE,FALSE,"E"
19,-14178.2686547681,0.0120661967063314,20260840,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/019",235,NA,NA,74.3506064,74.03368791,0.31691849,20.25060723,20.25060723,FALSE,113.04941485,365415.13783443,2025,20260840,134,21.6,TRUE,"",FALSE,FALSE,NA
20,-14178.2686547688,0.00337452253271194,20260841,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/020",235,NA,NA,74.35061271,74.0336942,0.31691851,20.25060355,20.25060355,FALSE,113.04942944,365415.15371848,2025,20260841,134,20.8,TRUE,"",TRUE,FALSE,"A"
21,-14178.268654767,0.0196462139619629,20260842,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only_eqmdevs/jitter/021",235,NA,NA,74.35060956,74.03369106,0.3169185,20.25060692,20.25060692,FALSE,113.04942139,365415.10187172,2025,20260842,134,19.5,TRUE,"",FALSE,FALSE,NA
