
Initial statistics: 176 variables; iteration 0; function evaluation 0; phase 1
Function value -2.4010705e+04; maximum gradient component mag 2.8980e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.12687  2.89797e+02 |  2  0.35022 -3.94796e+00 |  3 -0.04668 -2.60735e-01
  4 -0.09885 -8.55131e-05 |  5 -0.11757 -3.20533e-05 |  6 -0.07732 -1.23936e-04
  7 -0.05538 -8.25607e-05 |  8 -0.04727 -6.99091e-05 |  9 -0.02114 -7.72330e-05
 10 -0.02079 -1.58796e-04 | 11 -0.02430 -1.83279e-04 | 12  0.04027 -1.30401e-04
 13  0.01525 -1.28559e-04 | 14  0.04417 -1.21984e-04 | 15  0.05609 -4.15104e-05
 16  0.01761  1.05283e-05 | 17  0.03727 -5.40061e-05 | 18  0.03641 -2.05907e-04
 19  0.02208 -3.38717e-04 | 20  0.07537 -6.89440e-04 | 21 -0.02003 -9.99568e-05
 22 -0.02557  6.76833e-05 | 23  0.01180 -3.46964e-05 | 24  0.01983 -1.65186e-04
 25 -0.01873 -3.46809e-04 | 26 -0.02862 -4.77793e-04 | 27 -0.04821 -4.10289e-04
 28 -0.01444 -6.88049e-04 | 29  0.00921 -1.57998e-03 | 30 -0.00752 -1.83866e-03
 31 -0.03893 -1.76660e-03 | 32 -0.03765 -2.18346e-03 | 33 -0.00920 -4.20098e-03
 34  0.01610 -7.66525e-03 | 35  0.03950 -1.56350e-02 | 36  0.06664 -3.07680e-02
 37  0.06454 -3.71517e-02 | 38  0.03705 -2.99066e-02 | 39  0.03796 -4.69374e-02
 40  0.06886 -1.53877e-01 | 41  0.05090 -6.20039e-01 | 42  0.08066 -2.00452e+00
 43 -0.03737 -1.39435e+00 | 44 -0.05996 -7.97928e-01 | 45 -0.03927 -6.07422e-01
 46  0.00244 -1.86034e-05 | 47 -0.00004  1.75455e-06 | 48 -0.01400 -2.80403e-06
 49 -0.02736 -1.18175e-05 | 50 -0.77664 -1.89468e-07 | 51 -0.34789 -1.49621e-05
 52 -0.38236 -5.49407e-06 | 53 -0.12007 -1.25440e-06 | 54 -0.03583  5.38615e-06
 55  0.12932 -1.25176e-05 | 56  0.10043 -2.15620e-05 | 57  0.09438 -9.68018e-06
