"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
1,-23542.3715135338,0.00547205870048531,20260822,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/001",411,NA,NA,84.11841977,83.90518177,0.213238,66.83073982,66.83073982,FALSE,143.58000495,1020764.67383767,2025,20260822,134,49.6,TRUE,"",TRUE,FALSE,"minor"
2,-23538.2781143115,0.00135955975689776,20260823,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/002",411,NA,NA,87.39484495,87.16713431,0.22771064,58.3382663,58.3382663,FALSE,146.35979864,992799.56902394,2025,20260823,134,48.1,TRUE,"",TRUE,FALSE,"minor"
3,-23535.5758128184,0.00388328943300094,20260824,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/003",411,NA,NA,85.62360267,85.42259796,0.20100471,76.45102919,76.45102919,FALSE,148.52131914,1171143.55769808,2025,20260824,134,48.5,TRUE,"",TRUE,FALSE,"minor"
4,-23233.3124120552,0.00479367670022096,20260825,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/004",411,NA,NA,82.85675671,82.57185104,0.28490567,34.05724521,34.05724521,FALSE,130.87170793,657193.21530846,2025,20260825,134,53.4,TRUE,"",TRUE,FALSE,"minor"
5,-23535.9073197504,0.00218633488317836,20260826,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/005",411,NA,NA,86.34246733,86.1180937,0.22437363,60.92021209,60.92021209,FALSE,144.97196729,1008425.20295487,2025,20260826,134,47.5,TRUE,"",TRUE,FALSE,"minor"
6,-23536.5393800611,0.00252967793548582,20260827,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/006",411,NA,NA,85.69231101,85.46532099,0.22699002,59.21314836,59.21314836,FALSE,143.55751484,980462.92935489,2025,20260827,134,49,TRUE,"",TRUE,FALSE,"G"
7,-23532.9844136136,0.00532236551707203,20260828,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/007",411,NA,NA,86.20952942,85.99786556,0.21166386,69.6600976,69.6600976,FALSE,147.4229615,1098172.79558378,2025,20260828,134,48.4,TRUE,"",TRUE,FALSE,"minor"
8,-23540.2318875907,0.00194481918724861,20260829,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/008",411,NA,NA,85.05076662,84.83724053,0.21352609,66.25956459,66.25956459,FALSE,144.84456193,1061993.89003249,2025,20260829,134,47.9,TRUE,"",TRUE,FALSE,"B"
9,-23539.9999466676,0.00125499611856265,20260830,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/009",411,NA,NA,85.32329235,85.11167136,0.21162099,67.82576113,67.82576113,FALSE,145.64115578,1081287.71575621,2025,20260830,134,49.1,TRUE,"",TRUE,FALSE,"minor"
10,-23541.3587706751,0.0175076643022601,20260831,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_stability/jitter/010",411,NA,NA,85.26232106,85.05378559,0.20853547,69.7708458,69.7708458,FALSE,146.0382135,1068356.55363919,2025,20260831,134,47.4,TRUE,"",FALSE,FALSE,NA
