ParName   Value   Gradient
T_pars_est[3]      14.3448  0.000650771
T_pars_est[11]      9.91258  4.75084e-06
T_pars_est[12]      9.91862  1.75453e-05
T_pars_est[13]      9.94745 -1.16711e-05
T_pars_est[14]      10.0587 -4.89187e-06
T_pars_est[15]      10.5709 -1.50379e-05
T_pars_est[16]      11.1868  6.84521e-06
T_pars_est[17]      11.6473    8.242e-06
T_pars_est[18]      11.8096   -2.105e-05
T_pars_est[19]      11.8386 -1.85228e-05
T_pars_est[20]      11.8076 -1.93231e-05
T_pars_est[21]      11.7188  1.01863e-05
T_pars_est[22]      11.4011  1.70226e-05
T_pars_est[23]      10.9956  1.22048e-05
T_pars_est[24]      10.6246  2.31623e-05
T_pars_est[25]      10.6504  1.01307e-05
T_pars_est[26]      11.5399  0.000134388
T_pars_est[27]      11.0823  0.000142132
T_pars_est[28]       10.292 -3.33276e-05
T_pars_est[29]      9.30055  2.61562e-06
T_pars_est[30]      8.30895  -1.4591e-05
T_pars_est[31]      7.48265 -2.41533e-06
T_pars_est[32]      7.07911 -1.07022e-05
T_pars_est[33]      12.9061  8.18047e-06
T_pars_est[34]      13.4851 -3.04814e-05
T_pars_est[35]       13.462 -1.18455e-05
T_pars_est[36]      13.5284 -1.82755e-05
T_pars_est[37]      12.9828 -6.06361e-06
T_pars_est[38]      13.0379 -1.31704e-05
T_pars_est[39]      12.7326  1.31347e-05
T_pars_est[40]      12.4673   3.9225e-06
T_pars_est[41]      12.3815 -3.07591e-06
T_pars_est[42]      11.8767 -6.18288e-06
T_pars_est[43]       11.292 -3.07897e-05
T_pars_est[44]      11.2365  2.70246e-05
T_pars_est[45]      11.3222 -2.52134e-05
T_pars_est[46]      10.3399 -2.04648e-05
T_pars_est[47]      8.99867  2.40768e-05
T_pars_est[48]      7.98685 -2.43025e-05
T_pars_est[49]      7.22673  -1.8046e-06
T_pars_est[50]      6.67577 -2.25218e-05
T_pars_est[51]      6.27284 -2.00286e-06
