"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
1,-23545.7415163852,0.00926675592280333,20260822,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/001",412,NA,NA,80.37898357,80.15322905,0.22575452,57.46143788,57.46143788,FALSE,135.86261828,993747.13699261,2025,20260822,134,54.3,TRUE,"",TRUE,FALSE,"minor"
2,-23545.367818282,0.00862448992068598,20260823,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/002",412,NA,NA,80.38850321,80.162652,0.22585121,57.32677205,57.32677205,FALSE,135.83292941,993015.73252065,2025,20260823,134,47.8,TRUE,"",TRUE,FALSE,"minor"
3,-23533.6551621262,0.0130856739165417,20260824,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/003",412,NA,NA,81.81580696,81.60283824,0.21296872,67.27915816,67.27915816,FALSE,141.17280268,1144513.91109526,2025,20260824,134,50.4,TRUE,"",FALSE,FALSE,NA
4,-23544.6555980632,0.00161260224191593,20260825,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/004",412,NA,NA,84.79996179,84.56357319,0.2363886,51.52308465,51.52308465,FALSE,141.84747756,1024286.45223902,2025,20260825,134,59,TRUE,"",TRUE,FALSE,"B"
5,-23544.4973142973,0.00486572418954418,20260826,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/005",412,NA,NA,80.90136764,80.67773561,0.22363203,58.67076835,58.67076835,FALSE,136.95553902,1017715.23330731,2025,20260826,134,46.6,TRUE,"",TRUE,FALSE,"D"
6,-23544.9233497145,0.00995954214978643,20260827,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/006",412,NA,NA,80.18753047,79.96024401,0.22728646,56.34372001,56.34372001,FALSE,135.25914243,977076.52553649,2025,20260827,134,50.1,TRUE,"",TRUE,FALSE,"A"
7,-23545.367818282,0.00757006082754805,20260828,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/007",412,NA,NA,80.38850775,80.16265652,0.22585123,57.32673644,57.32673644,FALSE,135.83291412,993015.80001372,2025,20260828,134,51.6,TRUE,"",TRUE,FALSE,"minor"
8,-23544.9255327628,0.00666893354235166,20260829,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/008",412,NA,NA,81.65375216,81.43325957,0.22049259,60.32813763,60.32813763,FALSE,138.56303472,1048592.04493738,2025,20260829,134,46.2,TRUE,"",TRUE,FALSE,"A"
9,-23542.277019971,0.00191629708086303,20260830,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/009",412,NA,NA,81.42049175,81.21364045,0.2068513,69.61356097,69.61356097,FALSE,141.3792465,1158874.6033078,2025,20260830,134,53.6,TRUE,"",TRUE,FALSE,"minor"
10,-23544.5610072107,0.00409485680681269,20260831,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/010",412,NA,NA,81.43595094,81.2138704,0.22208054,59.18143268,59.18143268,FALSE,137.92518975,1030765.42084419,2025,20260831,134,50.1,TRUE,"",TRUE,FALSE,"C"
11,-23542.0944260284,0.00560590615491946,20260832,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/011",412,NA,NA,80.51638892,80.2918442,0.22454472,58.2004407,58.2004407,FALSE,136.26372708,1006191.97175122,2025,20260832,134,50.1,TRUE,"",TRUE,FALSE,"minor"
12,-23534.1738718611,0.00733280398210133,20260833,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/012",412,NA,NA,82.16278775,81.94448631,0.21830144,63.60601488,63.60601488,FALSE,140.19072687,1115341.98429964,2025,20260833,134,48.4,TRUE,"",TRUE,FALSE,"minor"
13,-23544.4903758963,0.0012009903845781,20260834,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_update_newmat_plus_group/jitter/013",412,NA,NA,81.51263283,81.29159895,0.22103388,59.88402227,59.88402227,FALSE,138.23667878,1039434.79767088,2025,20260834,134,49.9,TRUE,"",TRUE,FALSE,"D"
