"mode","peel","Year","recruit_male"
"standard",0,1982,2575389.07982725
"standard",0,1983,2454627.83626576
"standard",0,1984,4218902.60688807
"standard",0,1985,4441276.74762719
"standard",0,1986,159187.56413178
"standard",0,1987,1505231.27614801
"standard",0,1988,620526.88135779
"standard",0,1989,741877.33255757
"standard",0,1990,4015745.63479377
"standard",0,1991,4395407.1834702
"standard",0,1992,188329.23661623
"standard",0,1993,425586.70242734
"standard",0,1994,287832.66765604
"standard",0,1995,202933.36411849
"standard",0,1996,473635.79985334
"standard",0,1997,392931.64856182
"standard",0,1998,650450.72110336
"standard",0,1999,331809.40925561
"standard",0,2000,54674.60775275
"standard",0,2001,1673808.93505861
"standard",0,2002,1181922.10348034
"standard",0,2003,1250056.96028639
"standard",0,2004,1928644.14801362
"standard",0,2005,330466.83760315
"standard",0,2006,397875.63365499
"standard",0,2007,944600.48202176
"standard",0,2008,1486109.68986129
"standard",0,2009,160251.4628721
"standard",0,2010,442292.28652466
"standard",0,2011,181857.39670256
"standard",0,2012,657596.87230819
"standard",0,2013,510110.98812581
"standard",0,2014,4758834.16029824
"standard",0,2015,1993568.89183548
"standard",0,2016,266462.81298303
"standard",0,2017,60447.56971635
"standard",0,2018,87528.78524412
"standard",0,2019,64510.11231901
"standard",0,2020,1654301.69894893
"standard",0,2021,2355635.14472586
"standard",0,2022,4279609.60119369
"standard",0,2023,1487761.36085952
"standard",0,2024,927671.37359676
"standard",0,2025,1006502.97729507
"standard",1,1982,2241706.9237339
"standard",1,1983,2098298.34743206
"standard",1,1984,3692938.70870003
"standard",1,1985,3536128.75365019
"standard",1,1986,140618.83553101
"standard",1,1987,1282480.06947867
"standard",1,1988,504039.52647741
"standard",1,1989,630766.86745419
"standard",1,1990,3709207.69941069
"standard",1,1991,3470978.35934195
"standard",1,1992,167891.81700742
"standard",1,1993,412258.54945619
"standard",1,1994,211682.36227928
"standard",1,1995,160295.97836934
"standard",1,1996,427537.78663293
"standard",1,1997,393285.50135953
"standard",1,1998,559338.53087864
"standard",1,1999,275349.22941003
"standard",1,2000,49912.90941687
