"mode","peel","Year","ssb","recruit_male"
"standard",0,1982,212.98151835,2591682.88282856
"standard",0,1983,276.37580715,2473545.38067087
"standard",0,1984,320.43808917,4244676.84387632
"standard",0,1985,335.76642301,4489481.29692766
"standard",0,1986,352.34678709,159944.70017017
"standard",0,1987,385.54419444,1516221.41712541
"standard",0,1988,446.65740607,626840.72249258
"standard",0,1989,507.88372876,747946.18945151
"standard",0,1990,455.62852137,4033686.49539015
"standard",0,1991,409.48863855,4442050.67216984
"standard",0,1992,323.01513208,189394.79826073
"standard",0,1993,293.54072092,427488.14671226
"standard",0,1994,373.44352821,291082.6040026
"standard",0,1995,340.64855385,204963.45018323
"standard",0,1996,354.47822688,476284.78082574
"standard",0,1997,331.13490664,394872.49673695
"standard",0,1998,235.33012989,654457.28723999
"standard",0,1999,200.84027361,335504.68888935
"standard",0,2000,165.6280461,54946.08084186
"standard",0,2001,138.15219537,1682865.25337471
"standard",0,2002,118.98224794,1191705.15745023
"standard",0,2003,113.95654774,1255154.55767655
"standard",0,2004,107.87859502,1945406.97845076
"standard",0,2005,124.28328413,336321.4736851
"standard",0,2006,156.17471863,400633.43727034
"standard",0,2007,177.41435638,951673.45366005
"standard",0,2008,198.76231685,1498559.07571969
"standard",0,2009,220.26065481,161447.53620252
"standard",0,2010,207.08224922,446216.62147069
"standard",0,2011,192.87396411,182419.54437375
"standard",0,2012,170.25551714,657916.37832262
"standard",0,2013,156.4470684,515049.4780669
"standard",0,2014,130.08767752,4777860.10504392
"standard",0,2015,112.42164215,1963675.67214385
"standard",0,2016,101.71459055,263951.99821152
"standard",0,2017,129.55186253,59926.56269296
"standard",0,2018,164.90076699,86063.61270331
"standard",0,2019,171.50039015,62287.45164165
"standard",0,2020,114.35300717,1597365.240117
"standard",0,2021,94.42667427,2287910.67069749
"standard",0,2022,81.62796193,4167286.24134891
"standard",0,2023,70.4397625,1455360.34256726
"standard",0,2024,89.53619638,908519.59977115
"standard",0,2025,137.4372431,992580.81660986
"standard",1,1982,207.20712236,2246212.01388253
"standard",1,1983,277.82006156,2104460.22614135
"standard",1,1984,324.29343521,3702577.67930666
"standard",1,1985,337.59204548,3550540.64041589
"standard",1,1986,349.80031604,140770.57096057
"standard",1,1987,378.28956411,1286192.23868918
"standard",1,1988,435.49375919,505589.21299944
"standard",1,1989,493.85391404,633009.03992742
"standard",1,1990,440.21714294,3718617.87045429
"standard",1,1991,393.09798397,3483231.79095351
"standard",1,1992,308.20141892,168270.41237088
"standard",1,1993,278.7012157,413562.97471871
"standard",1,1994,355.7136568,212246.31976388
"standard",1,1995,324.98047756,161015.51422336
"standard",1,1996,340.41943328,428497.08104408
"standard",1,1997,318.30434554,394249.65219549
"standard",1,1998,224.4009952,560957.02330688
"standard",1,1999,192.95405016,276511.06763065
"standard",1,2000,159.3428155,49999.30769362
"standard",1,2001,133.18943273,1512497.0658354
"standard",1,2002,116.10929892,1039990.80802763
"standard",1,2003,113.46839832,1140164.00535112
"standard",1,2004,108.48916192,1574349.945157
"standard",1,2005,125.08250501,229461.64781305
"standard",1,2006,157.011997,320218.047037
"standard",1,2007,178.75023709,807542.78191352
"standard",1,2008,199.75447123,1257342.12895482
"standard",1,2009,220.13597315,133847.43520271
"standard",1,2010,204.58732733,374211.13829307
"standard",1,2011,186.67420416,182458.23189381
"standard",1,2012,162.20286922,833788.40438774
"standard",1,2013,148.29596622,753603.94151775
"standard",1,2014,123.36856186,4852674.49889507
"standard",1,2015,109.16599256,3573760.5895139
"standard",1,2016,103.74653985,360502.41843984
"standard",1,2017,147.40260527,68373.81696681
"standard",1,2018,123.30747494,104959.27701322
"standard",1,2019,91.50116641,811557.80861915
"standard",1,2020,59.03770703,1367278.2520454
"standard",1,2021,59.75128369,2030761.28609707
"standard",1,2022,66.90914905,4304375.0259619
