ParName   Value   Gradient
T_pars_est[3]      12.9921            0
T_pars_est[9]      9.16522            0
T_pars_est[10]      9.18329            0
T_pars_est[11]      9.24347            0
T_pars_est[12]      9.41743            0
T_pars_est[13]      9.97771            0
T_pars_est[14]      10.6475            0
T_pars_est[15]      11.2022            0
T_pars_est[16]      11.4466            0
T_pars_est[17]        11.54            0
T_pars_est[18]      11.5651            0
T_pars_est[19]      11.5269            0
T_pars_est[20]      11.2749            0
T_pars_est[21]      10.9601            0
T_pars_est[22]       10.692            0
T_pars_est[23]      10.7617            0
T_pars_est[24]      11.7992            0
T_pars_est[25]      11.2675            0
T_pars_est[26]      10.2823            0
T_pars_est[27]      9.21146            0
T_pars_est[28]       8.1786            0
T_pars_est[29]       7.3387            0
T_pars_est[30]      6.92631            0
T_pars_est[31]      13.7489            0
T_pars_est[32]       13.344            0
T_pars_est[33]      12.7407            0
T_pars_est[34]      12.8087            0
T_pars_est[35]      12.4405            0
T_pars_est[36]      12.5476            0
T_pars_est[37]      12.2362            0
T_pars_est[38]      11.9566            0
T_pars_est[39]         11.9            0
T_pars_est[40]      11.3849            0
T_pars_est[41]      10.7444            0
T_pars_est[42]      10.6441            0
T_pars_est[43]      10.7747            0
T_pars_est[44]      9.89439            0
T_pars_est[45]      8.56812            0
T_pars_est[46]      7.53868            0
T_pars_est[47]      6.79512            0
T_pars_est[48]      6.27161            0
T_pars_est[49]       5.8912            0
T_pars_est[50]       5.6111            0
T_pars_est[51]      5.41726            0
T_pars_est[52]      5.31683            0
G_pars_est[1]    0.0643788            0
G_pars_est[2]    -0.253585            0
M_pars_est[1]     0.289072            0
M_pars_est[2]     0.510609            0
M_pars_est[3]      1.15691            0
M_pars_est[5]           -1            0
M_pars_est[7]      2.85595            0
S_pars_est[1]      4.68493            0
S_pars_est[2]      1.72016            0
S_pars_est[3]      4.82871            0
S_pars_est[4]      2.39857            0
S_pars_est[5]     -2.52476            0
S_pars_est[6]     -2.14402            0
S_pars_est[7]     -1.81754            0
S_pars_est[8]     -1.18591            0
S_pars_est[9]     -1.24437            0
S_pars_est[10]      -1.1263            0
S_pars_est[11]    -0.923286            0
S_pars_est[12]    -0.922415            0
S_pars_est[13]     -1.04031            0
S_pars_est[14]     -1.00661            0
S_pars_est[15]    -0.942158            0
S_pars_est[16]    -0.896413            0
S_pars_est[17]    -0.873365            0
S_pars_est[18]    -0.784395            0
S_pars_est[19]    -0.774712            0
S_pars_est[20]    -0.884998            0
S_pars_est[21]    -0.733078            0
S_pars_est[22]    -0.627854            0
S_pars_est[23]    -0.440322            0
S_pars_est[24]    -0.288444            0
S_pars_est[25]      -0.1904            0
S_pars_est[26]    -0.225763            0
S_pars_est[27]     -3.13329            0
S_pars_est[28]     -2.60508            0
S_pars_est[29]     -1.79465            0
S_pars_est[30]     -1.28346            0
S_pars_est[31]     -1.11678            0
S_pars_est[32]     -0.96364            0
S_pars_est[33]    -0.818073            0
S_pars_est[34]    -0.754047            0
S_pars_est[35]     -0.85533            0
S_pars_est[36]    -0.886721            0
S_pars_est[37]    -0.860904            0
S_pars_est[38]    -0.811132            0
S_pars_est[39]    -0.787912            0
S_pars_est[40]    -0.693282            0
S_pars_est[41]    -0.557397            0
S_pars_est[42]    -0.331979            0
S_pars_est[43]    -0.232737            0
S_pars_est[44]    -0.163117            0
S_pars_est[45]    -0.133765            0
S_pars_est[46]   -0.0964788            0
S_pars_est[47]   -0.0567322            0
S_pars_est[48]   -0.0438884            0
S_pars_est[49]      4.59921            0
S_pars_est[50]      0.28598            0
log_fbar[1]     0.215383            0
log_fbar[2]     -4.57307            0
log_fdev[1](1)     -1.56973            0
log_fdev[1](2)     -1.81359            0
