"idx","objFun","maxGrad","seed","folder","npar","bmsy","status","ofl_tot","ofl_directed","ofl_disc","fmsy","fofl","has_hessian","mmb_terminal","rec_terminal","terminal_year","seed_used","exit_code","elapsed_s","complete","note","converged","meets_conventional","mode"
1,-14011.6003294071,0.00109616501124376,20260822,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/001",234,NA,NA,71.00552868,70.69327925,0.31224943,20.61303856,20.61303856,FALSE,109.90744644,366212.34257379,2025,20260822,134,13.1,TRUE,"",TRUE,FALSE,"B"
2,-14006.3892011006,0.00153713271460919,20260823,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/002",234,NA,NA,75.20721225,74.88231989,0.32489236,20.1275348,20.1275348,FALSE,113.53015137,363602.41026096,2025,20260823,134,11.9,TRUE,"",TRUE,FALSE,"C"
3,-14011.7954407054,0.00161571530973571,20260824,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/003",234,NA,NA,74.02938905,73.70850034,0.32088871,20.64122377,20.64122377,FALSE,112.32796891,357501.61338291,2025,20260824,134,12.4,TRUE,"",TRUE,FALSE,"A"
4,-14006.2231092495,0.000548221916603556,20260825,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/004",234,NA,NA,72.25263118,71.93615468,0.3164765,20.08565515,20.08565515,FALSE,111.18258244,372620.37888352,2025,20260825,134,12.8,TRUE,"",TRUE,TRUE,"D"
5,-14011.6003294071,0.00154765253429027,20260826,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/005",234,NA,NA,71.00553422,70.69328476,0.31224946,20.61303724,20.61303724,FALSE,109.90745089,366212.34714139,2025,20260826,134,13.9,TRUE,"",TRUE,FALSE,"B"
6,-14006.3892011005,0.000203661267668998,20260827,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/006",234,NA,NA,75.2072146,74.88232222,0.32489238,20.12753474,20.12753474,FALSE,113.53014972,363602.38327125,2025,20260827,134,13.1,TRUE,"",TRUE,TRUE,"C"
7,-14006.2231092488,0.00221607394347872,20260828,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/007",234,NA,NA,72.2526284,71.93615193,0.31647647,20.08565582,20.08565582,FALSE,111.18259049,372620.39458391,2025,20260828,134,13.5,TRUE,"",TRUE,FALSE,"D"
8,-14006.3892010975,0.00358046054160337,20260829,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/008",234,NA,NA,75.20722133,74.88232891,0.32489242,20.12753192,20.12753192,FALSE,113.53015398,363602.36025638,2025,20260829,134,12.5,TRUE,"",TRUE,FALSE,"C"
9,-14006.3093118896,0.00404067733010285,20260830,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/009",234,NA,NA,75.07226617,74.74780295,0.32446322,20.21327306,20.21327306,FALSE,113.42894331,363257.31589786,2025,20260830,134,13.5,TRUE,"",TRUE,FALSE,"minor"
10,-14006.2231092499,0.00915565604616047,20260831,"/Users/grantadams/Documents/GitHub/AFSC_assessments/snow_sept/Models/26_gmacs_male_only/jitter/010",234,NA,NA,72.25263804,71.93616154,0.3164765,20.08565505,20.08565505,FALSE,111.1825897,372620.34723207,2025,20260831,134,13.9,TRUE,"",TRUE,FALSE,"D"
