"mode","peel","Year","recruit_male"
"standard",0,1982,2591682.88282856
"standard",0,1983,2473545.38067087
"standard",0,1984,4244676.84387632
"standard",0,1985,4489481.29692766
"standard",0,1986,159944.70017017
"standard",0,1987,1516221.41712541
"standard",0,1988,626840.72249258
"standard",0,1989,747946.18945151
"standard",0,1990,4033686.49539015
"standard",0,1991,4442050.67216984
"standard",0,1992,189394.79826073
"standard",0,1993,427488.14671226
"standard",0,1994,291082.6040026
"standard",0,1995,204963.45018323
"standard",0,1996,476284.78082574
"standard",0,1997,394872.49673695
"standard",0,1998,654457.28723999
"standard",0,1999,335504.68888935
"standard",0,2000,54946.08084186
"standard",0,2001,1682865.25337471
"standard",0,2002,1191705.15745023
"standard",0,2003,1255154.55767655
"standard",0,2004,1945406.97845076
"standard",0,2005,336321.4736851
"standard",0,2006,400633.43727034
"standard",0,2007,951673.45366005
"standard",0,2008,1498559.07571969
"standard",0,2009,161447.53620252
"standard",0,2010,446216.62147069
"standard",0,2011,182419.54437375
"standard",0,2012,657916.37832262
"standard",0,2013,515049.4780669
"standard",0,2014,4777860.10504392
"standard",0,2015,1963675.67214385
"standard",0,2016,263951.99821152
"standard",0,2017,59926.56269296
"standard",0,2018,86063.61270331
"standard",0,2019,62287.45164165
"standard",0,2020,1597365.240117
"standard",0,2021,2287910.67069749
"standard",0,2022,4167286.24134891
"standard",0,2023,1455360.34256726
"standard",0,2024,908519.59977115
"standard",0,2025,992580.81660986
"standard",1,1982,2246212.01388253
"standard",1,1983,2104460.22614135
"standard",1,1984,3702577.67930666
"standard",1,1985,3550540.64041589
"standard",1,1986,140770.57096057
"standard",1,1987,1286192.23868918
"standard",1,1988,505589.21299944
"standard",1,1989,633009.03992742
"standard",1,1990,3718617.87045429
"standard",1,1991,3483231.79095351
"standard",1,1992,168270.41237088
"standard",1,1993,413562.97471871
"standard",1,1994,212246.31976388
"standard",1,1995,161015.51422336
"standard",1,1996,428497.08104408
"standard",1,1997,394249.65219549
"standard",1,1998,560957.02330688
