ParName   Value   Gradient
theta[1]     0.282859  3.38718e-05
theta[2]     0.275058  1.78645e-05
theta[13]      9.58943 -7.20757e-06
theta[14]      9.59396  -4.6922e-06
theta[15]      9.63081  7.03234e-06
theta[16]      9.84085  1.58797e-05
theta[17]      10.4984 -4.05501e-06
theta[18]      11.2079 -6.15639e-07
theta[19]      11.6616  3.43736e-06
theta[20]      11.8503 -4.12265e-06
theta[21]      11.8957 -4.11463e-06
theta[22]      11.9347 -1.26324e-05
theta[23]      11.9255  1.62529e-06
theta[24]      11.7014 -1.98564e-06
theta[25]      11.4675 -1.79548e-06
theta[26]      11.2837  1.50811e-05
theta[27]      11.3375  1.60591e-05
theta[28]      11.1897 -1.45868e-05
theta[29]      10.5048 -3.41888e-05
theta[30]      9.65174 -1.41511e-05
theta[31]      8.65376 -2.15705e-06
theta[32]      7.66548  1.74394e-05
theta[33]      6.86261  -5.1439e-06
theta[34]      6.42209 -3.37523e-06
theta[35]      12.7753  2.13855e-05
theta[36]      13.5357  3.10391e-05
theta[37]      13.6152  1.37018e-05
theta[38]      13.3645 -3.63695e-06
theta[39]      12.5633 -7.40187e-06
theta[40]      12.6722 -1.00008e-05
theta[41]      12.5105 -6.04959e-06
theta[42]      12.1804  -3.8425e-06
theta[43]      11.8726 -5.99956e-06
theta[44]      11.4579   9.1078e-06
theta[45]      10.7929  1.42325e-05
theta[46]      10.3375 -5.12448e-07
theta[47]      10.1645 -1.65107e-05
theta[48]      9.56095 -9.20045e-06
theta[49]      8.41863  8.62299e-08
theta[50]      7.36645  1.84005e-06
theta[51]      6.55709 -6.29602e-06
theta[52]      5.96958 -9.37606e-07
theta[53]      5.54517  -3.8976e-06
theta[54]      5.23595 -2.48617e-06
theta[55]      5.02444 -1.49465e-06
theta[56]      4.91689  7.03385e-06
theta[57]      12.0838 -6.13709e-06
theta[58]      12.1322  1.50866e-06
theta[59]        12.21 -6.33773e-06
theta[60]      12.3546  3.33713e-06
theta[61]      13.3388  4.63279e-06
theta[62]      13.6367  1.49102e-05
theta[63]      13.1805 -2.39602e-05
theta[64]      12.3201 -9.85835e-06
theta[65]      11.2757  -2.9342e-05
theta[66]      10.1163 -2.96271e-05
theta[67]      9.32065 -2.30129e-05
theta[68]      8.76378 -1.32492e-05
theta[69]      8.43198 -1.34471e-05
theta[70]      8.15412 -1.16329e-05
theta[71]      7.88949 -4.11518e-06
theta[72]       7.6213 -1.14765e-05
theta[73]      7.38472  2.31018e-06
theta[74]      7.17959 -1.39459e-06
theta[75]      7.00777 -3.96584e-06
theta[76]      6.87239 -9.85796e-06
theta[77]      6.77725 -1.13748e-05
theta[78]      6.72686 -1.30621e-05
theta[79]     -13.6797  5.27825e-06
theta[80]     -13.7506  8.02073e-06
theta[81]     -13.9032 -2.18986e-05
theta[82]      -14.029 -5.21159e-05
theta[83]     -13.7776 -0.000221351
theta[84]     -13.5014  -0.00124079
theta[85]      -14.385 -0.000123136
theta[86]     -15.4509  6.54771e-05
theta[87]     -16.3736  0.000121623
theta[88]     -17.0675  0.000115214
theta[89]     -17.5514  4.05618e-05
theta[90]     -17.8899  4.31683e-05
theta[91]     -18.1631  5.54357e-05
theta[92]     -18.3873  2.21592e-05
theta[93]     -18.5772  5.29218e-05
theta[94]     -18.7403  3.25925e-05
theta[95]     -18.8802  4.29387e-05
theta[96]      -18.999  1.39121e-05
theta[97]     -19.0971 -5.88612e-05
theta[98]     -19.1741  9.31516e-06
theta[99]     -19.2284 -0.000164864
theta[100]     -19.2568  3.83122e-05
Grwth[1]       2.3174 -0.000173296
Grwth[2]    -0.213115  0.000341315
Grwth[4]     0.218689  -6.5312e-05
Grwth[5]    -0.281706   0.00014364
log_slx_pars[1]      4.67646  0.000344947
log_slx_pars[2]      1.43777 -8.56252e-06
log_slx_pars[3]      4.23328  0.000495601
log_slx_pars[4]      1.04711 -0.000105433
log_slx_pars[5]      4.77067 -3.77853e-05
log_slx_pars[6]      2.40566 -4.74546e-06
log_slx_pars[7]     -3.11507 -1.26385e-07
log_slx_pars[8]     -2.40087 -1.01031e-06
log_slx_pars[9]     -1.92488 -4.72936e-06
log_slx_pars[10]     -1.17758 -2.84414e-06
log_slx_pars[11]      -1.2136  1.92459e-06
log_slx_pars[12]     -1.16523  -1.9796e-06
log_slx_pars[13]    -0.954715  5.28071e-06
log_slx_pars[14]    -0.986905  -4.2108e-06
log_slx_pars[15]     -1.14372  6.16098e-06
log_slx_pars[16]     -1.14393 -4.39905e-06
log_slx_pars[17]     -1.07382  1.16217e-05
log_slx_pars[18]     -1.03581 -6.29629e-06
log_slx_pars[19]     -0.99154   4.6873e-07
log_slx_pars[20]    -0.852988   6.4653e-06
log_slx_pars[21]    -0.793274     2.47e-06
log_slx_pars[22]     -0.70111  4.01873e-06
log_slx_pars[23]    -0.558949  6.47108e-06
log_slx_pars[24]    -0.438901  6.20976e-06
log_slx_pars[25]    -0.334078 -3.48498e-06
log_slx_pars[26]    -0.219119 -5.21754e-06
log_slx_pars[27]    -0.108479  8.55442e-07
log_slx_pars[28]   -0.0421035  8.39987e-06
log_slx_pars[29]     -4.56561 -1.72733e-06
log_slx_pars[30]     -4.87766  2.74171e-06
log_slx_pars[31]     -4.18618 -2.73847e-06
log_slx_pars[32]     -2.21093 -2.80627e-05
log_slx_pars[33]     -1.36678 -5.23697e-05
log_slx_pars[34]    -0.614813 -0.000187246
log_slx_pars[35]    -0.573789 -2.21677e-05
log_slx_pars[36]    -0.761541  2.68683e-05
log_slx_pars[37]    -0.816216   2.6858e-05
log_slx_pars[38]     -0.91629  2.95786e-05
log_slx_pars[39]    -0.908176  2.60769e-05
log_slx_pars[40]    -0.868631  1.87296e-05
log_slx_pars[41]     -0.83443  1.47625e-05
log_slx_pars[42]    -0.785061  1.01776e-05
log_slx_pars[43]    -0.715315  9.00434e-06
log_slx_pars[44]    -0.626693  1.33525e-05
log_slx_pars[45]    -0.526785  9.69442e-06
log_slx_pars[46]    -0.421922  7.22284e-06
log_slx_pars[47]    -0.312841  1.01054e-05
log_slx_pars[48]    -0.198652  7.28944e-06
log_slx_pars[49]   -0.0831183  5.83474e-06
log_slx_pars[50]  -0.00815668 -5.70482e-06
log_slx_pars[51]     -3.90442 -4.47031e-07
log_slx_pars[52]     -2.72976  1.62922e-06
log_slx_pars[53]     -2.09646 -7.03393e-06
log_slx_pars[54]     -1.45228  -9.5966e-06
