ParName   Value   Gradient
theta[3]      14.3683  -0.00650598
theta[11]      9.59395   -2.978e-07
theta[12]      9.60467  1.22132e-05
theta[13]      9.64155  1.01046e-06
theta[14]      9.76332  1.15488e-05
theta[15]       10.205 -1.25279e-05
theta[16]      10.7559  1.49472e-05
theta[17]      11.1974 -2.82165e-05
theta[18]      11.4041 -2.78817e-06
theta[19]      11.4989  2.83544e-06
theta[20]      11.5373  2.00719e-05
theta[21]      11.5034  2.53032e-05
theta[22]      11.2619  2.27471e-05
theta[23]      10.9524  9.14591e-06
theta[24]      10.6935  1.13352e-06
theta[25]      10.8257  0.000221577
theta[26]      11.8799  0.000755633
theta[27]      11.3787  0.000554431
theta[28]      10.4061  0.000776351
theta[29]      9.35103  0.000134132
theta[30]      8.34962    2.961e-05
theta[31]      7.53078  2.94524e-05
theta[32]      7.13739  3.50963e-06
theta[33]      12.2481  3.92734e-05
theta[34]      12.3737  6.45992e-05
theta[35]      13.2064  7.82423e-05
theta[36]      13.7085  0.000293474
theta[37]      13.0251  0.000210584
theta[38]      13.1175  0.000305451
theta[39]      12.8356  0.000261428
theta[40]      12.5974  0.000312186
theta[41]       12.544   0.00042742
theta[42]      12.0163  0.000410306
theta[43]      11.3481  0.000303747
theta[44]      11.2315  0.000289962
theta[45]      11.3837  0.000497114
theta[46]      10.4738   0.00027992
theta[47]      9.09595  8.72578e-05
theta[48]       8.0378  5.66445e-05
theta[49]      7.27565  1.85867e-05
theta[50]      6.74361  2.55053e-06
theta[51]      6.35621  1.06477e-05
theta[52]      6.06818 -5.02087e-06
theta[53]      5.86722 -8.24471e-06
theta[54]      5.76249  3.20926e-05
theta[55]      12.1538 -2.38362e-06
theta[56]      12.1742  4.53047e-06
theta[57]      12.2223  2.54054e-06
theta[58]      12.3646   -8.117e-07
theta[59]      13.5238  2.07163e-05
theta[60]      13.5852  5.46467e-06
theta[61]      12.9907  0.000114716
theta[62]      12.1531  0.000364647
theta[63]      11.0267  0.000405029
theta[64]      9.97321  0.000237078
theta[65]      9.24789  0.000236608
theta[66]       8.8294  0.000215797
theta[67]      8.63087  0.000250084
theta[68]      8.57798  0.000288235
theta[69]      8.47856  0.000327929
theta[70]      8.28184  0.000300868
theta[71]      8.02745  0.000264904
theta[72]      7.77423  0.000256222
theta[73]      7.53446   0.00023079
theta[74]      7.30751  0.000175684
theta[75]      7.15153  0.000209426
theta[76]      7.06059  0.000216597
theta[77]     -13.8198 -1.98419e-07
theta[78]     -13.8714  5.32843e-06
theta[79]     -13.9697  1.69207e-05
theta[80]     -14.1257 -1.45149e-06
theta[81]     -13.6423 -1.24794e-06
theta[82]     -13.4731  2.43829e-05
theta[83]     -14.5951  2.22816e-06
theta[84]     -15.6149 -1.59082e-06
theta[85]     -16.4215 -2.49488e-05
theta[86]     -17.0485  3.64926e-06
theta[87]     -17.5018 -8.17839e-06
theta[88]     -17.8432  -9.6862e-06
theta[89]     -18.1136  2.89561e-06
theta[90]     -18.3402 -8.84458e-06
theta[91]     -18.5367 -1.45567e-05
theta[92]       -18.71  1.98409e-05
theta[93]     -18.8637 -5.15358e-06
G_pars_est[1]     0.985423  -0.00034239
G_pars_est[2]    -0.240982  0.000543683
G_pars_est[4]     -4.81367  0.000362054
G_pars_est[5]    -0.426445  -0.00350103
M_pars_est[1]     0.284823  0.000384418
M_pars_est[2]      1.60605  0.000157284
M_pars_est[3]     0.472979  4.84751e-06
M_pars_est[5]  -0.00280311  0.000451861
M_pars_est[7]      2.39729  0.000587674
M_pars_est[9]     0.267899 -0.000176762
M_pars_est[10]    -0.723212 -1.90043e-06
M_pars_est[11]     0.900846 -2.96793e-05
M_pars_est[13]            1 -3.38863e-06
M_pars_est[14]      1.63233    0.0001283
M_pars_est[15]      1.81661 -5.83931e-07
S_pars_est[1]       4.6673  0.000192744
S_pars_est[2]      1.67151 -0.000373231
S_pars_est[3]      4.77646   0.00059535
S_pars_est[4]      2.38715 -0.000467184
S_pars_est[5]     -3.21025 -7.03323e-06
S_pars_est[6]     -2.71213 -1.33137e-05
S_pars_est[7]     -2.25571 -2.25414e-05
S_pars_est[8]     -1.51072   7.7891e-06
S_pars_est[9]     -1.48471 -1.68655e-05
S_pars_est[10]     -1.30508 -5.08774e-06
S_pars_est[11]      -1.0076  4.70848e-06
S_pars_est[12]    -0.991857 -5.95998e-06
S_pars_est[13]     -1.11841 -9.95184e-06
S_pars_est[14]     -1.09237  6.89359e-06
S_pars_est[15]       -1.029   1.4328e-05
S_pars_est[16]    -0.993494  5.56186e-06
S_pars_est[17]    -0.974765  1.27204e-05
S_pars_est[18]    -0.868272  7.22834e-06
S_pars_est[19]    -0.859013  6.45911e-06
S_pars_est[20]    -0.988564  2.64779e-05
S_pars_est[21]    -0.845366  7.59679e-06
S_pars_est[22]    -0.742591  1.85923e-05
S_pars_est[23]    -0.513715  5.51853e-06
S_pars_est[24]    -0.332533  8.09748e-06
S_pars_est[25]    -0.240574  1.09161e-06
S_pars_est[26]    -0.320773  5.77076e-06
S_pars_est[27]     -4.30716 -4.37551e-05
S_pars_est[28]     -3.47391  6.83541e-05
S_pars_est[29]     -2.72637  2.16566e-05
S_pars_est[30]     -1.89553 -6.03873e-05
S_pars_est[31]     -1.70307 -4.25443e-05
S_pars_est[32]      -1.4716 -1.34706e-05
S_pars_est[33]     -1.23534  1.53275e-05
S_pars_est[34]     -1.14988 -2.89022e-05
S_pars_est[35]     -1.21168 -2.65634e-05
S_pars_est[36]     -1.22565  1.63734e-06
S_pars_est[37]     -1.20351 -1.83845e-06
S_pars_est[38]     -1.15331 -1.47811e-05
S_pars_est[39]     -1.12053 -4.32141e-06
S_pars_est[40]    -0.980135 -1.53784e-06
S_pars_est[41]     -0.77569 -6.06953e-05
S_pars_est[42]    -0.459329 -3.06215e-05
S_pars_est[43]    -0.316538 -7.64836e-06
S_pars_est[44]    -0.203666  1.37554e-06
S_pars_est[45]    -0.161722  3.29423e-06
S_pars_est[46]    -0.132293  2.15408e-07
S_pars_est[47]    -0.122116  3.14471e-06
S_pars_est[48]    -0.154678 -6.51011e-06
S_pars_est[49]      4.21502  -0.00143585
S_pars_est[50]      0.99034  6.30721e-05
S_pars_est[51]      -5.1432  1.79078e-05
S_pars_est[52]      -5.2525 -6.25241e-07
S_pars_est[53]     -4.04105 -3.82576e-05
S_pars_est[54]      -1.7162  5.07972e-06
S_pars_est[55]     -1.16228  2.82316e-05
S_pars_est[56]     -0.54426 -1.15336e-05
S_pars_est[57]    -0.549371 -8.36728e-06
S_pars_est[58]    -0.755746 -2.06582e-06
S_pars_est[59]    -0.833304 -5.68575e-07
S_pars_est[60]     -0.92355 -1.38227e-06
S_pars_est[61]    -0.910409  5.31405e-07
S_pars_est[62]    -0.871442   2.1412e-07
S_pars_est[63]     -0.83845  2.27382e-06
S_pars_est[64]     -0.79138  3.64132e-06
S_pars_est[65]    -0.721719  4.17045e-06
S_pars_est[66]    -0.631292  -2.3132e-08
S_pars_est[67]    -0.529549 -4.13147e-06
S_pars_est[68]    -0.423615 -9.64043e-07
S_pars_est[69]    -0.314065 -2.20491e-06
S_pars_est[70]    -0.199533 -3.70541e-06
S_pars_est[71]   -0.0830257  7.91666e-06
S_pars_est[73]     -4.16582  -5.5848e-05
S_pars_est[74]     -3.30946  7.93299e-05
S_pars_est[75]     -2.66901  0.000104257
S_pars_est[76]      -1.0005 -5.33549e-05
S_pars_est[77]    -0.508073  2.25416e-05
S_pars_est[78]    -0.244642 -1.01435e-05
S_pars_est[79]    -0.343034 -4.45658e-05
S_pars_est[80]    -0.907342   7.1951e-06
S_pars_est[81]     -1.06259  1.37245e-05
S_pars_est[82]     -1.27123  2.17887e-05
S_pars_est[83]     -1.24251  2.59895e-05
S_pars_est[84]    -0.950082  1.39707e-05
S_pars_est[85]    -0.827543  7.49264e-08
S_pars_est[86]    -0.777909  4.43091e-06
S_pars_est[87]    -0.710709  3.00732e-06
S_pars_est[88]    -0.623387 -1.82612e-06
S_pars_est[89]    -0.524206  2.01344e-06
S_pars_est[90]    -0.419941  7.47237e-07
S_pars_est[91]    -0.311316 -1.25409e-07
S_pars_est[92]     -0.19721  -1.8219e-06
S_pars_est[93]   -0.0805116 -1.93268e-06
S_pars_est[95]      4.59573 -0.000802759
S_pars_est[96]     0.308884  1.20883e-05
log_fbar[1]     -0.21059   0.00275035
log_fbar[2]     -5.21725 -0.000532709
log_fdev[1](1)     -1.42634   0.00045222
log_fdev[1](2)     -1.79831  0.000810629
log_fdev[1](3)     -1.16004  0.000725817
log_fdev[1](4)    -0.801824  0.000692166
log_fdev[1](5)    -0.651598  0.000791493
log_fdev[1](6)     -0.24128  0.000512978
log_fdev[1](7)    -0.185512  0.000447823
log_fdev[1](8)    -0.147279  0.000409388
log_fdev[1](9)     0.882976  0.000132267
log_fdev[1](10)     0.389405 -1.69261e-05
log_fdev[1](11)     0.706408  8.97627e-05
log_fdev[1](12)     0.824773  0.000101177
log_fdev[1](13)     0.497347 -0.000145859
log_fdev[1](14)     0.519147 -8.30861e-05
log_fdev[1](15)     0.549547  5.07225e-06
log_fdev[1](16)     0.459099  4.42366e-05
log_fdev[1](17)      1.03165 -3.54874e-05
log_fdev[1](18)    -0.418406 -0.000146539
log_fdev[1](19)      -0.4514  0.000104006
log_fdev[1](20)     0.161646  0.000315383
log_fdev[1](21)     0.328548  0.000198188
log_fdev[1](22)    -0.378456 -0.000587089
log_fdev[1](23)    -0.569697 -0.000874315
log_fdev[1](24)    -0.757531 -0.000398938
log_fdev[1](25)    -0.156886 -8.50184e-05
log_fdev[1](26)     0.186782  2.02103e-05
log_fdev[1](27)   -0.0839137 -0.000131862
log_fdev[1](28)    -0.404273  0.000118677
log_fdev[1](29)    -0.732569  0.000408018
log_fdev[1](30)    -0.023999  0.000316086
log_fdev[1](31)     0.403755  9.95524e-06
log_fdev[1](32)     0.613534 -0.000337813
log_fdev[1](33)      1.04732 -0.000214448
log_fdev[1](34)     0.995981 -4.65826e-05
log_fdev[1](35)     0.488987 -6.65603e-05
log_fdev[1](36)     0.219643  9.99685e-05
log_fdev[1](37)      1.06694 -0.000108066
log_fdev[1](38)     0.309133  0.000146679
log_fdev[1](39)      0.88563  4.27793e-05
log_fdev[1](40)     -1.02569 -0.000223035
log_fdev[1](41)     -1.15325 -3.59636e-05
log_fdev[2](1)     0.184558 -7.05701e-06
log_fdev[2](2)     0.083231 -1.07168e-05
log_fdev[2](3)    -0.102655 -1.29582e-06
log_fdev[2](4)    -0.284873  9.60889e-07
log_fdev[2](5)     -9.22717 -4.19742e-06
log_fdev[2](6)     -5.04498 -1.04618e-06
log_fdev[2](7)     -5.45565 -7.21864e-06
log_fdev[2](8)     -1.58848  -1.1582e-05
log_fdev[2](9)    -0.290281 -2.99749e-05
log_fdev[2](10)      2.16133 -3.24372e-05
log_fdev[2](11)      1.67087 -9.43729e-05
log_fdev[2](12)      1.53042 -6.20187e-05
log_fdev[2](13)       1.3567 -6.69491e-05
log_fdev[2](14)      1.63284 -1.99738e-05
log_fdev[2](15)      1.44393 -2.08857e-05
log_fdev[2](16)     0.711068  1.22689e-05
log_fdev[2](17)      0.81198  1.79637e-05
log_fdev[2](18)     0.278087 -7.94888e-06
log_fdev[2](19)     0.517649  1.13825e-05
log_fdev[2](20)     0.535747  1.73747e-05
log_fdev[2](21)     0.161637  2.87115e-06
log_fdev[2](22)     0.129057  -5.5573e-05
log_fdev[2](23)     0.107786 -9.88878e-05
log_fdev[2](24)    0.0618637 -8.84921e-05
log_fdev[2](25)     0.800483 -3.99711e-05
log_fdev[2](26)     0.518658 -3.31784e-06
log_fdev[2](27)    -0.129955  1.17678e-05
log_fdev[2](28)     0.497476  3.48079e-05
log_fdev[2](29)    -0.946979  4.16646e-05
log_fdev[2](30)    -0.531617  1.87964e-05
log_fdev[2](31)   0.00156353 -2.59478e-05
log_fdev[2](32)     0.229216 -3.30904e-05
log_fdev[2](33)      1.78486 -3.59406e-05
log_fdev[2](34)      2.99966 -1.19824e-05
log_fdev[2](35)    -0.705073 -9.24083e-06
log_fdev[2](36)    0.0710385 -2.32454e-05
log_fdev[2](37)      1.58835 -6.08397e-05
log_fdev[2](38)     0.415973 -2.22124e-05
log_fdev[2](39)     0.839984 -7.03355e-05
log_fdev[2](40)     0.499106 -9.50211e-05
log_fdev[2](41)    -0.159584  -3.7187e-06
log_fdev[2](42)     0.519448  8.33243e-06
log_fdev[2](43)     0.322715 -3.35406e-05
log_foff[1]     -6.79817   0.00170785
log_fdov[1](1)      1.37416  0.000337333
log_fdov[1](2)      1.65875  0.000322687
log_fdov[1](3)      1.27929  0.000349915
log_fdov[1](4)      1.15373  0.000378294
log_fdov[1](5)      1.86685  0.000395296
log_fdov[1](6)      1.40145  0.000167332
log_fdov[1](7)     0.630995  8.98761e-05
log_fdov[1](8)     0.447657  2.66881e-05
log_fdov[1](9)      2.76229 -2.31675e-06
log_fdov[1](10)       1.3051  -4.8272e-05
log_fdov[1](11)      1.47662 -5.27113e-05
log_fdov[1](12)     0.636119  5.90188e-05
log_fdov[1](13)     0.704955  4.97846e-05
log_fdov[1](14)     -0.51853 -1.65629e-05
log_fdov[1](15)      1.05864  2.26389e-05
log_fdov[1](16)      1.20145  4.45126e-06
log_fdov[1](17)     -1.81307   3.8487e-05
log_fdov[1](18)    -0.278149  2.32596e-06
log_fdov[1](19)     -2.32613   2.9483e-05
log_fdov[1](20)    0.0413254  4.91202e-05
log_fdov[1](21)     -2.20085 -5.34428e-05
log_fdov[1](22)     -2.16807 -0.000109707
log_fdov[1](23)     -1.24749 -0.000110798
log_fdov[1](24)    -0.788836 -2.41177e-05
log_fdov[1](25)     -2.69201 -5.98912e-05
log_fdov[1](26)    -0.246587 -4.80056e-05
log_fdov[1](27)     0.144647 -6.61449e-05
log_fdov[1](28)     0.344772 -6.03305e-05
log_fdov[1](29)     0.656236  4.73797e-05
log_fdov[1](30)      2.34926  0.000103497
log_fdov[1](31)     0.459848   6.7608e-05
log_fdov[1](32)      1.04066  1.21229e-05
log_fdov[1](33)      1.70249  1.48241e-05
log_fdov[1](34)      0.89233  2.19344e-05
log_fdov[1](35)     0.276845 -4.51639e-05
log_fdov[1](36)     0.398222 -3.45337e-05
log_fdov[1](37)    -0.996289  1.78697e-05
log_fdov[1](38)     0.144101 -5.50622e-05
log_fdov[1](39)       -3.329  5.82412e-05
log_fdov[1](40)     -4.07665 -3.70154e-05
log_fdov[1](41)     -4.72713 -2.84339e-05
rec_dev_est(1982)      0.31767  0.000637337
rec_dev_est(1983)    0.0052923  0.000272643
rec_dev_est(1984)     0.950997  -9.4933e-05
rec_dev_est(1985)      1.64554  -0.00038275
rec_dev_est(1986)     0.892112 -5.43933e-05
rec_dev_est(1987)     0.843488 -0.000348366
rec_dev_est(1988)     -0.45562 -0.000323617
rec_dev_est(1989)    -0.193851 -2.75333e-05
rec_dev_est(1990)     0.370175 -1.09633e-05
rec_dev_est(1991)     0.611222  0.000181482
rec_dev_est(1992)    -0.467473 -2.61709e-05
rec_dev_est(1993)    -0.044732  8.43873e-05
rec_dev_est(1994)    -0.670984   0.00017263
rec_dev_est(1995)      -1.1065 -3.11927e-05
rec_dev_est(1996)   -0.0343535 -0.000454611
rec_dev_est(1997)     -1.24385  -0.00114147
rec_dev_est(1998)    -0.526717   -0.0012168
rec_dev_est(1999)    -0.635002 -0.000387558
rec_dev_est(2000)     -1.64375  2.96784e-05
rec_dev_est(2001)    -0.373033  0.000197614
rec_dev_est(2002)      1.30406  0.000180319
rec_dev_est(2003)    -0.231289  0.000475893
rec_dev_est(2004)    -0.117047  0.000168814
rec_dev_est(2005)    -0.994476 -7.06668e-06
rec_dev_est(2006)     -1.82227 -0.000142702
rec_dev_est(2007)    -0.895586 -0.000356312
rec_dev_est(2008)      1.38138 -8.59144e-05
rec_dev_est(2009)     -0.78006  1.94372e-05
rec_dev_est(2010)    -0.647464  2.40513e-05
rec_dev_est(2011)    -0.783796  0.000148464
rec_dev_est(2012)    0.0151789 -0.000380608
rec_dev_est(2013)    -0.527745   7.7177e-06
rec_dev_est(2014)      1.33649 -0.000980505
rec_dev_est(2015)      1.34397  2.59925e-06
rec_dev_est(2016)      1.36312  8.33223e-05
rec_dev_est(2017)    -0.685997 -7.73567e-05
rec_dev_est(2018)    -0.920638  5.48054e-05
rec_dev_est(2019)     -1.04259 -0.000126078
rec_dev_est(2020)    -0.162117 -4.68634e-05
rec_dev_est(2021)     0.195864 -3.11789e-06
rec_dev_est(2022)      1.02824 -2.11503e-05
rec_dev_est(2023)     0.278392  3.82353e-05
rec_dev_est(2024)    -0.465441 -1.46019e-05
logit_rec_prop_est(1982)        2.478  0.000151379
logit_rec_prop_est(1983)     0.758566  -1.9454e-05
logit_rec_prop_est(1984)    -0.360288  -0.00125391
logit_rec_prop_est(1985)     -1.09789  -0.00263185
logit_rec_prop_est(1986)     -3.67185  -0.00016891
logit_rec_prop_est(1987)     -1.13449  -0.00235358
logit_rec_prop_est(1988)     0.393221  6.66769e-05
logit_rec_prop_est(1989)      -1.1177  0.000488946
logit_rec_prop_est(1990)      1.01727 -0.000108999
logit_rec_prop_est(1991)      0.74918  -0.00018911
logit_rec_prop_est(1992)     -2.31284  0.000252724
logit_rec_prop_est(1993)     -1.24626   0.00141452
logit_rec_prop_est(1994)     -1.88074   0.00135879
logit_rec_prop_est(1995)     -1.00271 -1.88581e-05
logit_rec_prop_est(1996)     -2.46462  -0.00163979
logit_rec_prop_est(1997)      2.16367 -0.000347508
logit_rec_prop_est(1998)    -0.996609  -0.00383606
logit_rec_prop_est(1999)    -0.176504   -0.0013337
logit_rec_prop_est(2000)     -1.09293  0.000506239
logit_rec_prop_est(2001)      1.31018  0.000642074
logit_rec_prop_est(2002)     -1.86967   0.00313764
logit_rec_prop_est(2003)     0.597596   0.00153637
logit_rec_prop_est(2004)     0.840596  0.000763796
logit_rec_prop_est(2005)   -0.0852777  0.000114695
logit_rec_prop_est(2006)      2.72375  0.000498706
logit_rec_prop_est(2007)     0.344588 -0.000122725
logit_rec_prop_est(2008)     -1.88397  -0.00166112
logit_rec_prop_est(2009)     -1.52647   0.00076102
logit_rec_prop_est(2010)     -1.02967   0.00102885
logit_rec_prop_est(2011)     -1.04475   0.00130994
logit_rec_prop_est(2012)     -0.45021  -0.00115514
logit_rec_prop_est(2013)      1.18377  0.000419115
logit_rec_prop_est(2014)      1.18774  -0.00116869
logit_rec_prop_est(2015)      0.18087   0.00143249
logit_rec_prop_est(2016)     -2.24246     0.001906
logit_rec_prop_est(2017)      2.25379  0.000261681
logit_rec_prop_est(2018)      5.16195   0.00035882
logit_rec_prop_est(2019)      1.03707  0.000126433
logit_rec_prop_est(2020)    -0.210653  8.06132e-05
logit_rec_prop_est(2021)     0.559996  0.000359538
logit_rec_prop_est(2022)     0.506475   0.00125198
logit_rec_prop_est(2023)   -0.0358761  0.000596851
logit_rec_prop_est(2024)      3.48617  0.000465699
