ParName   Value   Gradient
theta[3]       14.158  -0.00551041
theta[11]      9.54175  2.23045e-05
theta[12]      9.55241 -9.69983e-06
theta[13]      9.58995  4.40239e-05
theta[14]      9.71524 -1.34632e-05
theta[15]      10.1618  3.59719e-05
theta[16]      10.7215 -4.12336e-05
theta[17]      11.1727  4.79122e-05
theta[18]      11.3863  6.56944e-05
theta[19]      11.4859  2.09306e-05
theta[20]      11.5282 -8.50002e-05
theta[21]      11.4968 -0.000106061
theta[22]      11.2554 -0.000348298
theta[23]      10.9449  0.000150444
theta[24]      10.6848 -0.000336621
theta[25]      10.8174 -0.000347672
theta[26]      11.8747 -0.000466127
theta[27]      11.3812   0.00044536
theta[28]      10.4135  0.000379381
theta[29]      9.35937  0.000132851
theta[30]      8.35785 -4.78597e-05
theta[31]      7.53872 -1.63444e-05
theta[32]      7.14545 -7.26642e-06
theta[33]      12.1801 -1.76066e-05
theta[34]      12.2964 -3.89319e-05
theta[35]      13.1275 -0.000115177
theta[36]      13.6395  -0.00030926
theta[37]      12.9621  -0.00022241
theta[38]      13.0628 -0.000226048
theta[39]      12.7873 -0.000329008
theta[40]      12.5517 -0.000681419
theta[41]      12.5032 -0.000511537
theta[42]      11.9823 -9.52545e-05
theta[43]      11.3156 -0.000222223
theta[44]      11.2008   8.0045e-05
theta[45]      11.3602 -3.38182e-05
theta[46]      10.4616 -7.77971e-05
theta[47]      9.08566 -3.29972e-05
theta[48]      8.02747  2.61952e-05
theta[49]      7.26487  2.61257e-05
theta[50]      6.73268 -2.81597e-05
theta[51]      6.34551  9.76926e-06
theta[52]      6.05793  2.14664e-05
theta[53]      5.85745 -4.33041e-06
theta[54]      5.75301  9.58949e-07
theta[55]      12.1227   4.1503e-06
theta[56]      12.1481  4.42666e-05
theta[57]      12.2043  7.56507e-05
theta[58]      12.3324  2.38073e-05
theta[59]      13.4925 -5.26685e-05
theta[60]      13.5879  2.60106e-05
theta[61]      12.9956 -6.93531e-05
theta[62]      12.1457  0.000102332
theta[63]      11.0117  0.000163524
theta[64]      9.95842  8.63596e-05
theta[65]      9.23904  6.06389e-05
theta[66]      8.81229  1.07248e-05
theta[67]      8.58759  -2.6934e-06
theta[68]      8.52198 -3.34143e-06
theta[69]      8.42738  -9.1257e-06
theta[70]      8.25233 -7.80593e-07
theta[71]      8.02664   2.8065e-05
theta[72]      7.79688 -5.53322e-06
theta[73]      7.57612  3.78713e-05
theta[74]      7.36325  2.96125e-05
theta[75]       7.2128  0.000139421
theta[76]       7.1242  -6.3423e-06
theta[77]      -13.807  1.20053e-05
theta[78]     -13.8675 -1.39332e-07
theta[79]     -13.9801  -2.0687e-05
theta[80]     -14.1505  1.92948e-05
theta[81]      -13.676  1.72026e-05
theta[82]     -13.4792  1.04419e-05
theta[83]     -14.5875 -8.89921e-06
theta[84]     -15.6044  1.59012e-05
theta[85]      -16.413 -3.82201e-07
theta[86]     -17.0421 -7.71432e-06
theta[87]      -17.497 -7.52516e-06
theta[88]       -17.84 -1.34729e-05
theta[89]     -18.1114 -1.70172e-05
theta[90]     -18.3387 -4.07737e-06
theta[91]     -18.5357   8.6473e-06
theta[92]     -18.7094 -1.54197e-05
theta[93]     -18.8635 -5.81769e-08
G_pars_est[1]     0.995719 -0.000713903
G_pars_est[2]    -0.240726   0.00150436
G_pars_est[4]     -4.78302   0.00020977
G_pars_est[5]    -0.425374  -0.00176773
M_pars_est[1]     0.285005  0.000828381
M_pars_est[2]      1.60583  0.000128932
M_pars_est[3]     0.309005  5.77965e-05
M_pars_est[5]    -0.071075  0.000561168
M_pars_est[7]      2.40469  0.000110593
M_pars_est[9]     0.265585 -0.000310035
M_pars_est[10]    0.0249719   3.8011e-05
M_pars_est[11]      1.10216 -0.000100488
M_pars_est[13]     0.676171 -0.000101168
M_pars_est[14]      2.16542 -1.15302e-05
M_pars_est[15]      1.43034 -3.96516e-05
S_pars_est[1]      4.66642    0.0101367
S_pars_est[2]      1.67377  -0.00250628
S_pars_est[3]      4.77941  0.000412909
S_pars_est[4]       2.4061 -0.000159329
S_pars_est[5]     -3.15584 -3.00716e-06
S_pars_est[6]     -2.64307  1.46727e-06
S_pars_est[7]     -2.18695 -3.66741e-06
S_pars_est[8]      -1.4563 -7.66752e-06
S_pars_est[9]     -1.43493 -2.77458e-06
S_pars_est[10]     -1.26376 -5.44052e-06
S_pars_est[11]    -0.975751   2.6354e-05
S_pars_est[12]    -0.966896 -2.66121e-06
S_pars_est[13]     -1.09826  -2.4253e-06
S_pars_est[14]     -1.07742  -1.1402e-05
S_pars_est[15]     -1.01781 -1.92858e-05
S_pars_est[16]     -0.98462 -4.31777e-05
S_pars_est[17]    -0.967945  2.00095e-05
S_pars_est[18]     -0.86355  8.28626e-06
S_pars_est[19]    -0.854769  -2.8509e-05
S_pars_est[20]    -0.985226 -1.57875e-05
S_pars_est[21]    -0.844886  3.77652e-05
S_pars_est[22]    -0.743634   1.2444e-05
S_pars_est[23]    -0.515242 -2.14272e-05
S_pars_est[24]    -0.334314 -1.72096e-06
S_pars_est[25]    -0.243805 -3.38334e-06
S_pars_est[26]    -0.328576 -1.97702e-05
S_pars_est[27]     -4.14009  1.52577e-06
