crab_year,fishery,size,shell,total
1992,QO92,88,new,1
1992,QO92,89,new,1
1992,QO92,93,new,1
1992,QO92,94,new,5
1992,QO92,95,new,3
1992,QO92,96,new,6
1992,QO92,97,new,4
1992,QO92,98,new,7
1992,QO92,99,new,7
1992,QO92,100,new,10
1992,QO92,101,new,9
1992,QO92,102,new,25
1992,QO92,103,new,21
1992,QO92,104,new,22
1992,QO92,105,new,34
1992,QO92,106,new,34
1992,QO92,107,new,33
1992,QO92,108,new,53
1992,QO92,109,new,51
1992,QO92,110,new,68
1992,QO92,111,new,61
1992,QO92,111,old,1
1992,QO92,112,new,82
1992,QO92,113,new,85
1992,QO92,114,new,115
1992,QO92,115,new,108
1992,QO92,116,new,86
1992,QO92,117,new,120
1992,QO92,118,new,133
1992,QO92,119,new,106
1992,QO92,120,new,176
1992,QO92,121,new,145
1992,QO92,122,new,154
1992,QO92,123,new,93
1992,QO92,124,new,100
1992,QO92,125,new,104
1992,QO92,125,old,1
1992,QO92,126,new,76
1992,QO92,127,new,93
1992,QO92,128,new,64
1992,QO92,129,new,73
1992,QO92,130,new,63
1992,QO92,131,new,62
1992,QO92,132,new,62
1992,QO92,133,new,29
1992,QO92,134,new,33
1992,QO92,135,new,33
1992,QO92,136,new,24
1992,QO92,137,new,27
1992,QO92,138,new,12
1992,QO92,139,new,12
1992,QO92,140,new,14
1992,QO92,141,new,4
1992,QO92,142,new,5
1992,QO92,143,new,6
1992,QO92,145,new,2
1992,QO92,146,new,1
1992,QO92,148,new,2
1992,QO92,151,new,1
1992,QO92,153,new,1
1992,QO92,164,new,1
1993,QO93,11,new,14
1993,QO93,12,new,18
1993,QO93,12,old,1
1993,QO93,15,new,2
1993,QO93,17,new,3
1993,QO93,52,new,1
1993,QO93,54,new,1
1993,QO93,56,new,1
1993,QO93,59,new,2
1993,QO93,60,new,1
1993,QO93,61,new,1
1993,QO93,62,new,6
1993,QO93,62,old,1
1993,QO93,63,new,3
1993,QO93,67,new,1
1993,QO93,68,new,1
1993,QO93,68,old,1
1993,QO93,69,new,4
1993,QO93,69,old,2
1993,QO93,70,new,8
1993,QO93,71,new,12
1993,QO93,71,old,2
1993,QO93,72,new,25
1993,QO93,72,old,4
1993,QO93,73,new,9
1993,QO93,73,old,3
1993,QO93,74,new,20
1993,QO93,74,old,1
1993,QO93,75,new,18
1993,QO93,75,old,2
1993,QO93,76,new,33
1993,QO93,76,old,3
1993,QO93,77,new,50
1993,QO93,77,old,5
1993,QO93,78,new,70
1993,QO93,78,old,10
1993,QO93,79,new,85
1993,QO93,79,old,6
1993,QO93,80,new,121
1993,QO93,80,old,19
1993,QO93,81,new,143
1993,QO93,81,old,8
1993,QO93,82,new,186
1993,QO93,82,old,13
1993,QO93,83,new,178
1993,QO93,83,old,20
1993,QO93,84,new,263
1993,QO93,84,old,21
1993,QO93,85,new,308
1993,QO93,85,old,22
1993,QO93,86,new,378
1993,QO93,86,old,36
1993,QO93,87,new,450
1993,QO93,87,old,44
1993,QO93,88,new,515
1993,QO93,88,old,50
1993,QO93,89,new,571
1993,QO93,89,old,53
1993,QO93,90,new,855
1993,QO93,90,old,85
1993,QO93,91,new,872
1993,QO93,91,old,100
1993,QO93,92,new,1240
1993,QO93,92,old,125
1993,QO93,93,new,1447
1993,QO93,93,old,154
1993,QO93,94,new,1875
1993,QO93,94,old,173
1993,QO93,95,new,2347
1993,QO93,95,old,239
1993,QO93,96,new,2744
1993,QO93,96,old,276
1993,QO93,97,new,3534
1993,QO93,97,old,378
1993,QO93,98,new,4406
1993,QO93,98,old,408
1993,QO93,99,new,4696
1993,QO93,99,old,467
1993,QO93,100,new,7236
1993,QO93,100,old,733
1993,QO93,101,new,7008
1993,QO93,101,old,620
1993,QO93,102,new,9465
1993,QO93,102,old,766
1993,QO93,103,new,10818
1993,QO93,103,old,847
1993,QO93,104,new,13242
1993,QO93,104,old,1000
1993,QO93,105,new,13859
1993,QO93,105,old,966
1993,QO93,106,new,13995
1993,QO93,106,old,993
1993,QO93,107,new,15386
1993,QO93,107,old,912
1993,QO93,108,new,17112
1993,QO93,108,old,987
1993,QO93,109,new,16545
1993,QO93,109,old,936
1993,QO93,110,new,19992
1993,QO93,110,old,1169
1993,QO93,111,new,17849
1993,QO93,111,old,965
1993,QO93,112,new,20466
1993,QO93,112,old,1020
1993,QO93,113,new,19211
1993,QO93,113,old,878
1993,QO93,114,new,19203
1993,QO93,114,old,867
1993,QO93,115,new,19592
1993,QO93,115,old,895
1993,QO93,116,new,17331
1993,QO93,116,old,765
1993,QO93,117,new,17375
1993,QO93,117,old,735
