crab_year,fishery,size,shell,total,target_stock
1992,QO91,88,new,1,BSSC
1992,QO91,89,new,1,BSSC
1992,QO91,93,new,1,BSSC
1992,QO91,94,new,5,BSSC
1992,QO91,95,new,3,BSSC
1992,QO91,96,new,6,BSSC
1992,QO91,97,new,4,BSSC
1992,QO91,98,new,7,BSSC
1992,QO91,99,new,7,BSSC
1992,QO91,100,new,10,BSSC
1992,QO91,101,new,9,BSSC
1992,QO91,102,new,25,BSSC
1992,QO91,103,new,21,BSSC
1992,QO91,104,new,22,BSSC
1992,QO91,105,new,34,BSSC
1992,QO91,106,new,34,BSSC
1992,QO91,107,new,33,BSSC
1992,QO91,108,new,53,BSSC
1992,QO91,109,new,51,BSSC
1992,QO91,110,new,68,BSSC
1992,QO91,111,new,61,BSSC
1992,QO91,111,old,1,BSSC
1992,QO91,112,new,82,BSSC
1992,QO91,113,new,85,BSSC
1992,QO91,114,new,115,BSSC
1992,QO91,115,new,108,BSSC
1992,QO91,116,new,86,BSSC
1992,QO91,117,new,120,BSSC
1992,QO91,118,new,133,BSSC
1992,QO91,119,new,106,BSSC
1992,QO91,120,new,176,BSSC
1992,QO91,121,new,145,BSSC
1992,QO91,122,new,154,BSSC
1992,QO91,123,new,93,BSSC
1992,QO91,124,new,100,BSSC
1992,QO91,125,new,104,BSSC
1992,QO91,125,old,1,BSSC
1992,QO91,126,new,76,BSSC
1992,QO91,127,new,93,BSSC
1992,QO91,128,new,64,BSSC
1992,QO91,129,new,73,BSSC
1992,QO91,130,new,63,BSSC
1992,QO91,131,new,62,BSSC
1992,QO91,132,new,62,BSSC
1992,QO91,133,new,29,BSSC
1992,QO91,134,new,33,BSSC
1992,QO91,135,new,33,BSSC
1992,QO91,136,new,24,BSSC
1992,QO91,137,new,27,BSSC
1992,QO91,138,new,12,BSSC
1992,QO91,139,new,12,BSSC
1992,QO91,140,new,14,BSSC
1992,QO91,141,new,4,BSSC
1992,QO91,142,new,5,BSSC
1992,QO91,143,new,6,BSSC
1992,QO91,145,new,2,BSSC
1992,QO91,146,new,1,BSSC
1992,QO91,148,new,2,BSSC
1992,QO91,151,new,1,BSSC
1992,QO91,153,new,1,BSSC
1992,QO91,164,new,1,BSSC
1992,QO93,52,new,1,BSSC
1992,QO93,54,new,1,BSSC
1992,QO93,56,new,1,BSSC
1992,QO93,59,new,1,BSSC
1992,QO93,60,new,1,BSSC
1992,QO93,61,new,1,BSSC
1992,QO93,62,new,6,BSSC
1992,QO93,63,new,3,BSSC
1992,QO93,68,new,1,BSSC
1992,QO93,68,old,1,BSSC
1992,QO93,69,new,3,BSSC
1992,QO93,69,old,1,BSSC
1992,QO93,70,new,5,BSSC
1992,QO93,71,new,7,BSSC
1992,QO93,72,new,15,BSSC
1992,QO93,72,old,1,BSSC
1992,QO93,73,new,3,BSSC
1992,QO93,73,old,2,BSSC
1992,QO93,74,new,7,BSSC
1992,QO93,75,new,9,BSSC
1992,QO93,76,new,20,BSSC
1992,QO93,76,old,2,BSSC
1992,QO93,77,new,30,BSSC
1992,QO93,77,old,5,BSSC
1992,QO93,78,new,46,BSSC
1992,QO93,78,old,4,BSSC
1992,QO93,79,new,59,BSSC
1992,QO93,79,old,2,BSSC
1992,QO93,80,new,75,BSSC
1992,QO93,80,old,12,BSSC
1992,QO93,81,new,97,BSSC
1992,QO93,81,old,4,BSSC
1992,QO93,82,new,119,BSSC
1992,QO93,82,old,6,BSSC
1992,QO93,83,new,117,BSSC
1992,QO93,83,old,15,BSSC
1992,QO93,84,new,168,BSSC
1992,QO93,84,old,13,BSSC
1992,QO93,85,new,198,BSSC
1992,QO93,85,old,15,BSSC
1992,QO93,86,new,238,BSSC
1992,QO93,86,old,26,BSSC
1992,QO93,87,new,321,BSSC
1992,QO93,87,old,27,BSSC
1992,QO93,88,new,355,BSSC
1992,QO93,88,old,34,BSSC
1992,QO93,89,new,377,BSSC
1992,QO93,89,old,43,BSSC
1992,QO93,90,new,506,BSSC
1992,QO93,90,old,67,BSSC
1992,QO93,91,new,497,BSSC
1992,QO93,91,old,74,BSSC
1992,QO93,92,new,761,BSSC
1992,QO93,92,old,100,BSSC
1992,QO93,93,new,849,BSSC
1992,QO93,93,old,114,BSSC
1992,QO93,94,new,1110,BSSC
1992,QO93,94,old,147,BSSC
1992,QO93,95,new,1360,BSSC
1992,QO93,95,old,184,BSSC
1992,QO93,96,new,1520,BSSC
1992,QO93,96,old,215,BSSC
1992,QO93,97,new,1979,BSSC
1992,QO93,97,old,309,BSSC
1992,QO93,98,new,2531,BSSC
1992,QO93,98,old,330,BSSC
1992,QO93,99,new,2633,BSSC
1992,QO93,99,old,367,BSSC
1992,QO93,100,new,3993,BSSC
1992,QO93,100,old,597,BSSC
1992,QO93,101,new,3865,BSSC
1992,QO93,101,old,479,BSSC
1992,QO93,102,new,5311,BSSC
1992,QO93,102,old,600,BSSC
1992,QO93,103,new,6046,BSSC
1992,QO93,103,old,667,BSSC
1992,QO93,104,new,7535,BSSC
1992,QO93,104,old,811,BSSC
1992,QO93,105,new,7851,BSSC
1992,QO93,105,old,793,BSSC
1992,QO93,106,new,7711,BSSC
1992,QO93,106,old,805,BSSC
1992,QO93,107,new,8753,BSSC
1992,QO93,107,old,755,BSSC
1992,QO93,108,new,9780,BSSC
1992,QO93,108,old,821,BSSC
1992,QO93,109,new,9495,BSSC
1992,QO93,109,old,740,BSSC
1992,QO93,110,new,11533,BSSC
1992,QO93,110,old,965,BSSC
1992,QO93,111,new,10227,BSSC
1992,QO93,111,old,804,BSSC
1992,QO93,112,new,12007,BSSC
1992,QO93,112,old,859,BSSC
1992,QO93,113,new,11172,BSSC
1992,QO93,113,old,700,BSSC
1992,QO93,114,new,11368,BSSC
1992,QO93,114,old,713,BSSC
1992,QO93,115,new,11334,BSSC
1992,QO93,115,old,727,BSSC
1992,QO93,116,new,10119,BSSC
1992,QO93,116,old,640,BSSC
1992,QO93,117,new,10092,BSSC
1992,QO93,117,old,601,BSSC
