crab_year,fishery,size,sex,shell,total
1990,QP90,80,1,new,2
1990,QP90,95,1,new,1
1990,QP90,113,1,old,1
1990,TR90,89,1,old,1
1990,TR90,101,1,new,1
1990,TR90,124,1,new,1
1991,QP91,73,1,new,1
1991,QP91,80,1,new,2
1991,QP91,88,1,new,3
1991,QP91,89,1,new,1
1991,QP91,90,1,new,1
1991,QP91,91,1,new,1
1991,QP91,93,1,new,1
1991,QP91,93,1,old,1
1991,QP91,94,1,new,1
1991,QP91,95,1,new,1
1991,QP91,97,1,new,1
1991,QP91,99,1,new,1
1991,QP91,100,1,old,1
1991,QP91,101,1,new,1
1991,QP91,102,1,new,1
1991,QP91,104,1,new,1
1991,QP91,110,1,new,1
1991,QP91,112,1,new,2
1991,QP91,113,1,new,2
1991,QP91,114,1,new,1
1991,QP91,115,1,new,1
1991,QP91,116,1,new,1
1991,QP91,120,1,old,1
1991,QP91,124,1,new,1
1991,QP91,132,1,new,1
1991,QP91,140,1,old,1
1991,QP91,143,1,new,1
1991,QP91,148,1,new,1
1991,QP91,149,1,new,1
1991,QP91,152,1,old,1
1991,QP91,156,1,new,1
1991,QP91,160,1,new,1
1991,QT91,55,1,new,1
1991,QT91,58,2,new,2
1991,QT91,59,2,new,2
1991,QT91,60,1,old,1
1991,QT91,60,2,old,1
1991,QT91,61,2,new,4
1991,QT91,62,2,old,1
1991,QT91,63,2,new,1
1991,QT91,63,2,old,2
1991,QT91,64,1,old,1
1991,QT91,64,2,new,1
1991,QT91,64,2,old,2
1991,QT91,65,2,new,3
1991,QT91,66,2,new,2
1991,QT91,66,2,old,2
1991,QT91,67,1,new,1
1991,QT91,67,1,old,1
1991,QT91,67,2,new,4
1991,QT91,67,2,old,2
1991,QT91,68,1,old,2
1991,QT91,68,2,new,4
1991,QT91,68,2,old,2
1991,QT91,69,1,new,1
1991,QT91,69,2,new,4
1991,QT91,69,2,old,3
1991,QT91,70,1,old,1
1991,QT91,70,2,new,1
1991,QT91,70,2,old,5
1991,QT91,71,1,new,1
1991,QT91,71,1,old,1
1991,QT91,71,2,new,4
1991,QT91,71,2,old,1
1991,QT91,72,1,new,5
1991,QT91,72,1,old,2
1991,QT91,72,2,new,6
1991,QT91,72,2,old,2
1991,QT91,73,1,new,2
1991,QT91,73,1,old,6
1991,QT91,73,2,new,2
1991,QT91,73,2,old,3
1991,QT91,74,1,old,2
1991,QT91,74,2,new,1
1991,QT91,74,2,old,3
1991,QT91,75,1,new,6
1991,QT91,75,1,old,6
1991,QT91,75,2,new,1
1991,QT91,75,2,old,3
1991,QT91,76,1,new,2
1991,QT91,76,1,old,2
1991,QT91,76,2,new,4
1991,QT91,76,2,old,10
1991,QT91,77,1,new,9
1991,QT91,77,1,old,4
1991,QT91,77,2,old,1
1991,QT91,78,1,new,6
1991,QT91,78,1,old,13
1991,QT91,79,1,new,11
1991,QT91,79,1,old,5
1991,QT91,80,1,new,9
1991,QT91,80,1,old,6
1991,QT91,81,1,new,17
1991,QT91,81,1,old,10
1991,QT91,82,1,new,9
1991,QT91,82,1,old,6
1991,QT91,82,2,old,1
1991,QT91,83,1,new,11
1991,QT91,83,1,old,11
1991,QT91,83,2,old,1
1991,QT91,84,1,new,11
1991,QT91,84,1,old,7
1991,QT91,85,1,new,14
1991,QT91,85,1,old,4
1991,QT91,86,1,new,11
1991,QT91,86,1,old,5
1991,QT91,86,2,old,1
1991,QT91,87,1,new,18
1991,QT91,87,1,old,11
1991,QT91,88,1,new,14
1991,QT91,88,1,old,10
1991,QT91,88,2,new,1
1991,QT91,89,1,new,14
1991,QT91,89,1,old,10
1991,QT91,90,1,new,21
1991,QT91,90,1,old,8
1991,QT91,91,1,new,32
1991,QT91,91,1,old,11
1991,QT91,91,2,old,1
1991,QT91,92,1,new,34
1991,QT91,92,1,old,3
1991,QT91,93,1,new,46
1991,QT91,93,1,old,13
1991,QT91,94,1,new,49
1991,QT91,94,1,old,20
1991,QT91,94,2,new,1
1991,QT91,95,1,new,49
1991,QT91,95,1,old,17
1991,QT91,96,1,new,78
1991,QT91,96,1,old,19
1991,QT91,97,1,new,57
1991,QT91,97,1,old,19
1991,QT91,98,1,new,99
1991,QT91,98,1,old,14
1991,QT91,98,2,new,1
1991,QT91,99,1,new,63
1991,QT91,99,1,old,6
1991,QT91,100,1,new,95
1991,QT91,100,1,old,9
1991,QT91,101,1,new,99
1991,QT91,101,1,old,13
1991,QT91,102,1,new,135
1991,QT91,102,1,old,8
1991,QT91,103,1,new,160
1991,QT91,103,1,old,9
1991,QT91,104,1,new,199
1991,QT91,104,1,old,13
1991,QT91,105,1,new,205
1991,QT91,105,1,old,15
1991,QT91,106,1,new,251
1991,QT91,106,1,old,12
1991,QT91,107,1,new,273
1991,QT91,107,1,old,7
1991,QT91,108,1,new,292
1991,QT91,108,1,old,15
1991,QT91,109,1,new,367
1991,QT91,109,1,old,7
1991,QT91,110,1,new,397
1991,QT91,110,1,old,6
1991,QT91,111,1,new,360
1991,QT91,111,1,old,10
1991,QT91,112,1,new,492
1991,QT91,112,1,old,13
1991,QT91,113,1,new,479
1991,QT91,113,1,old,11
1991,QT91,114,1,new,492
1991,QT91,114,1,old,16
1991,QT91,115,1,new,462
1991,QT91,115,1,old,15
1991,QT91,116,1,new,460
1991,QT91,116,1,old,19
1991,QT91,117,1,new,455
1991,QT91,117,1,old,14
1991,QT91,118,1,new,431
1991,QT91,118,1,old,21
1991,QT91,119,1,new,363
1991,QT91,119,1,old,11
1991,QT91,120,1,new,338
1991,QT91,120,1,old,10
1991,QT91,121,1,new,332
1991,QT91,121,1,old,14
1991,QT91,122,1,new,241
1991,QT91,122,1,old,4
1991,QT91,123,1,new,214
1991,QT91,123,1,old,6
1991,QT91,124,1,new,182
1991,QT91,124,1,old,7
1991,QT91,125,1,new,134
1991,QT91,125,1,old,10
1991,QT91,126,1,new,91
1991,QT91,127,1,new,79
1991,QT91,127,1,old,1
1991,QT91,128,1,new,67
1991,QT91,128,1,old,3
1991,QT91,129,1,new,37
1991,QT91,129,1,old,1
1991,QT91,130,1,new,26
1991,QT91,130,1,old,2
1991,QT91,131,1,new,23
1991,QT91,131,1,old,1
1991,QT91,132,1,new,16
1991,QT91,132,1,old,3
1991,QT91,133,1,new,20
1991,QT91,134,1,new,6
1991,QT91,134,1,old,1
1991,QT91,135,1,new,10
1991,QT91,136,1,new,5
1991,QT91,137,1,new,5
1991,QT91,138,1,new,1
1991,QT91,139,1,new,1
1991,QT91,140,1,old,1
1991,QT91,142,1,new,1
1991,QT91,172,1,new,1
1991,QT91,198,1,new,1
1991,TR91,71,1,old,1
1991,TR91,80,1,old,1
1991,TR91,94,1,old,3
1991,TR91,96,1,old,1
1991,TR91,101,1,new,1
1991,TR91,107,1,new,1
1991,TR91,108,1,new,1
1991,TR91,112,1,new,1
1991,TR91,121,1,new,1
1991,TR91,123,1,old,1
1991,TR91,125,1,new,1
1991,TR91,129,1,new,1
1991,TR91,130,1,new,1
1991,TR91,132,1,new,1
1991,TT91,55,1,old,1
1991,TT91,58,1,old,1
1991,TT91,59,1,old,1
1991,TT91,60,1,new,1
1991,TT91,60,1,old,1
1991,TT91,61,1,old,1
1991,TT91,62,1,old,2
1991,TT91,64,1,new,1
1991,TT91,64,1,old,1
1991,TT91,65,1,old,4
1991,TT91,65,2,new,1
1991,TT91,66,1,new,2
1991,TT91,66,1,old,3
1991,TT91,66,2,old,1
1991,TT91,67,1,new,2
1991,TT91,67,1,old,4
1991,TT91,67,2,old,1
1991,TT91,68,1,new,3
1991,TT91,68,1,old,6
1991,TT91,68,2,old,2
1991,TT91,69,1,new,2
1991,TT91,69,1,old,8
1991,TT91,69,2,new,1
1991,TT91,69,2,old,1
1991,TT91,70,1,new,3
1991,TT91,70,1,old,7
1991,TT91,70,2,old,1
1991,TT91,71,1,new,2
1991,TT91,71,1,old,8
1991,TT91,71,2,new,3
1991,TT91,71,2,old,2
1991,TT91,72,1,new,1
1991,TT91,72,1,old,4
1991,TT91,72,2,new,2
1991,TT91,72,2,old,2
1991,TT91,73,1,new,1
1991,TT91,73,1,old,7
1991,TT91,73,2,old,2
1991,TT91,74,1,new,4
1991,TT91,74,1,old,7
1991,TT91,74,2,old,3
1991,TT91,75,1,new,1
1991,TT91,75,1,old,11
1991,TT91,75,2,old,2
1991,TT91,76,1,new,2
1991,TT91,76,1,old,18
1991,TT91,76,2,old,1
1991,TT91,77,1,new,3
1991,TT91,77,1,old,14
1991,TT91,77,2,new,1
1991,TT91,78,1,new,1
1991,TT91,78,1,old,8
1991,TT91,78,2,new,1
1991,TT91,78,2,old,1
1991,TT91,79,1,new,4
1991,TT91,79,1,old,17
1991,TT91,80,1,new,3
1991,TT91,80,1,old,13
1991,TT91,80,2,old,2
1991,TT91,81,1,new,5
1991,TT91,81,1,old,6
1991,TT91,81,2,new,1
1991,TT91,82,1,new,2
1991,TT91,82,1,old,9
1991,TT91,82,2,new,1
1991,TT91,83,1,new,3
1991,TT91,83,1,old,7
1991,TT91,84,1,new,7
1991,TT91,84,1,old,10
1991,TT91,84,2,new,1
1991,TT91,85,1,new,2
1991,TT91,85,1,old,13
1991,TT91,86,1,new,1
1991,TT91,86,1,old,12
1991,TT91,86,2,new,2
1991,TT91,87,1,new,7
1991,TT91,87,1,old,12
1991,TT91,88,1,new,5
1991,TT91,88,1,old,6
1991,TT91,88,2,old,2
1991,TT91,89,1,new,7
1991,TT91,89,1,old,8
1991,TT91,89,2,new,1
1991,TT91,90,1,new,10
1991,TT91,90,1,old,9
1991,TT91,90,2,old,1
1991,TT91,91,1,new,10
1991,TT91,91,1,old,7
1991,TT91,91,2,new,2
1991,TT91,92,1,new,4
1991,TT91,92,1,old,14
1991,TT91,92,2,new,2
1991,TT91,93,1,new,13
1991,TT91,93,1,old,10
1991,TT91,94,1,new,9
1991,TT91,94,1,old,14
1991,TT91,94,2,new,2
1991,TT91,94,2,old,1
1991,TT91,95,1,new,14
1991,TT91,95,1,old,11
1991,TT91,95,2,new,4
1991,TT91,96,1,new,7
1991,TT91,96,1,old,11
1991,TT91,96,2,new,1
1991,TT91,97,1,new,4
1991,TT91,97,1,old,6
1991,TT91,97,2,new,2
1991,TT91,98,1,new,11
1991,TT91,98,1,old,18
1991,TT91,98,2,new,3
1991,TT91,99,1,new,9
1991,TT91,99,1,old,10
1991,TT91,99,2,new,2
1991,TT91,100,1,new,10
1991,TT91,100,1,old,10
1991,TT91,100,2,new,2
1991,TT91,100,2,old,1
1991,TT91,101,1,new,12
1991,TT91,101,1,old,7
1991,TT91,101,2,new,1
1991,TT91,102,1,new,13
1991,TT91,102,1,old,15
1991,TT91,102,2,new,1
1991,TT91,102,2,old,1
1991,TT91,103,1,new,14
1991,TT91,103,1,old,5
1991,TT91,104,1,new,14
1991,TT91,104,1,old,10
1991,TT91,105,1,new,15
1991,TT91,105,1,old,10
1991,TT91,105,2,new,1
1991,TT91,106,1,new,22
1991,TT91,106,1,old,6
1991,TT91,107,1,new,27
1991,TT91,107,1,old,6
1991,TT91,107,2,new,1
1991,TT91,108,1,new,17
1991,TT91,108,1,old,6
1991,TT91,108,2,new,1
1991,TT91,109,1,new,21
1991,TT91,109,1,old,5
1991,TT91,110,1,new,32
1991,TT91,110,1,old,6
1991,TT91,111,1,new,37
1991,TT91,111,1,old,10
1991,TT91,111,2,new,1
1991,TT91,112,1,new,27
1991,TT91,112,1,old,10
1991,TT91,113,1,new,29
1991,TT91,113,1,old,3
1991,TT91,114,1,new,25
1991,TT91,114,2,new,1
1991,TT91,115,1,new,51
1991,TT91,115,1,old,3
1991,TT91,116,1,new,36
1991,TT91,116,1,old,3
1991,TT91,117,1,new,45
1991,TT91,117,1,old,3
1991,TT91,118,1,new,57
1991,TT91,118,1,old,4
1991,TT91,119,1,new,55
1991,TT91,119,1,old,2
1991,TT91,120,1,new,60
1991,TT91,120,1,old,2
1991,TT91,121,1,new,74
1991,TT91,121,1,old,2
1991,TT91,122,1,new,64
1991,TT91,122,1,old,2
1991,TT91,123,1,new,68
1991,TT91,123,1,old,1
1991,TT91,124,1,new,52
1991,TT91,124,1,old,2
1991,TT91,125,1,new,58
1991,TT91,125,1,old,3
1991,TT91,126,1,new,66
1991,TT91,126,1,old,3
1991,TT91,127,1,new,63
1991,TT91,127,1,old,1
1991,TT91,128,1,new,54
1991,TT91,128,1,old,2
1991,TT91,129,1,new,39
1991,TT91,130,1,new,58
1991,TT91,130,1,old,1
1991,TT91,131,1,new,52
