"","male_mat_ratio.SPECIES","male_mat_ratio.REGION","male_mat_ratio.DISTRICT","male_mat_ratio.YEAR","male_mat_ratio.SIZE_BIN","male_mat_ratio.NUM_IMMATURE","male_mat_ratio.NUM_MATURE","male_mat_ratio.TOTAL_CRAB","male_mat_ratio.PROP_MATURE","model_parameters.SPECIES","model_parameters.REGION","model_parameters.DISTRICT","model_parameters.YEAR","model_parameters.A_EST","model_parameters.A_SE","model_parameters.B_EST","model_parameters.B_SE"
"1","SNOW","EBS","ALL",1989,5,0,0,0,0,"SNOW","EBS","ALL",1989,0.10699411,0.01022512,90.65492,1.0145028
"2","SNOW","EBS","ALL",1989,15,0,0,0,0,"SNOW","EBS","ALL",1990,0.07277573,0.008755984,94.84672,1.8774647
"3","SNOW","EBS","ALL",1989,25,1,0,1,0,"SNOW","EBS","ALL",1991,0.09147539,0.012890991,96.7591,1.7496379
"4","SNOW","EBS","ALL",1989,35,182.4007,0,182.4007,0,"SNOW","EBS","ALL",1992,0.07000177,0.006038387,84.28333,1.3990401
"5","SNOW","EBS","ALL",1989,45,1179.9604,27.5357,1207.4961,0.022803966,"SNOW","EBS","ALL",1993,0.081824,0.008058921,75.49382,1.3667858
"6","SNOW","EBS","ALL",1989,55,1102.576,165.4949,1268.0709,0.130509185,"SNOW","EBS","ALL",1994,0.06615964,0.005924545,84.73689,1.5363862
"7","SNOW","EBS","ALL",1989,65,910.6583,188.2494,1098.9077,0.171305925,"SNOW","EBS","ALL",1995,0.07693595,0.002598262,84.39154,0.4984764
"8","SNOW","EBS","ALL",1989,75,1462.7453,229.4728,1692.2181,0.135604743,"SNOW","EBS","ALL",1996,0.07825773,0.007873234,88.14304,1.4599727
"9","SNOW","EBS","ALL",1989,85,796.7718,371.5487,1168.3205,0.318019499,"SNOW","EBS","ALL",1997,0.08916597,0.010733283,94.75338,1.5332163
"10","SNOW","EBS","ALL",1989,95,234.7517,316.969,551.7207,0.574509892,"SNOW","EBS","ALL",1998,0.07199527,0.008004203,88.87168,1.7535492
"11","SNOW","EBS","ALL",1989,105,49.2443,379.2608,428.5051,0.885078847,"SNOW","EBS","ALL",1999,0.06472373,0.006686044,82.82275,1.8111555
