"year","sex","maturity","biomass","cv"
1982,"female","mature",141.492000713347,0.158453362565569
1983,"female","mature",82.1821314580155,0.202513111697348
1984,"female","mature",39.3686378866757,0.199801561612919
1985,"female","mature",5.88913821299535,0.215444708660891
1986,"female","mature",15.1739557834732,0.208775452376609
1987,"female","mature",119.55120143744,0.188936091535149
1988,"female","mature",165.618574549038,0.176562445268524
1989,"female","mature",256.727533751669,0.324162566521812
1990,"female","mature",174.94184588605,0.210417837422485
1991,"female","mature",199.019575176495,0.242710432754576
1992,"female","mature",123.479179063344,0.201645069978923
1993,"female","mature",127.080564677938,0.166262690396058
1994,"female","mature",122.60395733716,0.1400250056098
1995,"female","mature",164.958521831314,0.13621072499988
1996,"female","mature",104.429105530683,0.151494117623505
1997,"female","mature",101.393429032751,0.196958975127054
1998,"female","mature",70.1826636932359,0.280132609932778
1999,"female","mature",29.8489754608653,0.238358392756878
2000,"female","mature",93.8820933853643,0.53867228576359
2001,"female","mature",74.8401024931203,0.296941732061633
2002,"female","mature",29.5080611942114,0.318966757796023
2003,"female","mature",38.7614576956064,0.40603302895819
2004,"female","mature",47.7426489181972,0.27950071347701
2005,"female","mature",62.6031340770991,0.223264714859874
2006,"female","mature",50.5924362889235,0.203562564017867
2007,"female","mature",54.4486054497502,0.323707006159477
2008,"female","mature",49.3519599571903,0.235248512949306
2009,"female","mature",50.0017450615409,0.230841877449593
2010,"female","mature",94.9560696728094,0.183636174287044
2011,"female","mature",169.11735466668,0.192171127585698
2012,"female","mature",143.252851035284,0.234781550538836
2013,"female","mature",125.67181083375,0.206738316138733
2014,"female","mature",111.361857527118,0.213974576243242
2015,"female","mature",81.6277699926335,0.18286333982271
2016,"female","mature",53.1241818969891,0.206034736023932
2017,"female","mature",105.882964864136,0.219326395874879
2018,"female","mature",165.448352278054,0.199848997750133
2019,"female","mature",109.225882772988,0.196982285117443
2021,"female","mature",30.5379995610163,0.442857125412516
2022,"female","mature",21.4315871068806,0.344939570064228
2023,"female","mature",15.3002151956703,0.273918245655376
2024,"female","mature",41.9009250636281,0.228606637339325
2025,"female","mature",147.337715938452,0.171558519918175
2026,"female","mature",280.217032563539,0.228176432136293
1982,"male","mature",172.376311803425,0.137672590482914
1983,"male","mature",147.607936493576,0.125745079654206
1984,"male","mature",166.493879740492,0.11809394959155
1985,"male","mature",70.0197244287684,0.106383722063543
1986,"male","mature",85.7842993971314,0.111755621865519
1987,"male","mature",185.380551113439,0.106531785007417
1988,"male","mature",251.021878502988,0.149473540241556
1989,"male","mature",272.611276958136,0.107479841133939
1990,"male","mature",370.6030414688,0.138804919072894
1991,"male","mature",396.951658362058,0.146783824609654
1992,"male","mature",223.189316773193,0.0935105478661626
1993,"male","mature",215.021963686823,0.105030158261864
1994,"male","mature",140.674169453409,0.0836820542485328
1995,"male","mature",205.735323808817,0.127413857407473
1996,"male","mature",270.82202336726,0.124971945552857
1997,"male","mature",281.367098492756,0.0949941902815062
1998,"male","mature",199.470389094276,0.0896271298462898
1999,"male","mature",90.5773544747643,0.0896501231364168
