"year","sex","maturity","m27.5","m32.5","m37.5","m42.5","m47.5","m52.5","m57.5","m62.5","m67.5","m72.5","m77.5","m82.5","m87.5","m92.5","m97.5","m102.5","m107.5","m112.5","m117.5","m122.5","m127.5","m132.5"
1982,"male","mature",0,0,5.41302825409147e-05,0.00274384631585636,0.0159360794079865,0.0572326919185348,0.105409059502647,0.114217869040109,0.10894446101023,0.117779952435281,0.12360436625529,0.0953790797620943,0.0712712555390889,0.0564407013985809,0.0485352643372324,0.0402468749970124,0.0201149998199775,0.012199032118479,0.0046772649937221,0.00318770779721451,0.00136073440198326,0.000664628666139348
1983,"male","mature",4.65639144949723e-05,9.02780569007838e-05,0.000351470321334357,0.00154221175799298,0.0119507641289201,0.0440541515760621,0.093624743958598,0.112859913711318,0.105937545650962,0.0951038712680346,0.0914661198686702,0.0862614193392619,0.0889897850105851,0.087665341835317,0.0674550373553744,0.049002167270946,0.0343862551091258,0.0172211189527583,0.00687584564587225,0.00353013703162921,0.0012658187270443,0.000319439508797332
1984,"male","mature",5.28891170901046e-05,0.00010534890626551,0.00280494158185868,0.00800750973696182,0.0300322224049648,0.0373544114004884,0.0600149308701439,0.0651636765993925,0.0645441825606682,0.069460277755986,0.0772571419609699,0.0714851145501383,0.0672079422808345,0.0822215384873364,0.0870776412739479,0.0770216960006584,0.0762310602393489,0.060330656042966,0.037935462765224,0.0184812774958743,0.00543958113738945,0.00177049683149226
1985,"male","mature",0,0,0.00324740309465469,0.0125365197685181,0.0161906075768433,0.0288601446590965,0.0495424265993058,0.0608604662882336,0.0466997010479147,0.0525240137669665,0.0685383191351628,0.06982834176786,0.070737719371035,0.0725445210845792,0.0800837273684411,0.0913772046546014,0.0902573478314935,0.0855533753570422,0.0605736421942179,0.0308932006774769,0.00722319284578985,0.00192812491076701
1986,"male","mature",0,8.68421029346823e-05,0.00616545474389474,0.0133981548489262,0.0239445648192269,0.0604586147288665,0.0970018974425697,0.102244545230455,0.0894172561907695,0.0804572854740142,0.0717117809215586,0.0617378039005613,0.0437663817263204,0.0452041919759269,0.0527459206707271,0.0616252951567789,0.0620522887913369,0.0581644152945375,0.0389838628050346,0.0222103956260192,0.00668809419522679,0.00193495335431473
1987,"male","mature",0,0,0.0109626360496351,0.0310701480281526,0.0488392284745412,0.0788486703995833,0.12962585609768,0.118427468172676,0.085400044012542,0.0702093763981067,0.0677097322407925,0.0540449838915189,0.0435670459636877,0.0505404411214629,0.0507455547141632,0.0527881703517676,0.0424231541736472,0.0299593692185931,0.0203744370857497,0.00994287657690146,0.00362314522470799,0.000897661804091221
1988,"male","mature",5.35166738125691e-05,0,0.00426726531866835,0.0120144818303533,0.0331148472184061,0.0827450882204824,0.120385517433694,0.120011679423396,0.0905034627551832,0.0916391408884133,0.0795066687796548,0.0657221143969965,0.045261929442424,0.0454591982793971,0.0453155437224746,0.0473682579948928,0.0375481680865339,0.0299503425629814,0.0236824517535319,0.0155805294777231,0.00796813808967623,0.00190165765130505
1989,"male","mature",2.6753513826859e-05,0.000598023484786507,0.00173532727770041,0.0125197021001739,0.0259706424113477,0.0540104126530042,0.0871564942595674,0.102053233501522,0.121031554049044,0.122470769350116,0.101669466749076,0.0753336235662802,0.0551367728943088,0.0521811635899515,0.0520808827526458,0.0453918441355854,0.0367978115564581,0.0227969559196246,0.0155468160864991,0.0101070941865538,0.00362998959295141,0.00175466636897568
1990,"male","mature",0,0,0.00103603114713599,0.00419450958825015,0.00902755304028375,0.0244517423145633,0.0480285813745901,0.0546577340010876,0.0585168883893357,0.0683341376433782,0.068784559222527,0.0683908770663644,0.0675287353327309,0.0964160925562243,0.110413635374665,0.104388022612003,0.0799785230992515,0.0561970836563178,0.043832087994467,0.0224058604361991,0.00889305887388124,0.00452428627674439
1991,"male","mature",8.83806918125339e-05,0,0.00180558904434597,0.00962946777986184,0.0190861755842203,0.0283228886688649,0.0604509124781628,0.0704053736486501,0.0584338461178382,0.049517391296713,0.050678012218408,0.0503338844806647,0.0555981419748185,0.0749074297526224,0.0744269529013474,0.0712886278181001,0.0690445910317237,0.0870090509367118,0.0727607750849028,0.0562230539125043,0.0266330242273357,0.0133564303503908
