"year","abundance","cv"
1982,4321.34348449696,0.114833408288636
1983,3342.7787358856,0.163741286586172
1984,2683.14717552698,0.177865296677724
1985,866.916812592437,0.150322297465115
1986,2363.18100621476,0.197997628597699
1987,8969.98706688737,0.156331180231937
1988,7796.16717228304,0.118719344864917
1989,8593.96102100175,0.211428675866068
1990,7026.90573587592,0.140960654409445
1991,9766.26929989303,0.151302490493485
1992,7000.43741168617,0.145027688628474
1993,10293.8941815578,0.157508046424951
1994,9112.23873753018,0.149398416904363
1995,7893.97918529649,0.0978563494158492
1996,4977.79687879635,0.0952863830999143
1997,3795.46753583011,0.129071936120531
1998,2809.22186666883,0.176218208553542
1999,1285.95469184341,0.13300358961784
2000,3114.44603531238,0.302188618549429
2001,3355.32122705733,0.201728079346647
2002,1334.94345817446,0.184475310855304
2003,2384.39328292972,0.203614544876972
2004,3878.91431761858,0.18407093730831
2005,4602.64719119932,0.151748965120258
2006,2860.33176731243,0.152010805577009
2007,2917.58339385562,0.172944248715489
2008,2306.81818920602,0.15434665593884
2009,3058.18503089163,0.165487703494049
2010,7450.3606347563,0.15838393680602
2011,6336.29569377625,0.130421096694435
2012,5329.8725599902,0.151254784259867
2013,4420.04041048399,0.13899807295564
2014,5138.31873935245,0.223118799702198
2015,4288.00853892954,0.186760331546771
2016,5367.53484306916,0.228634296862108
2017,8181.36758821525,0.156310840604007
2018,11744.3222722514,0.169112594980743
2019,4295.92199924206,0.147100453845086
2021,940.214212559965,0.312756938717337
2022,1957.28329952606,0.243983046910988
2023,2074.14326059411,0.177831867956881
2024,6849.52091989754,0.15529164559439
2025,7234.94382735612,0.125076680685517
2026,6364.1638476509,0.167752772026236
