"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_eqmdevs","M_female_immature_block_group_1_block_2","female",29,1.84848115,9.98594737,8.13746622,34.2472492678274
"26_gmacs_eqmdevs","Logit_rec_prop_est_1993","sex allocation",29,-1.53455755,-0.6410252,0.89353235,3.76051024876851
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_4","female",29,-1.37634094,-0.52162278,0.85471816,3.59715728310068
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_6","female",29,-0.08602263,0.70687508,0.79289771,3.33698042905787
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_3","male",29,-1.06485768,-0.33457486,0.73028282,3.07346010372156
"26_gmacs_eqmdevs","Rec_dev_est_1993","shared (recruitment devs)",29,-0.43263956,0.12179757,0.55443713,2.33339790066112
"26_gmacs_eqmdevs","Logit_rec_prop_est_1991","sex allocation",29,0.84334213,1.3662327,0.52289057,2.20063140127989
"26_gmacs_eqmdevs","Logit_rec_prop_est_1992","sex allocation",29,-2.48077764,-2.01439524,0.4663824,1.96281174939582
"26_gmacs_eqmdevs","Logit_rec_prop_est_1989","sex allocation",29,0.37298379,0.82505274,0.45206895,1.90257232390637
"26_gmacs_eqmdevs","Logit_rec_prop_est_2012","sex allocation",29,1.58690958,1.97937448,0.3924649,1.65172338610002
"26_gmacs_eqmdevs","Logit_rec_prop_est_1990","sex allocation",29,1.47716005,1.85006089,0.37290084,1.56938630212369
"26_gmacs_eqmdevs","Rec_dev_est_1992","shared (recruitment devs)",29,-0.28015662,-0.02171766,0.25843896,1.08766331488846
"26_gmacs_eqmdevs","Logit_rec_prop_est_1995","sex allocation",29,-1.20406519,-0.97316431,0.23090088,0.971766859576677
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_2","male",29,0.74201098,0.92480322,0.18279224,0.769297375652212
"26_gmacs_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_4","male",29,0.52895612,0.70377495,0.17481883,0.735740571555938
"26_gmacs_eqmdevs","Logit_rec_prop_est_2025","sex allocation",29,0.62384124,0.79675296,0.17291172,0.727714329752237
"26_gmacs_eqmdevs","Logit_rec_prop_est_1986","sex allocation",29,-3.45527021,-3.29289035,0.16237986,0.683390061617352
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_7","female",29,0.2007651,0.35880579,0.15804069,0.665128279314619
"26_gmacs_eqmdevs","Rec_dev_est_1986","shared (recruitment devs)",29,0.71638269,0.86867574,0.15229305,0.64093882593195
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1995_season_2","female (F offsets)",29,-0.76592942,-0.615623,0.15030642,0.63257791714615
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_3","female",29,-0.679605,-0.53640025,0.14320475,0.602689908258311
"26_gmacs_eqmdevs","Init_logdev_for_sex_female_mature_immature_newshell_class_5","female",29,-0.88914552,-0.7474369,0.14170862,0.59639331228337
"26_gmacs_eqmdevs","Rec_dev_est_1991","shared (recruitment devs)",29,0.92046147,1.05283585,0.13237438,0.557109334278023
"26_gmacs_eqmdevs","Logit_rec_prop_est_1985","sex allocation",29,-0.30806378,-0.18312709,0.12493669,0.525807155378554
"26_gmacs_eqmdevs","Logit_rec_prop_est_2009","sex allocation",29,-1.88737017,-1.76441791,0.12295226,0.517455505488135
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_3","male",29,-2.53499654,-2.41925795,0.11573859,0.487096134653677
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_4","female",29,-1.98947396,-1.8738139,0.11566006,0.4867656341745
"26_gmacs_eqmdevs","Logit_rec_prop_est_1983","sex allocation",29,0.9538347,1.06792312,0.11408842,0.480151247658584
"26_gmacs_eqmdevs","Rec_dev_est_1989","shared (recruitment devs)",29,-0.7453246,-0.63738554,0.10793906,0.454271119979528
"26_gmacs_eqmdevs","Logit_rec_prop_est_2024","sex allocation",29,2.7108019,2.81735372,0.10655182,0.448432797240008
"26_gmacs_eqmdevs","Logit_rec_prop_est_2006","sex allocation",29,3.67085363,3.77594849,0.10509486,0.44230105168872
"26_gmacs_eqmdevs","Logit_rec_prop_est_1988","sex allocation",29,-0.24223013,-0.13735521,0.10487492,0.441375414666048
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1996_season_2","female (F offsets)",29,0.8251894,0.92234498,0.09715558,0.408887886728499
"26_gmacs_eqmdevs","Rec_dev_est_1995","shared (recruitment devs)",29,-0.99915131,-0.90587252,0.0932787900000001,0.392572071719313
"26_gmacs_eqmdevs","Logit_rec_prop_est_1997","sex allocation",29,0.97331868,1.06466229,0.09134361,0.384427694827741
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_1","female",29,-5.0519251,-4.96122854,0.0906965600000005,0.381704527438822
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_3","female",29,-3.1776115,-3.08710814,0.09050336,0.380891428080904
"26_gmacs_eqmdevs","Logit_rec_prop_est_1987","sex allocation",29,-0.08327746,0.00646833,0.08974579,0.377703127456803
"26_gmacs_eqmdevs","Logit_rec_prop_est_1984","sex allocation",29,-0.09414822,-0.00454808,0.08960014,0.377090146496759
"26_gmacs_eqmdevs","Rec_dev_est_1990","shared (recruitment devs)",29,0.77336923,0.86004124,0.08667201,0.364766851347203
"26_gmacs_eqmdevs","M_female_mature_block_group_1_block_1","female",29,0.02913448,0.11474913,0.08561465,0.360316857884025
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_2","female",29,-4.10955102,-4.02689338,0.0826576399999999,0.347872018689662
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1989_female_base_class_1","female",29,-4.6072245,-4.5255834,0.0816410999999997,0.343593819821671
"26_gmacs_eqmdevs","Rec_dev_est_1988","shared (recruitment devs)",29,-0.4701144,-0.38849462,0.08161978,0.343504092708262
"26_gmacs_eqmdevs","Sel_NMFS_Trawl_1982_female_base_class_3","female",29,-3.74169276,-3.66307307,0.07861969,0.330877947508004
"26_gmacs_eqmdevs","Rec_dev_est_2016","shared (recruitment devs)",29,1.52715012,1.60429618,0.07714606,0.324676044781267
"26_gmacs_eqmdevs","M_female_immature_block_group_1_block_1","female",29,1.79655602,1.873642,0.0770859800000001,0.324423192765617
"26_gmacs_eqmdevs","Rec_dev_est_2009","shared (recruitment devs)",29,-0.66881962,-0.59235161,0.0764680099999999,0.321822411139264
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1990_season_2","female (F offsets)",29,2.93153105,3.00741897,0.07588792,0.319381050857
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1994_season_2","female (F offsets)",29,0.8688024,0.9440675,0.0752651,0.316759857574924
"26_gmacs_eqmdevs","Rec_dev_est_1982","shared (recruitment devs)",29,0.46664306,0.54153459,0.07489153,0.315187655053513
"26_gmacs_eqmdevs","Log_fdov_Pot_Fishery_year_1989_season_2","female (F offsets)",29,0.55910925,0.63375022,0.07464097,0.314133151041508
"26_gmacs_eqmdevs","Logit_rec_prop_est_2019","sex allocation",29,-2.56377527,-2.48925977,0.0745155,0.313605099403631
"26_gmacs_eqmdevs","Logit_rec_prop_est_1996","sex allocation",29,4.09817198,4.17081667,0.0726446899999997,0.305731629373699
