"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_1","male",31,-3.49780961,-3.13169182,0.36611779,20.1476561580861
"26_gmacs_male_only","Rec_dev_est_2019","shared (recruitment devs)",31,-1.68841911,-1.44869381,0.2397253,13.1922103998116
"26_gmacs_male_only","Rec_dev_est_2020","shared (recruitment devs)",31,0.63394861,0.7535428,0.11959419,6.58133170372522
"26_gmacs_male_only","Rec_dev_est_2022","shared (recruitment devs)",31,1.55614725,1.59989412,0.0437468700000001,2.4074134577085
"26_gmacs_male_only","Rec_dev_est_2001","shared (recruitment devs)",31,0.56737012,0.61059543,0.0432253100000001,2.37871173429371
"26_gmacs_male_only","Rec_dev_est_2021","shared (recruitment devs)",31,0.99413433,1.03258464,0.0384503100000001,2.11594095182269
"26_gmacs_male_only","Rec_dev_est_2003","shared (recruitment devs)",31,0.27316329,0.3112806,0.03811731,2.09761578521267
"26_gmacs_male_only","Rec_dev_est_2018","shared (recruitment devs)",31,-1.27013456,-1.23306655,0.03706801,2.03987224970547
"26_gmacs_male_only","Rec_dev_est_2000","shared (recruitment devs)",31,-1.5763793,-1.53968684,0.03669246,2.01920553402862
"26_gmacs_male_only","Rec_dev_est_2002","shared (recruitment devs)",31,0.34124878,0.37512641,0.03387763,1.86430394625419
"26_gmacs_male_only","Rec_dev_est_2005","shared (recruitment devs)",31,-0.8075634,-0.77478879,0.03277461,1.80360417065603
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_2","male",31,-2.63124903,-2.6034946,0.0277544300000003,1.52734100275126
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2025_season_2","shared (fishing mortality)",31,1.44369449,1.46730495,0.02361046,1.29929613585356
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2025_season_2","shared (fishing mortality)",31,-0.6921901,-0.66890375,0.02328635,1.28146019065844
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2019_season_2","shared (fishing mortality)",31,0.79929354,0.81866295,0.01936941,1.06590890506849
"26_gmacs_male_only","Rec_dev_est_2023","shared (recruitment devs)",31,0.11953352,0.13818327,0.01864975,1.0263056335893
"26_gmacs_male_only","Rec_dev_est_2025","shared (recruitment devs)",31,-0.19527809,-0.17736792,0.01791017,0.98560615394534
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2019_season_2","shared (fishing mortality)",31,0.75848141,0.77427439,0.01579298,0.869096065371555
"26_gmacs_male_only","Rec_dev_est_1999","shared (recruitment devs)",31,-1.11442204,-1.09868289,0.0157391499999999,0.866133771922251
"26_gmacs_male_only","Rec_dev_est_2024","shared (recruitment devs)",31,-0.30635676,-0.29063996,0.0157168,0.864903839568702
"26_gmacs_male_only","Sel_NMFS_Trawl_1989_male_base_class_4","male",31,-1.28284423,-1.26794932,0.01489491,0.819674796970771
"26_gmacs_male_only","Rec_dev_est_2013","shared (recruitment devs)",31,-0.30509213,-0.29054443,0.0145477,0.800567646524329
"26_gmacs_male_only","M_male_mature_block_group_1_block_1","male",31,0.50746101,0.52186735,0.01440634,0.792788530752578
"26_gmacs_male_only","Rec_dev_est_1987","shared (recruitment devs)",31,0.39058721,0.40451745,0.01393024,0.766588495247981
"26_gmacs_male_only","Rec_dev_est_2004","shared (recruitment devs)",31,0.70290966,0.71619492,0.01328526,0.731094903776115
"26_gmacs_male_only","Rec_dev_est_1995","shared (recruitment devs)",31,-1.17939953,-1.16692659,0.0124729399999999,0.686392503353731
"26_gmacs_male_only","M_male_immature_block_group_1_block_2","male",31,2.85396148,2.86640215,0.0124406699999997,0.684616668138991
"26_gmacs_male_only","Rec_dev_est_2011","shared (recruitment devs)",31,-1.00939426,-0.99796513,0.0114291300000001,0.628951085458231
"26_gmacs_male_only","Rec_dev_est_2012","shared (recruitment devs)",31,-0.3552847,-0.34411638,0.01116832,0.614598572834923
"26_gmacs_male_only","Rec_dev_est_2009","shared (recruitment devs)",31,-1.06356799,-1.05274317,0.0108248199999998,0.595695585656108
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2018_season_2","shared (fishing mortality)",31,1.68722229,1.69750089,0.0102785999999999,0.565636809362642
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2007_season_2","shared (fishing mortality)",31,0.45310177,0.46313819,0.01003642,0.552309515519959
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2007_season_2","shared (fishing mortality)",31,0.16601062,0.17571809,0.00970747,0.534207222557898
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2023_season_2","shared (fishing mortality)",31,0.55593187,0.56523849,0.00930662000000004,0.512148234462925
"26_gmacs_male_only","Rec_dev_est_1994","shared (recruitment devs)",31,-1.15965197,-1.15039871,0.00925326000000015,0.509211805362898
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2018_season_2","shared (fishing mortality)",31,1.05844414,1.06737866,0.00893451999999995,0.491671374115806
"26_gmacs_male_only","Rec_dev_est_1996","shared (recruitment devs)",31,-0.76955596,-0.76082789,0.00872807000000009,0.480310321122904
"26_gmacs_male_only","Rec_dev_est_2016","shared (recruitment devs)",31,-0.56006738,-0.55136776,0.00869962000000002,0.478744702534146
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2022_season_2","shared (fishing mortality)",31,-0.07559716,-0.06690337,0.00869378999999999,0.478423874542144
"26_gmacs_male_only","Rec_dev_est_1991","shared (recruitment devs)",31,1.29459668,1.30318989,0.00859321000000013,0.4728889037985
"26_gmacs_male_only","Rec_dev_est_1992","shared (recruitment devs)",31,-0.74848627,-0.74046109,0.00802517999999997,0.44162991163786
"26_gmacs_male_only","Rec_dev_est_1985","shared (recruitment devs)",31,1.27976929,1.28771117,0.00794187999999996,0.437045868458836
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_17","male",31,11.26828989,11.27614108,0.00785119000000023,0.432055149660464
"26_gmacs_male_only","Rec_dev_est_1998","shared (recruitment devs)",31,-0.3429856,-0.33532549,0.00766011,0.421539915919182
"26_gmacs_male_only","Ret_Pot_Fishery_male_base_Logistic_cv","male",31,0.28602002,0.29332281,0.00730279,0.401876406810796
"26_gmacs_male_only","Rec_dev_est_2007","shared (recruitment devs)",31,0.28465148,0.29169754,0.00704605999999997,0.387748418751362
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_16","male",31,11.79888753,11.80592025,0.00703271999999977,0.387014311476343
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2008_season_2","shared (fishing mortality)",31,-0.18142946,-0.17446764,0.00696181999999998,0.383112646873801
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2020_season_2","shared (fishing mortality)",31,1.23690415,1.24384086,0.00693670999999996,0.381730830256449
"26_gmacs_male_only","Rec_dev_est_1993","shared (recruitment devs)",31,-0.93794853,-0.93109434,0.00685418999999998,0.377189710891108
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2008_season_2","shared (fishing mortality)",31,-0.08726779,-0.08041468,0.00685311,0.37713027791832
"26_gmacs_male_only","Rec_dev_est_1984","shared (recruitment devs)",31,1.75673886,1.76338544,0.00664657999999996,0.36576482248298
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_18","male",31,10.2839553,10.29049325,0.00653795000000024,0.359786855969942
"26_gmacs_male_only","Log(Rbar)","shared (other)",31,12.99894949,13.00535278,0.0064032900000015,0.352376444751677
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2005_season_2","shared (fishing mortality)",31,-0.76495717,-0.75877948,0.00617769000000001,0.339961557102284
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2021_season_2","shared (fishing mortality)",31,-0.52929253,-0.52323471,0.00605781999999999,0.333365047427979
"26_gmacs_male_only","Log_fdev_Trawl_Bycatch_year_2005_season_2","shared (fishing mortality)",31,-0.02228361,-0.01640547,0.00587814,0.323477161732818
"26_gmacs_male_only","Rec_dev_est_1983","shared (recruitment devs)",31,1.00109241,1.0068126,0.0057201899999999,0.314785089462384
"26_gmacs_male_only","Rec_dev_est_2008","shared (recruitment devs)",31,0.33345166,0.33915373,0.00570207,0.313787936252259
"26_gmacs_male_only","Log_fdev_Pot_Fishery_year_2020_season_2","shared (fishing mortality)",31,1.27038416,1.27580995,0.00542578999999987,0.298584101324274
"26_gmacs_male_only","Initial_logN_for_sex_male_mature_mature_newshell_class_19","male",31,9.21378935,9.21909512,0.00530576999999965,0.291979337070404
