"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_3","male",62,-1.04252943,-0.2635017,0.77902773,20.9125088685411
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_1","male",62,-3.51186461,-3.14221831,0.3696463,9.92292216218464
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2019","shared (recruitment devs)",62,-1.74396584,-1.50961094,0.2343549,6.29110972036394
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_2","male",62,0.75881297,0.94323907,0.1844261,4.95080252385938
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_4","male",62,0.66497134,0.83591407,0.17094273,4.58884994650655
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2020","shared (recruitment devs)",62,0.57757646,0.70026249,0.12268603,3.29342922160306
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_3","male",62,-1.96021212,-1.86447475,0.0957373699999999,2.57000941311267
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1982","shared (recruitment devs)",62,1.23383562,1.29706334,0.06322772,1.69730832975308
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1983","shared (recruitment devs)",62,0.83316624,0.88136072,0.04819448,1.2937504681826
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2022","shared (recruitment devs)",62,1.51212389,1.55680452,0.04468063,1.19942337755679
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2001","shared (recruitment devs)",62,0.57045432,0.61482237,0.04436805,1.19103236428423
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_9","male",62,0.87976529,0.91964066,0.03987537,1.07042919866454
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2018","shared (recruitment devs)",62,-1.27495262,-1.23648376,0.03846886,1.03267232337502
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2021","shared (recruitment devs)",62,0.96112335,0.99926321,0.0381398599999999,1.0238405255419
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2000","shared (recruitment devs)",62,-1.57059112,-1.53247491,0.0381162100000001,1.02320565618399
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_13","male",62,0.73908505,0.7770717,0.03798665,1.01972769956618
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2003","shared (recruitment devs)",62,0.28945346,0.32703651,0.03758305,1.00889331170769
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2002","shared (recruitment devs)",62,0.33442861,0.36911839,0.03468978,0.931225300410986
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_6","male",62,0.62884962,0.66146721,0.03261759,0.875598664691225
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2005","shared (recruitment devs)",62,-0.83824265,-0.80668631,0.03155634,0.84711007669611
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_2","male",62,-2.64172322,-2.61243537,0.0292878499999998,0.786213891083821
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_7","male",62,0.47435563,0.50242717,0.0280715400000001,0.753562815027915
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2025_season_2","shared (fishing mortality)",62,-0.60888504,-0.58252906,0.0263559799999999,0.707509687093026
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1982_male_base_class_5","male",62,-1.26331574,-1.23722932,0.0260864199999999,0.700273518631341
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2025_season_2","shared (fishing mortality)",62,1.3781535,1.4041734,0.0260198999999999,0.69848783111809
"26_gmacs_male_only_eqmdevs","Log(Rinitial)","shared (other)",62,13.23787653,13.26059693,0.0227204000000008,0.609914831268993
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_2019_season_2","shared (fishing mortality)",62,0.77257463,0.79524335,0.02266872,0.608527514211174
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_8","male",62,0.32057314,0.34276019,0.02218705,0.595597386362312
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_1","male",62,-0.4045263,-0.38311736,0.02140894,0.574709513377737
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2023","shared (recruitment devs)",62,0.09564621,0.11481377,0.01916756,0.51454107864465
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2025","shared (recruitment devs)",62,-0.21022021,-0.19144478,0.01877543,0.504014595713649
"26_gmacs_male_only_eqmdevs","Log_fdev_Trawl_Bycatch_year_2019_season_2","shared (fishing mortality)",62,0.75422837,0.77280384,0.01857547,0.49864679542578
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_16","male",62,0.71160757,0.73004901,0.01844144,0.495048844472672
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_immature_newshell_class_10","male",62,0.53294905,0.54950384,0.0165547899999999,0.44440291322086
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1999","shared (recruitment devs)",62,-1.12734145,-1.11102994,0.01631151,0.437872214811013
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2024","shared (recruitment devs)",62,-0.32904062,-0.31292864,0.01611198,0.432515957602378
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2013","shared (recruitment devs)",62,-0.31470688,-0.29946493,0.01524195,0.409160550098595
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_17","male",62,0.16380499,0.17872983,0.01492484,0.400647931828507
"26_gmacs_male_only_eqmdevs","Sel_NMFS_Trawl_1989_male_base_class_4","male",62,-1.29267543,-1.27778094,0.0148944900000001,0.399833205189497
"26_gmacs_male_only_eqmdevs","Rec_dev_est_2004","shared (recruitment devs)",62,0.67640406,0.69047752,0.01407346,0.377793171831069
"26_gmacs_male_only_eqmdevs","Rec_dev_est_1987","shared (recruitment devs)",62,0.3841169,0.39795901,0.01384211,0.371582726759061
"26_gmacs_male_only_eqmdevs","Init_logdev_for_sex_male_mature_mature_newshell_class_22","male",62,-0.69748645,-0.68384426,0.01364219,0.366216000246002
"26_gmacs_male_only_eqmdevs","M_male_immature_block_group_1_block_2","male",62,2.87415795,2.88763085,0.0134729,0.361671516795644
"26_gmacs_male_only_eqmdevs","Log_fdev_Pot_Fishery_year_1982_season_2","shared (fishing mortality)",62,-1.82707785,-1.81444399,0.01263386,0.339148016327874
"26_gmacs_male_only_eqmdevs","M_male_mature_block_group_1_block_1","male",62,0.62017519,0.63276274,0.01258755,0.337904853538659
