"model","parameter","class","n_optima","min","max","range","share_pct"
"26_gmacs_update_newmat_plus_group","M_female_immature_block_group_1_block_2","female",40,1.78369379,9.9882862,8.20459241,12.8115548884254
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_2018","sex allocation",40,-2.14881645,4.76341269,6.91222914,10.793516436057
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_2003","sex allocation",40,1.06922509,4.27697433,3.20774924,5.00893321726445
"26_gmacs_update_newmat_plus_group","Initial_logN_for_sex_male_mature_immature_newshell_class_1","male",40,12.06543581,13.83399857,1.76856276,2.76162882213975
"26_gmacs_update_newmat_plus_group","Initial_logN_for_sex_male_mature_immature_newshell_class_2","male",40,12.24211156,13.77752687,1.53541531,2.39756669650256
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1991","sex allocation",40,0.28446116,1.50748357,1.22302241,1.90976199090544
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1989","sex allocation",40,-0.0564135,1.14277406,1.19918756,1.87254362906943
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1993","sex allocation",40,-1.57478117,-0.48436567,1.0904155,1.70269494587115
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1982_female_base_class_1","female",40,-5.99089377,-4.92173717,1.0691566,1.66949895628298
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1996","sex allocation",40,2.90116278,3.94205504,1.04089226,1.62536390054837
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1990","sex allocation",40,1.0586229,1.97604944,0.91742654,1.43257091711009
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1982","sex allocation",40,2.66406347,3.48303951,0.81897604,1.27883945532466
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1983","sex allocation",40,1.22019182,1.96623714,0.74604532,1.16495739078803
"26_gmacs_update_newmat_plus_group","Sel_NMFS_Trawl_1982_female_base_class_3","female",40,-4.63077259,-3.90112466,0.72964793,1.13935269874314
"26_gmacs_update_newmat_plus_group","Rec_dev_est_1993","shared (recruitment devs)",40,-0.54041682,0.13862665,0.67904347,1.0603333173417
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1992","sex allocation",40,-2.47123165,-1.79235991,0.67887174,1.06006515919184
"26_gmacs_update_newmat_plus_group","Rec_dev_est_2018","shared (recruitment devs)",40,-1.59647971,-0.92691047,0.66956924,1.04553921038245
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_2023","sex allocation",40,3.79983288,4.42593506,0.62610218,0.977664952015913
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1987","sex allocation",40,-0.04169553,0.56234421,0.60403974,0.943214226506614
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_2006","sex allocation",40,1.51071546,2.10380261,0.59308715,0.92611164530046
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_2019","sex allocation",40,-2.91610008,-2.35231655,0.56378353,0.880353743225767
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1985","sex allocation",40,-0.87758722,-0.33986268,0.53772454,0.83966236405195
"26_gmacs_update_newmat_plus_group","M_female_immature_block_group_1_block_1","female",40,1.74178922,2.26241154,0.52062232,0.812957072759615
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_2012","sex allocation",40,1.36954181,1.86995473,0.50041292,0.781399888145962
"26_gmacs_update_newmat_plus_group","Logit_rec_prop_est_1986","sex allocation",40,-3.67945312,-3.20529142,0.4741617,0.740408339862806
