crab_year,fishery,size,sex,shell,total
1991,QO91,2,1,new,1
1991,QO91,3,1,new,1
1991,QO91,5,1,new,2
1991,QO91,8,1,new,2
1991,QO91,14,1,new,1
1991,QO91,16,1,new,1
1991,QO91,20,1,new,4
1991,QO91,21,1,new,2
1991,QO91,22,2,old,2
1991,QO91,23,1,new,1
1991,QO91,25,1,new,2
1991,QO91,25,2,old,1
1991,QO91,26,1,new,1
1991,QO91,27,1,new,1
1991,QO91,27,2,old,1
1991,QO91,29,1,new,1
1991,QO91,29,2,old,6
1991,QO91,30,1,new,2
1991,QO91,31,1,new,2
1991,QO91,31,2,new,1
1991,QO91,31,2,old,3
1991,QO91,32,2,new,1
1991,QO91,32,2,old,1
1991,QO91,33,1,new,1
1991,QO91,33,2,new,1
1991,QO91,33,2,old,3
1991,QO91,35,2,new,1
1991,QO91,35,2,old,5
1991,QO91,36,1,new,1
1991,QO91,36,2,new,2
1991,QO91,36,2,old,2
1991,QO91,37,2,old,6
1991,QO91,38,1,new,1
1991,QO91,38,2,new,4
1991,QO91,38,2,old,7
1991,QO91,39,2,new,6
1991,QO91,39,2,old,10
1991,QO91,40,1,new,2
1991,QO91,40,2,new,3
1991,QO91,40,2,old,1
1991,QO91,41,2,new,6
1991,QO91,41,2,old,18
1991,QO91,42,1,new,4
1991,QO91,42,2,new,5
1991,QO91,42,2,old,12
1991,QO91,43,1,new,2
1991,QO91,43,2,new,9
1991,QO91,43,2,old,12
1991,QO91,44,2,new,7
1991,QO91,44,2,old,6
1991,QO91,45,1,new,1
1991,QO91,45,1,old,2
1991,QO91,45,2,new,3
1991,QO91,45,2,old,10
1991,QO91,46,1,new,2
1991,QO91,46,1,old,1
1991,QO91,46,2,new,8
1991,QO91,46,2,old,12
1991,QO91,47,1,new,5
1991,QO91,47,2,new,15
1991,QO91,47,2,old,37
1991,QO91,48,1,new,1
1991,QO91,48,2,new,26
1991,QO91,48,2,old,58
1991,QO91,49,1,new,3
1991,QO91,49,2,new,44
1991,QO91,49,2,old,90
1991,QO91,50,1,new,1
1991,QO91,50,2,new,26
1991,QO91,50,2,old,88
1991,QO91,51,1,new,7
1991,QO91,51,2,new,50
1991,QO91,51,2,old,150
1991,QO91,52,1,new,5
1991,QO91,52,1,old,3
1991,QO91,52,2,new,48
1991,QO91,52,2,old,198
1991,QO91,53,1,new,3
1991,QO91,53,1,old,1
1991,QO91,53,2,new,68
1991,QO91,53,2,old,219
1991,QO91,54,1,new,6
1991,QO91,54,1,old,1
1991,QO91,54,2,new,81
1991,QO91,54,2,old,243
1991,QO91,55,1,new,10
1991,QO91,55,1,old,1
1991,QO91,55,2,new,108
1991,QO91,55,2,old,314
1991,QO91,56,1,new,7
1991,QO91,56,1,old,1
1991,QO91,56,2,new,99
1991,QO91,56,2,old,279
1991,QO91,57,1,new,12
1991,QO91,57,1,old,5
1991,QO91,57,2,new,95
1991,QO91,57,2,old,302
1991,QO91,58,1,new,11
1991,QO91,58,1,old,6
1991,QO91,58,2,new,129
1991,QO91,58,2,old,320
1991,QO91,59,1,new,22
1991,QO91,59,1,old,8
1991,QO91,59,2,new,133
1991,QO91,59,2,old,297
1991,QO91,60,1,new,17
1991,QO91,60,1,old,11
1991,QO91,60,2,new,125
1991,QO91,60,2,old,319
1991,QO91,61,1,new,34
1991,QO91,61,1,old,19
1991,QO91,61,2,new,138
1991,QO91,61,2,old,315
1991,QO91,62,1,new,51
1991,QO91,62,1,old,18
1991,QO91,62,2,new,166
1991,QO91,62,2,old,359
1991,QO91,63,1,new,64
1991,QO91,63,1,old,29
1991,QO91,63,2,new,180
1991,QO91,63,2,old,357
1991,QO91,64,1,new,43
1991,QO91,64,1,old,26
1991,QO91,64,2,new,182
1991,QO91,64,2,old,290
1991,QO91,65,1,new,49
1991,QO91,65,1,old,39
1991,QO91,65,2,new,207
1991,QO91,65,2,old,377
1991,QO91,66,1,new,40
1991,QO91,66,1,old,28
1991,QO91,66,2,new,163
1991,QO91,66,2,old,300
1991,QO91,67,1,new,59
1991,QO91,67,1,old,31
1991,QO91,67,2,new,175
1991,QO91,67,2,old,292
1991,QO91,68,1,new,102
1991,QO91,68,1,old,69
1991,QO91,68,2,new,127
1991,QO91,68,2,old,271
1991,QO91,69,1,new,102
1991,QO91,69,1,old,49
1991,QO91,69,2,new,99
1991,QO91,69,2,old,212
1991,QO91,70,1,new,126
1991,QO91,70,1,old,80
1991,QO91,70,2,new,79
1991,QO91,70,2,old,215
1991,QO91,71,1,new,179
1991,QO91,71,1,old,99
1991,QO91,71,2,new,75
1991,QO91,71,2,old,171
1991,QO91,72,1,new,224
1991,QO91,72,1,old,111
1991,QO91,72,2,new,38
1991,QO91,72,2,old,140
1991,QO91,73,1,new,192
1991,QO91,73,1,old,84
1991,QO91,73,2,new,44
1991,QO91,73,2,old,91
1991,QO91,74,1,new,257
1991,QO91,74,1,old,106
1991,QO91,74,2,new,25
1991,QO91,74,2,old,83
1991,QO91,75,1,new,326
1991,QO91,75,1,old,149
1991,QO91,75,2,new,19
1991,QO91,75,2,old,66
1991,QO91,76,1,new,327
1991,QO91,76,1,old,147
1991,QO91,76,2,new,10
1991,QO91,76,2,old,37
1991,QO91,77,1,new,306
1991,QO91,77,1,old,159
1991,QO91,77,2,new,14
1991,QO91,77,2,old,32
1991,QO91,78,1,new,421
1991,QO91,78,1,old,193
1991,QO91,78,2,new,8
1991,QO91,78,2,old,21
1991,QO91,79,1,new,354
1991,QO91,79,1,old,136
1991,QO91,79,2,new,3
1991,QO91,79,2,old,11
1991,QO91,80,1,new,414
1991,QO91,80,1,old,192
1991,QO91,80,2,new,8
1991,QO91,80,2,old,11
1991,QO91,81,1,new,460
1991,QO91,81,1,old,158
1991,QO91,81,2,new,5
1991,QO91,81,2,old,10
1991,QO91,82,1,new,544
1991,QO91,82,1,old,197
1991,QO91,82,2,new,2
1991,QO91,82,2,old,7
1991,QO91,83,1,new,621
1991,QO91,83,1,old,217
1991,QO91,83,2,new,1
1991,QO91,83,2,old,5
1991,QO91,84,1,new,664
1991,QO91,84,1,old,164
1991,QO91,84,2,new,2
1991,QO91,84,2,old,4
1991,QO91,85,1,new,900
1991,QO91,85,1,old,218
1991,QO91,85,2,new,1
1991,QO91,85,2,old,4
1991,QO91,86,1,new,968
1991,QO91,86,1,old,174
1991,QO91,86,2,new,1
1991,QO91,86,2,old,2
1991,QO91,87,1,new,1186
1991,QO91,87,1,old,182
1991,QO91,87,2,new,1
1991,QO91,87,2,old,5
1991,QO91,88,1,new,1469
1991,QO91,88,1,old,232
1991,QO91,88,2,old,4
1991,QO91,89,1,new,1657
1991,QO91,89,1,old,207
1991,QO91,89,2,new,1
1991,QO91,90,1,new,2204
1991,QO91,90,1,old,266
1991,QO91,90,2,new,1
1991,QO91,90,2,old,4
1991,QO91,91,1,new,2488
1991,QO91,91,1,old,264
1991,QO91,91,2,new,1
1991,QO91,92,1,new,2939
1991,QO91,92,1,old,295
1991,QO91,92,2,old,3
1991,QO91,93,1,new,3123
1991,QO91,93,1,old,299
1991,QO91,93,2,old,1
1991,QO91,94,1,new,3494
1991,QO91,94,1,old,274
1991,QO91,94,2,old,4
1991,QO91,95,1,new,4399
1991,QO91,95,1,old,404
1991,QO91,95,2,new,1
1991,QO91,95,2,old,1
1991,QO91,96,1,new,4323
1991,QO91,96,1,old,373
1991,QO91,96,2,new,1
1991,QO91,96,2,old,3
1991,QO91,97,1,new,4798
1991,QO91,97,1,old,327
1991,QO91,98,1,new,4865
1991,QO91,98,1,old,372
1991,QO91,98,2,old,2
1991,QO91,99,1,new,4846
1991,QO91,99,1,old,316
1991,QO91,99,2,old,1
1991,QO91,100,1,new,6339
1991,QO91,100,1,old,420
1991,QO91,101,1,new,5474
1991,QO91,101,1,old,332
1991,QO91,101,2,old,2
1991,QO91,102,1,new,5921
1991,QO91,102,1,old,337
1991,QO91,103,1,new,6145
1991,QO91,103,1,old,375
1991,QO91,104,1,new,5375
1991,QO91,104,1,old,314
1991,QO91,105,1,new,5846
1991,QO91,105,1,old,363
1991,QO91,106,1,new,5248
1991,QO91,106,1,old,322
1991,QO91,107,1,new,4717
1991,QO91,107,1,old,297
1991,QO91,108,1,new,4491
1991,QO91,108,1,old,249
1991,QO91,109,1,new,4304
1991,QO91,109,1,old,239
1991,QO91,109,2,new,1
1991,QO91,110,1,new,4839
1991,QO91,110,1,old,285
1991,QO91,111,1,new,3828
1991,QO91,111,1,old,181
1991,QO91,112,1,new,4391
1991,QO91,112,1,old,186
1991,QO91,113,1,new,3875
1991,QO91,113,1,old,198
1991,QO91,114,1,new,3391
1991,QO91,114,1,old,190
1991,QO91,115,1,new,3452
1991,QO91,115,1,old,169
1991,QO91,116,1,new,2948
1991,QO91,116,1,old,158
1991,QO91,117,1,new,2631
1991,QO91,117,1,old,134
1991,QO91,118,1,new,2423
1991,QO91,118,1,old,123
1991,QO91,119,1,new,1967
1991,QO91,119,1,old,103
1991,QO91,120,1,new,2040
1991,QO91,120,1,old,87
1991,QO91,121,1,new,1533
1991,QO91,121,1,old,78
1991,QO91,122,1,new,1390
1991,QO91,122,1,old,72
1991,QO91,123,1,new,1024
1991,QO91,123,1,old,56
1991,QO91,124,1,new,799
1991,QO91,124,1,old,37
1991,QO91,125,1,new,750
1991,QO91,125,1,old,38
1991,QO91,126,1,new,555
1991,QO91,126,1,old,27
1991,QO91,127,1,new,436
1991,QO91,127,1,old,34
1991,QO91,128,1,new,318
1991,QO91,128,1,old,9
1991,QO91,129,1,new,269
1991,QO91,129,1,old,16
1991,QO91,130,1,new,220
1991,QO91,130,1,old,12
1991,QO91,131,1,new,139
1991,QO91,131,1,old,6
1991,QO91,132,1,new,83
1991,QO91,132,1,old,4
1991,QO91,133,1,new,55
1991,QO91,133,1,old,3
1991,QO91,134,1,new,40
1991,QO91,135,1,new,47
1991,QO91,135,1,old,1
1991,QO91,136,1,new,17
1991,QO91,136,1,old,3
1991,QO91,137,1,new,20
1991,QO91,138,1,new,15
1991,QO91,139,1,new,12
1991,QO91,140,1,new,9
1991,QO91,141,1,new,6
1991,QO91,142,1,new,12
1991,QO91,143,1,new,8
1991,QO91,144,1,new,8
1991,QO91,145,1,new,5
1991,QO91,146,1,new,2
1991,QO91,148,1,new,2
1991,QO91,149,1,new,4
1991,QO91,150,1,new,4
1991,QO91,152,1,new,3
1991,QO91,155,1,new,2
1991,QO91,156,1,new,1
1991,QO91,157,1,new,1
1991,QO91,160,1,new,2
1991,QO91,164,1,new,1
1991,QO91,165,1,new,1
1991,QO91,166,1,new,1
1991,QO91,170,1,new,1
1991,QO91,173,1,new,4
1991,QO91,175,1,new,1
1991,QO91,177,1,new,1
1991,QO91,182,1,new,1
1991,QO91,189,1,new,1
1991,QO91,190,1,new,1
1991,QO91,191,1,new,1
1991,QO91,196,1,new,1
1991,QO91,198,1,new,1
1991,QO91,199,1,new,1
1991,QO91,632,2,new,1
1992,QO92,10,1,new,2
1992,QO92,11,1,new,1
1992,QO92,13,1,new,1
1992,QO92,21,1,new,1
1992,QO92,25,1,new,1
1992,QO92,29,1,new,1
1992,QO92,36,1,new,1
1992,QO92,37,2,old,1
1992,QO92,40,1,new,1
1992,QO92,42,2,old,1
1992,QO92,43,2,old,1
1992,QO92,45,1,new,1
