Premolt,Sex,Molt Inc,CV
19.2,1,7.4,0.03
19.8,1,6.7,0.03
20,1,6.3,0.03
20,1,6.3,0.03
20.1,1,7.9,0.03
20.3,1,6.1,0.03
20.6,1,8.3,0.03
20.7,1,7,0.03
20.7,1,8.5,0.03
21,1,6.8,0.03
21.23,1,5.18,0.03
21.9,1,6.5,0.03
22.2,1,5.9,0.03
23.48,1,4.79,0.03
24,1,8.3,0.03
25.2,1,7.6,0.03
25.6,1,5.8,0.03
25.9,1,5.2,0.03
26,1,6.2,0.03
29.9,1,10,0.03
30.3,1,10,0.03
30.7,1,9.8,0.03
44.2,1,14.5,0.03
44.7,1,12.6,0.03
56.5,1,13.5,0.03
57,1,13,0.03
57.63,1,10.97,0.03
58.7,1,13.8,0.03
59.3,1,15.8,0.03
60.3,1,14.8,0.03
60.8,1,17.6,0.03
62.3,1,19.5,0.03
64,1,20.7,0.03
64.7,1,18,0.03
67.6,1,18.4,0.03
67.9,1,17.4,0.03
74.5,1,19.4,0.03
79.9,1,17.9,0.03
89.8,1,20.2,0.03
89.9,1,22.2,0.03
89.9,1,22.4,0.03
93.8,1,23.8,0.03
18.6,2,6.6,0.03
19.3,2,5.9,0.03
19.37,2,4.87,0.03
19.8,2,7.1,0.03
20.2,2,4.7,0.03
20.3,2,5.9,0.03
20.4,2,6,0.03
20.4,2,6.3,0.03
20.6,2,4.5,0.03
20.7,2,6.3,0.03
20.7,2,6.7,0.03
20.8,2,6.5,0.03
20.8,2,6.5,0.03
20.8,2,6.8,0.03
21.25,2,7.48,0.03
21.4,2,6.6,0.03
21.6,2,6.1,0.03
21.94,2,6.77,0.03
22,2,6.2,0.03
22.2,2,7.5,0.03
22.3,2,7.1,0.03
22.8,2,6.8,0.03
22.8,2,7.4,0.03
22.9,2,5.7,0.03
23,2,8.2,0.03
23.09,2,6.17,0.03
24.2,2,6.7,0.03
24.2,2,7.2,0.03
24.4,2,6.3,0.03
25.2,2,6.8,0.03
25.4,2,6.3,0.03
25.5,2,9.1,0.03
25.5,2,7.4,0.03
25.7,2,6.8,0.03
25.9,2,6.8,0.03
26,2,7.1,0.03
26.2,2,6.4,0.03
26.4,2,5.4,0.03
26.5,2,7.4,0.03
26.9,2,7.5,0.03
26.9,2,7.6,0.03
27.4,2,7.7,0.03
27.5,2,7.3,0.03
28.1,2,6.4,0.03
28.2,2,8.02,0.03
28.2,2,7.6,0.03
28.7,2,8.4,0.03
28.7,2,7.3,0.03
29,2,7.7,0.03
29.1,2,9.3,0.03
29.4,2,7.3,0.03
29.5,2,8.9,0.03
30.9,2,7.5,0.03
32.8,2,12.1,0.03
34.9,2,9.9,0.03
35.3,2,12.3,0.03
38.3,2,12.6,0.03
38.9,2,14.1,0.03
41,2,14.8,0.03
42.1,2,12.5,0.03
44.2,2,15.3,0.03
44.3,2,15,0.03
44.8,2,14.9,0.03
45.2,2,14.4,0.03
46.9,2,13.5,0.03
47,2,14.4,0.03
47.9,2,13.5,0.03
57.63,1,10.97,0.03
25.6,1,5.8,0.03
29.4,2,7.3,0.03
64,1,20.7,0.03
24.2,2,6.7,0.03
20.3,2,5.9,0.03
21,1,6.8,0.03
20.2,2,4.7,0.03
26.2,2,6.4,0.03
19.8,2,7.1,0.03
34.9,2,9.9,0.03
20.8,2,6.5,0.03
28.1,2,6.4,0.03
20.4,2,6.3,0.03
25.5,2,9.1,0.03
18.6,2,6.6,0.03
20.7,2,6.3,0.03
25.2,2,6.8,0.03
16.1,1,6.9,0.03
29,2,7.7,0.03
21.6,2,6.1,0.03
22.2,2,7.5,0.03
29.1,2,9.3,0.03
20.3,1,6.1,0.03
22.8,2,7.4,0.03
24,1,8.3,0.03
25.2,1,7.6,0.03
22.3,2,7.1,0.03
25.4,2,6.3,0.03
23,2,8.2,0.03
22.8,2,6.8,0.03
28.7,2,8.4,0.03
20.7,1,8.5,0.03
30.9,2,7.5,0.03
19.3,2,5.9,0.03
20.7,1,7,0.03
20.1,1,7.9,0.03
20.6,1,8.3,0.03
28.7,2,7.3,0.03
26.4,2,5.4,0.03
25.9,1,5.2,0.03
25.5,2,7.4,0.03
28.2,2,8.02,0.03
25.9,2,6.8,0.03
28.2,2,7.6,0.03
27.9,1,8.9,0.03
29.2,2,9.3,0.03
20.1,1,16,0.03
25,2,6.1,0.03
26.4,2,6.2,0.03
28.2,2,7.6,0.03
24.5,1,6.7,0.03
25.3,2,8.2,0.03
26.6,2,8.3,0.03
26.1,2,7.1,0.03
26.7,1,8.1,0.03
25.7,2,7.6,0.03
28.5,2,7.9,0.03
28.4,2,6.5,0.03
29.7,1,7.3,0.03
28.1,2,6.5,0.03
28.9,2,7,0.03
27.4,1,7.4,0.03
25.8,2,7.8,0.03
26.4,2,7.3,0.03
26,2,6.8,0.03
27,2,7.7,0.03
26.7,2,5,0.03
26.3,1,7.3,0.03
27.5,2,6.5,0.03
26.5,2,7.2,0.03
29.3,2,6.1,0.03
26,2,6.2,0.03
30.6,2,5.8,0.03
25.9,2,5.7,0.03
27.4,2,7.1,0.03
27.1,2,5.93,0.03
26.5,1,6.7,0.03
25.8,2,6.3,0.03
27.2,2,7.2,0.03
27.4,2,6.8,0.03
25.1,2,7.1,0.03
