crab_year,fishery,retained_n,retained_wt
1974,,,3040
1975,,,2280
1976,,,3740
1977,,,4560
1978,,,7390
1979,,,23720
1980,,,34040
1981,,,30370
1982,,,13320
1983,,,11850
1984,,,12170
1985,,,29950
1986,,,44460
1987,,,46240
1988,,,61410
1989,,,67810
1990,QO90,128859645,73326.05206
1991,QO91,265124637,149072.1803
1992,QO92,227376582,143018.4802
1993,QO93,169531168,104668.2341
1994,QO94,114810186,67944.77854
1995,QO95,60591399,34159.64475
1996,QO96,52892320,29799.2585
1997,QO97,100003933,54239.42142
1998,QO98,186631669,110439.9093
1999,QO99,151166452,88151.463
2000,QO00,25081681,15100.68731
2001,QO01,18612605,11456.09373
2002,QO02,25149121,14798.61592
2003,QO03,23248722,12842.01687
2004,QO04,18669591,10860.06885
2005,QO05,24551986,16771.06071
2006,QO06,29620451,16490.50087
2007,QO07,50327593,28589.01291
2008,QO08,45945093,26556.83592
2009,QO09,35289023,21778.80643
2010,QO10,37756179,24611.84091
2011,QO11,60555105,40292.8731
2012,QO12,47455883,30052.52386
2013,QO13,41926542,24486.38666
2014,QO14,55029808,30817.76012
2015,QO15,29614529,18421.02701
2016,QO16,16412386,9784.394477
2017,QO17,15695007,8601.679645
2018,QO18,22470884,12509.27085
2019,QO19,28626114,15433.26504
2020,QO20,37492237,20412.17977
2021,QO21,4594948,2516.636371
2022,QO22,0,0
2023,QO23,0,0
