Quantity,Value,Stock,Year,SMBKC,PIGKC,PIRKC,PIBKC,Tanner_east,Tanner_west,Tanner_total,Snow,AIGKC_east,AIGKC_west,AIGKC_total,NSRKC
OFL,,BBRKC,2024,,,,,,,,"19,600.00",,,,
ABC,,BBRKC,2024,,,,,,,,"6,860.00",,,,
total TAC,,BBRKC,2024,,,,,,,,2140,,,,
IFQ,,BBRKC,2024,,,,,,,,,,,,
CDQ,,BBRKC,2024,,,,,,,,,,,,
harvest,,BBRKC,2024,,,,,,,,,,,,
OFL,"4,420.00",BBRKC,2023,,114,685,1.16,"36,200.00",,"36,200.00","15,440.00","4,182.00",,"4,182.00",310
ABC,"3,540.00",BBRKC,2023,,85,514,0.87,"28,960.00",,"28,960.00","7,720.00","3,137.00",,"3,137.00",220
total TAC,975.2,BBRKC,2023,0,59,0,0,344.7,598.7,943.4,0,"1,687.40",821,"2,508.40",178
IFQ,877.7,BBRKC,2023,,NA,,,310.3,538.9,849.2,,"1,518.60",738.9,"2,257.50",164.7
CDQ,97.5,BBRKC,2023,,NA,,,34.5,59.9,94.4,,168.7,82.1,250.8,13.4
harvest,NA,BBRKC,2023,,NA,,,NA,NA,NA,,NA,NA,#VALUE!,193.4
OFL,"3,040.00",BBRKC,2022,66,93,685,1.16,"32,810.00",,"32,810.00","10,300.00","3,761.00",,"3,761.00",300
ABC,"2,430.00",BBRKC,2022,50,70,514,0.87,"26,250.00",,"26,250.00","7,700.00","2,821.00",,"2,821.00",180
total TAC,0,BBRKC,2022,0,59,0,0,527.5,385.6,913.1,0,"1,505.90",784.7,"2,290.60",154.9
IFQ,,BBRKC,2022,,NA,,,474.8,347,821.8,,"1,355.30",706.2,"2,061.50",143.3
CDQ,,BBRKC,2022,,NA,,,52.8,38.6,91.4,,150.6,78.5,229.1,11.6
harvest,,BBRKC,2022,,19,,,528.4,384.9,913.3,,"1,506.40",784.4,"2,290.80",147.4
OFL,"2,230.00",BBRKC,2021,50,93,860,1.16,"27,170.00",,"27,170.00","7,500.00","4,817.00",,"4,817.00",290
ABC,"1,780.00",BBRKC,2021,40,70,650,0.87,"21,740.00",,"21,740.00","5,600.00","3,372.00",,"3,372.00",170
total TAC,0,BBRKC,2021,0,59,0,0,0,499,499,"2,540.10","1,637.50","1,052.30","2,689.80",142.6
IFQ,,BBRKC,2021,,NA,,,,449.1,449.1,"2,286.10","1,473.70",947.1,"2,420.80",131.9
CDQ,,BBRKC,2021,,NA,,,,49.9,49.9,254,163.7,105.2,268.9,10.7
harvest,,BBRKC,2021,,15.5,,,,494.3,494.3,"2,516.60","1,639.60",992.9,"2,632.50",0.4
OFL,"2,140.00",BBRKC,2020,50,93,864,1.16,"21,130.00",,"21,130.00","95,400.00","4,798.00",,"4,798.00",130
ABC,"1,610.00",BBRKC,2020,40,70,648,0.87,"16,900.00",,"16,900.00","71,550.00","3,599.00",,"3,599.00",90
total TAC,"1,201.10",BBRKC,2020,0,59,0,0,0,"1,065.00","1,065.00","20,411.70","1,655.60","1,342.60","2,998.20",77.2
IFQ,"1,081.00",BBRKC,2020,,NA,,,,958.5,958.5,"18,370.50","1,490.10","1,208.40","2,698.50",71.4
