Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
1982,111.9,121.3,122.8,272.8,124.6,118.2,125.3,121.3,125.6,90.21
1983,166.5,136.3,134,258,134.9,117,133.5,129.7,132.1,135.8
1984,212.9,164.6,159.6,256.3,139.3,117.1,139,137.9,139,154.6
1985,227.2,182.1,176.4,242,128.3,112.9,130,132.3,133,142.5
1986,221.9,195.8,189.6,220.5,113.9,107.3,113.7,117.1,116.8,121.3
1987,223,226.5,224.7,213,120.1,115.5,113.3,117.3,111,118.2
1988,242.6,267.1,274.6,227.2,205.5,141.6,210.7,200.6,189,133.6
1989,282.3,279.6,314.8,337.6,248,362,255.1,241,218.3,213.7
1990,292.4,292,345.5,368.1,300,427.6,318.3,305.6,282.9,277.4
1991,295.8,295.5,284.4,333.9,275.9,385.3,299.2,287.4,268.5,261.2
1992,264.7,271.8,244.3,267.2,229.5,293.6,249.7,240.6,224.9,221.4
1993,198.3,227.5,204.9,206.4,191.9,210.5,210.8,205.5,192.8,191
1994,153,189.6,207.7,187.4,159.6,183.1,181.2,173.9,164.8,167.5
1995,168.6,206.7,220.6,211.5,176.3,210.1,202.5,189.8,182.1,188.9
1996,207.4,243.9,286.2,267.3,252.1,284.7,282.2,269.2,256.4,257.9
1997,227.6,264.1,305.7,294.6,304.7,327.7,333.7,326,306.8,299.5
1998,205,239.1,250.3,243.8,228.4,257,247.2,241.7,232.2,232.7
1999,118.5,165.4,175.2,170.3,139.2,154.9,151.3,148.8,148.8,153.8
2000,96,130.8,141.9,137.4,111.5,118.1,118.8,119.2,120.4,124.5
2001,77.66,104.4,114.7,116.3,97.31,95.25,99.58,100.6,101.9,106.2
2002,66.54,88.06,100.5,110,96.3,90.71,94.02,94.79,95.1,98.9
2003,70.87,87.33,97.85,115.6,105.6,100.1,99.23,100.9,99.66,101.4
2004,86.81,96.58,93.6,114,110.2,99.28,99.56,102.2,100.5,100.6
2005,94.57,95.66,98.93,112.8,111.8,97.93,96.6,98.39,96.07,96.69
2006,102.5,106.9,103.7,125,124.6,111.8,103.3,102.9,97.77,100.2
2007,122.8,136.3,132.1,153.7,156.5,146.8,129.5,127.1,116.4,119.8
2008,136.4,159.1,150.9,170.2,180.4,169.7,151.6,148.3,135.9,139.3
2009,128.4,154.6,170.3,169.3,193.2,182.1,162.5,159.2,147,147.2
2010,180.9,201.1,160.9,154.1,187.2,174.2,156.6,153.8,141.4,139.5
2011,141.1,159.5,170.1,128.4,155.4,144.5,132.2,131.2,122.8,120.5
2012,108.3,121.4,124.2,97,112.5,102.5,95.54,94.29,91.39,91.33
2013,100.6,117.7,110.9,85.07,93.28,89.51,80.82,80.31,84.19,83.07
2014,90.96,107.5,110.6,80.97,84.76,82.62,74.81,77.83,90.83,85.87
2015,74.81,91.53,85.47,68.9,66.1,58.02,55.14,63.68,86.02,80.25
2016,64.29,82.83,77.73,70.59,59.5,44.36,46.91,62.65,89.96,87.25
2017,97.39,127.8,93.34,102.1,80.39,61.66,62.69,86.73,110.2,
2018,167.2,203.5,160.6,173.6,144.9,127.4,109.1,139.4,,
2019,146.1,142.2,162.6,170.4,136.4,251.9,195.3,,,
2020,0,100.5,76.12,25.4,40.95,486.5,,,,
2021,71.98,69.05,51.1,28.88,49.95,,,,,
2022,58.36,52.27,41.39,41.05,,,,,,
2023,50.28,44.77,31.9,,,,,,,
2024,57.05,49.98,,,,,,,,
2025,87.09,,,,,,,,,
