"","YEAR","SPECIES","REGION","DISTRICT","SIZE_5MM","PROP_MATURE","PROP_MATURE_SD","PROP_MATURE_LOGIT","PROP_MATURE_LOGIT_SD","NUM_MATURE","NUM_IMMATURE","TOTAL_CRAB","INTERPOLATED"
"1",1989,"SNOW","EBS","ALL",17.5,0,0,-13.8155095579638,0,0,3,3,"N"
"2",1989,"SNOW","EBS","ALL",22.5,0,0,-13.8155095579638,0,0,25,25,"N"
"3",1989,"SNOW","EBS","ALL",27.5,0,0,-13.8155095579638,0,0,43.9067,43.9067,"N"
"4",1989,"SNOW","EBS","ALL",32.5,0,0,-13.8155095579638,0,0,330.915,330.915,"N"
"5",1989,"SNOW","EBS","ALL",37.5,0.0144680504160563,0.00528906647774447,-4.28395168942215,0.35951463240779,34.5463478058459,2353.22165219415,2387.768,"N"
"6",1989,"SNOW","EBS","ALL",42.5,0.0328308766944395,0.00783557974403171,-3.41141262017207,0.248185998048323,288.98680897533,8513.30049102467,8802.2873,"N"
"7",1989,"SNOW","EBS","ALL",47.5,0.0598995974697357,0.013182495938081,-2.77664907840385,0.229471120986438,553.139268808225,8681.30123119178,9234.4405,"N"
"8",1989,"SNOW","EBS","ALL",52.5,0.134557710536399,0.0253660325879905,-1.87800041629195,0.213876374587787,1194.1909616709,7680.7442383291,8874.9352,"N"
"9",1989,"SNOW","EBS","ALL",57.5,0.230799228394494,0.0328985923337769,-1.21283908643389,0.183892965194053,2068.60411614489,6894.18198385511,8962.7861,"N"
"10",1989,"SNOW","EBS","ALL",62.5,0.291191237101154,0.035566967464428,-0.895751268586498,0.172417963141288,2667.48341819997,6493.10618180003,9160.5896,"N"
"11",1989,"SNOW","EBS","ALL",67.5,0.317477868889585,0.0350229102083251,-0.770182539295577,0.162469482605816,3436.19517277659,7387.22122722341,10823.4164,"N"
"12",1989,"SNOW","EBS","ALL",72.5,0.354301816647642,0.0329323445360627,-0.603171765775089,0.144123995658695,3832.23941618987,6984.07378381013,10816.3132,"N"
"13",1989,"SNOW","EBS","ALL",77.5,0.382102130440524,0.0305367125615559,-0.482548873379331,0.129208483628198,3112.32070225921,5032.93799774079,8145.2587,"N"
"14",1989,"SNOW","EBS","ALL",82.5,0.378621257477769,0.0273199196418215,-0.496996542371394,0.115960396513945,2338.09818536893,3837.19741463107,6175.2956,"N"
"15",1989,"SNOW","EBS","ALL",87.5,0.373911099275715,0.0288751657309343,-0.517386077974937,0.123626442120129,1713.7106588893,2869.4928411107,4583.2035,"N"
"16",1989,"SNOW","EBS","ALL",92.5,0.428022336689907,0.0297997390038315,-0.291004863268568,0.122266250232421,1552.20173129581,2074.24856870419,3626.4503,"N"
"17",1989,"SNOW","EBS","ALL",97.5,0.561073351573488,0.0325303783051454,0.246588380495017,0.132690726914893,1592.75320469344,1246.00789530656,2838.7611,"N"
"18",1989,"SNOW","EBS","ALL",102.5,0.711979365578291,0.0285545336050099,0.909131972337455,0.139648788544951,1381.35303154514,558.805768454861,1940.1588,"N"
"19",1989,"SNOW","EBS","ALL",107.5,0.871162475447511,0.0183267708853158,1.92095505062025,0.161508490555296,1212.88336132284,179.375138677162,1392.2585,"N"
"20",1989,"SNOW","EBS","ALL",112.5,0.921108505988997,0.0148885692608574,2.47468562148473,0.201878438418289,750.145148515553,64.2487514844474,814.3939,"N"
"21",1989,"SNOW","EBS","ALL",117.5,0.937184086476854,0.0123008618066974,2.72151176680654,0.208072268567914,541.040684169886,36.2639158301142,577.3046,"N"
"22",1989,"SNOW","EBS","ALL",122.5,0.960363106860755,0.0101972110643532,3.21919465273198,0.261801079139539,378.206165218854,15.6096347811461,393.8158,"N"
"23",1989,"SNOW","EBS","ALL",127.5,0.981330165851906,0.00710678980903674,4.02434184606877,0.354154428270754,147.322779946617,2.8028200533831,150.1256,"N"
"24",1989,"SNOW","EBS","ALL",132.5,0.99251670793601,0.00381800615509717,5.07585536744695,0.600274645874792,49.6435021942017,0.374297805798264,50.0178,"N"
"25",1989,"SNOW","EBS","ALL",137.5,1,0,13.815509557935,0,26.1435,0,26.1435,"N"
"26",1989,"SNOW","EBS","ALL",142.5,1,0,13.815509557935,0,2.1027,0,2.1027,"N"
"27",1990,"SNOW","EBS","ALL",7.5,0,0,-13.8155095579638,0,0,73.8583,73.8583,"N"
"28",1990,"SNOW","EBS","ALL",12.5,0,0,-13.8155095579638,0,0,19.0185,19.0185,"N"
"29",1990,"SNOW","EBS","ALL",17.5,0,0,-13.8155095579638,0,0,11.037,11.037,"N"
