"SPECIES","SIZE_BIN","MEDIAN","EXPANSION"
"SNOW",5,0,"updated_sf"
"SNOW",15,0,"updated_sf"
"SNOW",25,0,"updated_sf"
"SNOW",35,0,"updated_sf"
"SNOW",45,0.018615072832105,"updated_sf"
"SNOW",55,0.12606192876394,"updated_sf"
"SNOW",65,0.241361137570807,"updated_sf"
"SNOW",75,0.39020113672962,"updated_sf"
"SNOW",85,0.415245602750051,"updated_sf"
"SNOW",95,0.560975609756098,"updated_sf"
"SNOW",105,0.87834609276377,"updated_sf"
"SNOW",115,0.948060389305068,"updated_sf"
"SNOW",125,1,"updated_sf"
"SNOW",135,1,"updated_sf"
"SNOW",145,1,"updated_sf"
"SNOW",155,1,"updated_sf"
"SNOW",165,1,"updated_sf"
"SNOW",175,1,"updated_sf"
"SNOW",185,1,"updated_sf"
"SNOW",195,1,"updated_sf"
"TANNER",5,0,"updated_sf"
"TANNER",15,0,"updated_sf"
"TANNER",25,0,"updated_sf"
"TANNER",35,0,"updated_sf"
"TANNER",45,0,"updated_sf"
"TANNER",55,0,"updated_sf"
"TANNER",65,0.0258722513858543,"updated_sf"
"TANNER",75,0.0687769158929297,"updated_sf"
"TANNER",85,0.205403153256333,"updated_sf"
"TANNER",95,0.392184688764097,"updated_sf"
"TANNER",105,0.472067614924758,"updated_sf"
"TANNER",115,0.735921634027863,"updated_sf"
"TANNER",125,0.864885294623695,"updated_sf"
"TANNER",135,0.966804843974484,"updated_sf"
"TANNER",145,1,"updated_sf"
"TANNER",155,1,"updated_sf"
"TANNER",165,1,"updated_sf"
"TANNER",175,1,"updated_sf"
"TANNER",185,1,"updated_sf"
"TANNER",195,1,"updated_sf"
"SNOW",5,0,"updated_cpue"
"SNOW",15,0,"updated_cpue"
"SNOW",25,0,"updated_cpue"
"SNOW",35,0,"updated_cpue"
"SNOW",45,0.00989753270871615,"updated_cpue"
"SNOW",55,0.0877647495485745,"updated_cpue"
"SNOW",65,0.227693164832145,"updated_cpue"
"SNOW",75,0.317258251493744,"updated_cpue"
"SNOW",85,0.319410058834218,"updated_cpue"
"SNOW",95,0.51464422536772,"updated_cpue"
"SNOW",105,0.861220820455456,"updated_cpue"
"SNOW",115,0.952962565414694,"updated_cpue"
"SNOW",125,1,"updated_cpue"
"SNOW",135,1,"updated_cpue"
"SNOW",145,1,"updated_cpue"
"SNOW",155,1,"updated_cpue"
"SNOW",165,1,"updated_cpue"
"SNOW",175,1,"updated_cpue"
"SNOW",185,1,"updated_cpue"
"SNOW",195,1,"updated_cpue"
"TANNER",5,0,"updated_cpue"
"TANNER",15,0,"updated_cpue"
"TANNER",25,0,"updated_cpue"
"TANNER",35,0,"updated_cpue"
"TANNER",45,0,"updated_cpue"
"TANNER",55,0,"updated_cpue"
"TANNER",65,0.0246347188324962,"updated_cpue"
"TANNER",75,0.0495911286873882,"updated_cpue"
"TANNER",85,0.157065724340203,"updated_cpue"
"TANNER",95,0.309606160468925,"updated_cpue"
"TANNER",105,0.365621719922342,"updated_cpue"
"TANNER",115,0.629668572106572,"updated_cpue"
"TANNER",125,0.850118548128327,"updated_cpue"
"TANNER",135,0.961533862646582,"updated_cpue"
"TANNER",145,1,"updated_cpue"
"TANNER",155,1,"updated_cpue"
"TANNER",165,1,"updated_cpue"
"TANNER",175,1,"updated_cpue"
"TANNER",185,1,"updated_cpue"
"TANNER",195,1,"updated_cpue"
"TANNER",5,0,"legacy"
"TANNER",15,0,"legacy"
"TANNER",25,0,"legacy"
"TANNER",35,0,"legacy"
"TANNER",45,0,"legacy"
"TANNER",55,0,"legacy"
"TANNER",65,0.0287835495,"legacy"
"TANNER",75,0.068776916,"legacy"
"TANNER",85,0.2054031535,"legacy"
"TANNER",95,0.4022168835,"legacy"
"TANNER",105,0.4741709185,"legacy"
"TANNER",115,0.711247037,"legacy"
"TANNER",125,0.87946102,"legacy"
"TANNER",135,0.973950075,"legacy"
"TANNER",145,1,"legacy"
"TANNER",155,1,"legacy"
"TANNER",165,1,"legacy"
"TANNER",175,1,"legacy"
"TANNER",185,1,"legacy"
"TANNER",195,1,"legacy"
"SNOW",5,0,"legacy"
"SNOW",15,0,"legacy"
"SNOW",25,0,"legacy"
"SNOW",35,0,"legacy"
"SNOW",45,0.014553297,"legacy"
"SNOW",55,0.128843245,"legacy"
"SNOW",65,0.267989264,"legacy"
"SNOW",75,0.438143785,"legacy"
"SNOW",85,0.489051251,"legacy"
"SNOW",95,0.590035043,"legacy"
"SNOW",105,0.887412542,"legacy"
"SNOW",115,0.97486837,"legacy"
"SNOW",125,1,"legacy"
"SNOW",135,1,"legacy"
"SNOW",145,1,"legacy"
"SNOW",155,1,"legacy"
"SNOW",165,1,"legacy"
"SNOW",175,1,"legacy"
"SNOW",185,1,"legacy"
"SNOW",195,1,"legacy"
