"","pre","sex","inc","cv"
"1",19.2,1,7.4,0.03
"2",19.8,1,6.7,0.03
"3",20,1,6.3,0.03
"4",20,1,6.3,0.03
"5",20.1,1,7.9,0.03
"6",20.3,1,6.1,0.03
"7",20.6,1,8.3,0.03
"8",20.7,1,7,0.03
"9",20.7,1,8.5,0.03
"10",21,1,6.8,0.03
"11",21.23,1,5.18,0.03
"12",21.9,1,6.5,0.03
"13",22.2,1,5.9,0.03
"14",23.48,1,4.79,0.03
"15",24,1,8.3,0.03
"16",25.2,1,7.6,0.03
"17",25.6,1,5.8,0.03
"18",25.9,1,5.2,0.03
"19",26,1,6.2,0.03
"20",29.9,1,10,0.03
"21",30.3,1,10,0.03
"22",30.7,1,9.8,0.03
"23",44.2,1,14.5,0.03
"24",44.7,1,12.6,0.03
"25",56.5,1,13.5,0.03
"26",57,1,13,0.03
"27",57.63,1,10.97,0.03
"28",58.7,1,13.8,0.03
"29",59.3,1,15.8,0.03
"30",60.3,1,14.8,0.03
"31",60.8,1,17.6,0.03
"32",62.3,1,19.5,0.03
"33",64,1,20.7,0.03
"34",64.7,1,18,0.03
"35",67.6,1,18.4,0.03
"36",67.9,1,17.4,0.03
"37",74.5,1,19.4,0.03
"38",79.9,1,17.9,0.03
"39",89.8,1,20.2,0.03
"40",89.9,1,22.2,0.03
"41",89.9,1,22.4,0.03
"42",93.8,1,23.8,0.03
"43",18.6,2,6.6,0.03
"44",19.3,2,5.9,0.03
"45",19.37,2,4.87,0.03
"46",19.8,2,7.1,0.03
"47",20.2,2,4.7,0.03
"48",20.3,2,5.9,0.03
"49",20.4,2,6,0.03
"50",20.4,2,6.3,0.03
"51",20.6,2,4.5,0.03
"52",20.7,2,6.3,0.03
"53",20.7,2,6.7,0.03
"54",20.8,2,6.5,0.03
"55",20.8,2,6.5,0.03
"56",20.8,2,6.8,0.03
"57",21.25,2,7.48,0.03
"58",21.4,2,6.6,0.03
"59",21.6,2,6.1,0.03
"60",21.94,2,6.77,0.03
"61",22,2,6.2,0.03
"62",22.2,2,7.5,0.03
"63",22.3,2,7.1,0.03
"64",22.8,2,6.8,0.03
"65",22.8,2,7.4,0.03
"66",22.9,2,5.7,0.03
"67",23,2,8.2,0.03
"68",23.09,2,6.17,0.03
"69",24.2,2,6.7,0.03
"70",24.2,2,7.2,0.03
"71",24.4,2,6.3,0.03
"72",25.2,2,6.8,0.03
"73",25.4,2,6.3,0.03
"74",25.5,2,9.1,0.03
"75",25.5,2,7.4,0.03
"76",25.7,2,6.8,0.03
"77",25.9,2,6.8,0.03
"78",26,2,7.1,0.03
"79",26.2,2,6.4,0.03
"80",26.4,2,5.4,0.03
"81",26.5,2,7.4,0.03
"82",26.9,2,7.5,0.03
"83",26.9,2,7.6,0.03
"84",27.4,2,7.7,0.03
"85",27.5,2,7.3,0.03
"86",28.1,2,6.4,0.03
"87",28.2,2,8.02,0.03
"88",28.2,2,7.6,0.03
"89",28.7,2,8.4,0.03
"90",28.7,2,7.3,0.03
"91",29,2,7.7,0.03
"92",29.1,2,9.3,0.03
"93",29.4,2,7.3,0.03
"94",29.5,2,8.9,0.03
"95",30.9,2,7.5,0.03
"96",32.8,2,12.1,0.03
"97",34.9,2,9.9,0.03
"98",35.3,2,12.3,0.03
"99",38.3,2,12.6,0.03
"100",38.9,2,14.1,0.03
"101",41,2,14.8,0.03
"102",42.1,2,12.5,0.03
"103",44.2,2,15.3,0.03
"104",44.3,2,15,0.03
"105",44.8,2,14.9,0.03
"106",45.2,2,14.4,0.03
"107",46.9,2,13.5,0.03
"108",47,2,14.4,0.03
"109",47.9,2,13.5,0.03
"110",57.63,1,10.97,0.03
"210",25.6,1,5.8,0.03
"310",29.4,2,7.3,0.03
"410",64,1,20.7,0.03
"510",24.2,2,6.7,0.03
"610",20.3,2,5.9,0.03
"710",21,1,6.8,0.03
"810",20.2,2,4.7,0.03
"910",26.2,2,6.4,0.03
"1010",19.8,2,7.1,0.03
"111",34.9,2,9.9,0.03
"121",20.8,2,6.5,0.03
"131",28.1,2,6.4,0.03
"141",20.4,2,6.3,0.03
"161",25.5,2,9.1,0.03
"171",18.6,2,6.6,0.03
"181",20.7,2,6.3,0.03
"191",25.2,2,6.8,0.03
"201",16.1,1,6.9,0.03
"211",29,2,7.7,0.03
"221",21.6,2,6.1,0.03
"231",22.2,2,7.5,0.03
"241",29.1,2,9.3,0.03
"251",20.3,1,6.1,0.03
"261",22.8,2,7.4,0.03
"271",24,1,8.3,0.03
"281",25.2,1,7.6,0.03
"291",22.3,2,7.1,0.03
"301",25.4,2,6.3,0.03
"311",23,2,8.2,0.03
"331",22.8,2,6.8,0.03
"341",28.7,2,8.4,0.03
"351",20.7,1,8.5,0.03
"361",30.9,2,7.5,0.03
"371",19.3,2,5.9,0.03
"381",20.7,1,7,0.03
"391",20.1,1,7.9,0.03
"401",20.6,1,8.3,0.03
"411",28.7,2,7.3,0.03
"421",26.4,2,5.4,0.03
"431",25.9,1,5.2,0.03
"441",25.5,2,7.4,0.03
"451",28.2,2,8.02,0.03
"461",25.9,2,6.8,0.03
"471",28.2,2,7.6,0.03
"481",27.9,1,8.9,0.03
"491",29.2,2,9.3,0.03
"501",20.1,1,16,0.03
"511",25,2,6.1,0.03
"521",26.4,2,6.2,0.03
"531",28.2,2,7.6,0.03
"541",24.5,1,6.7,0.03
"551",25.3,2,8.2,0.03
"561",26.6,2,8.3,0.03
"571",26.1,2,7.1,0.03
"581",26.7,1,8.1,0.03
"591",25.7,2,7.6,0.03
"601",28.5,2,7.9,0.03
"611",28.4,2,6.5,0.03
"621",29.7,1,7.3,0.03
"631",28.1,2,6.5,0.03
"641",28.9,2,7,0.03
"651",27.4,1,7.4,0.03
"661",25.8,2,7.8,0.03
"671",26.4,2,7.3,0.03
"681",26,2,6.8,0.03
"691",27,2,7.7,0.03
"701",26.7,2,5,0.03
"711",26.3,1,7.3,0.03
"721",27.5,2,6.5,0.03
"731",26.5,2,7.2,0.03
"741",29.3,2,6.1,0.03
"751",26,2,6.2,0.03
"761",30.6,2,5.8,0.03
"771",25.9,2,5.7,0.03
"781",27.4,2,7.1,0.03
"791",27.1,2,5.93,0.03
"801",26.5,1,6.7,0.03
"811",25.8,2,6.3,0.03
"821",27.2,2,7.2,0.03
"831",27.4,2,6.8,0.03
"841",25.1,2,7.1,0.03
"851",26.3,2,6.5,0.03
"861",25.9,2,6.7,0.03
"871",28,2,7,0.03
"881",28.5,2,7.5,0.03
"891",27.2,2,7.3,0.03
"901",27.6,1,5.4,0.03
"911",28.9,2,5.9,0.03
"921",29.6,2,6.6,0.03
"931",27.1,2,6.3,0.03
"941",26.2,2,7,0.03
"951",29.2,2,7.6,0.03
"961",28.6,2,6.9,0.03
"971",29.1,1,7,0.03
"981",26.1,1,5.4,0.03
"991",28.6,2,6.8,0.03
"1001",25.7,2,4.2,0.03
"1011",31.8,2,7.8,0.03
"1021",27.1,2,6.2,0.03
"1031",27.1,1,5.5,0.03
"1041",26.7,2,4.5,0.03
"1051",28.1,2,6.3,0.03
"1061",28.7,2,5.8,0.03
"1071",27.1,2,5.6,0.03
"1081",26.9,2,6.2,0.03
"1091",27.6,2,5.3,0.03
"1101",29,2,6.9,0.03
"1111",30.3,2,6.7,0.03
"112",27.2,1,6.1,0.03
"113",28.8,1,6.8,0.03
"114",30,2,6.08,0.03
"115",29.1,2,7.5,0.03
"116",25.4,1,6.4,0.03
"117",29.1,2,2.7,0.03
"118",28.9,2,6.8,0.03
"119",25.5,2,5.72,0.03
"120",25.7,1,7.57,0.03
"1211",30.4,2,6.8,0.03
"122",27.2,2,6.3,0.03
"123",29,1,6.9,0.03
"124",26.3,2,3.9,0.03
"125",29.1,2,4.82,0.03
"126",33.3,2,8.04000000000001,0.03
"127",28.9,1,7.05,0.03
"128",28.5,2,7.63,0.03
"129",29.3,2,6.34,0.03
"130",28.3,2,6.44,0.03
"1311",28.3,2,7.24,0.03
"132",25.8,1,4.9,0.03
"133",26.5,2,6.19,0.03
"134",28.7,2,6.76,0.03
"135",28,2,6.8,0.03
"136",31.7,2,7.35,0.03
"137",27.6,2,5.14,0.03
"138",31,2,6.5,0.03
"139",25.7,1,5.47,0.03
"140",26.7,2,5.7,0.03
"1411",27.7,2,5.81,0.03
"142",30.6,2,6.15,0.03
"143",29.8,2,7.38,0.03
"144",30.9,2,6.6,0.03
"145",29.6,2,5.88,0.03
"146",20.8,2,5.82,0.03
"147",21,2,5.66,0.03
"148",69.05,1,20.67,0.03
"149",67.1,1,16.74,0.03
"150",69.06,1,15.05,0.03
"151",63.37,1,20.62,0.03
"152",64.59,1,19.2,0.03
"153",66.01,1,15.5,0.03
"154",64.21,1,19.03,0.03
