"","YEAR","MIDPOINT","TOTAL","NUM_MATURE","PROP_MATURE","BIN_SIZE"
"1",1989,25,1,0,0,"10mm"
"2",1989,35,23,0,0,"10mm"
"3",1989,45,118,6,0.0508474576271186,"10mm"
"4",1989,55,159,34,0.213836477987421,"10mm"
"5",1989,65,211,66,0.312796208530806,"10mm"
"6",1989,75,344,99,0.287790697674419,"10mm"
"7",1989,85,285,117,0.410526315789474,"10mm"
"8",1989,95,226,143,0.632743362831858,"10mm"
"9",1989,105,191,170,0.890052356020942,"10mm"
"10",1989,115,98,95,0.969387755102041,"10mm"
"11",1989,125,45,44,0.977777777777778,"10mm"
"12",1989,135,8,8,1,"10mm"
"13",1990,5,13,2,0,"10mm"
"14",1990,15,2,0,0,"10mm"
"15",1990,25,6,3,0,"10mm"
"16",1990,35,61,0,0,"10mm"
"17",1990,45,179,2,0.0111731843575419,"10mm"
"18",1990,55,368,38,0.103260869565217,"10mm"
"19",1990,65,423,85,0.200945626477541,"10mm"
"20",1990,75,385,150,0.38961038961039,"10mm"
"21",1990,85,449,162,0.360801781737194,"10mm"
"22",1990,95,401,172,0.428927680798005,"10mm"
"23",1990,105,226,144,0.63716814159292,"10mm"
"24",1990,115,91,83,0.912087912087912,"10mm"
"25",1990,125,49,49,1,"10mm"
"26",1990,135,6,6,1,"10mm"
"27",1991,15,4,0,0,"10mm"
"28",1991,25,11,2,0,"10mm"
"29",1991,35,25,0,0,"10mm"
"30",1991,45,164,1,0.00609756097560976,"10mm"
"31",1991,55,280,23,0.0821428571428571,"10mm"
"32",1991,65,432,88,0.203703703703704,"10mm"
"33",1991,75,362,106,0.292817679558011,"10mm"
"34",1991,85,454,155,0.341409691629956,"10mm"
"35",1991,95,498,221,0.443775100401606,"10mm"
"36",1991,105,325,243,0.747692307692308,"10mm"
"37",1991,115,300,291,0.97,"10mm"
"38",1991,125,153,145,0.947712418300654,"10mm"
"39",1991,135,22,22,1,"10mm"
"40",1992,15,2,0,0,"10mm"
"41",1992,25,26,0,0,"10mm"
"42",1992,35,67,1,0,"10mm"
"43",1992,45,162,5,0.0308641975308642,"10mm"
"44",1992,55,197,44,0.223350253807107,"10mm"
"45",1992,65,299,83,0.277591973244147,"10mm"
"46",1992,75,349,162,0.464183381088825,"10mm"
"47",1992,85,389,182,0.467866323907455,"10mm"
"48",1992,95,382,217,0.568062827225131,"10mm"
"49",1992,105,348,302,0.867816091954023,"10mm"
"50",1992,115,399,387,0.969924812030075,"10mm"
"51",1992,125,142,140,0.985915492957746,"10mm"
"52",1992,135,14,13,1,"10mm"
"53",1993,25,4,1,0,"10mm"
"54",1993,35,42,0,0,"10mm"
"55",1993,45,70,6,0.0857142857142857,"10mm"
"56",1993,55,129,43,0.333333333333333,"10mm"
"57",1993,65,239,119,0.497907949790795,"10mm"
"58",1993,75,301,200,0.664451827242525,"10mm"
"59",1993,85,319,216,0.677115987460815,"10mm"
"60",1993,95,255,191,0.749019607843137,"10mm"
"61",1993,105,217,194,0.894009216589862,"10mm"
"62",1993,115,199,188,0.944723618090452,"10mm"
"63",1993,125,92,90,0.978260869565217,"10mm"
"64",1993,135,11,11,1,"10mm"
"65",1994,15,1,0,0,"10mm"
"66",1994,25,2,1,0,"10mm"
"67",1994,35,27,0,0,"10mm"
"68",1994,45,141,10,0.0709219858156028,"10mm"
"69",1994,55,388,64,0.164948453608247,"10mm"
"70",1994,65,614,158,0.257328990228013,"10mm"
"71",1994,75,519,171,0.329479768786127,"10mm"
"72",1994,85,271,93,0.343173431734317,"10mm"
"73",1994,95,111,43,0.387387387387387,"10mm"
"74",1994,105,72,58,0.805555555555556,"10mm"
"75",1994,115,47,43,0.914893617021277,"10mm"
"76",1994,125,12,12,1,"10mm"
"77",1994,135,1,1,1,"10mm"
"78",1995,45,59,3,0.0508474576271186,"10mm"
"79",1995,55,253,42,0.16600790513834,"10mm"
"80",1995,65,550,123,0.223636363636364,"10mm"
"81",1995,75,554,222,0.40072202166065,"10mm"
"82",1995,85,385,163,0.423376623376623,"10mm"
"83",1995,95,280,172,0.614285714285714,"10mm"
"84",1995,105,136,113,0.830882352941177,"10mm"
"85",1995,115,76,71,0.934210526315789,"10mm"
"86",1995,125,41,39,0.951219512195122,"10mm"
"87",1995,135,5,5,1,"10mm"
"88",1996,35,1,0,0,"10mm"
"89",1996,45,4,0,0,"10mm"
"90",1996,55,89,18,0.202247191011236,"10mm"
"91",1996,65,260,77,0.296153846153846,"10mm"
"92",1996,75,381,165,0.433070866141732,"10mm"
"93",1996,85,405,176,0.434567901234568,"10mm"
"94",1996,95,363,191,0.526170798898072,"10mm"
"95",1996,105,229,203,0.88646288209607,"10mm"
"96",1996,115,85,79,0.929411764705882,"10mm"
"97",1996,125,17,17,1,"10mm"
"98",1996,135,1,1,1,"10mm"
"99",1997,25,2,0,0,"10mm"
"100",1997,35,10,1,0,"10mm"
"101",1997,45,31,1,0.032258064516129,"10mm"
"102",1997,55,134,27,0.201492537313433,"10mm"
"103",1997,65,347,91,0.262247838616715,"10mm"
"104",1997,75,549,166,0.302367941712204,"10mm"
"105",1997,85,571,157,0.274956217162872,"10mm"
"106",1997,95,575,242,0.420869565217391,"10mm"
"107",1997,105,367,275,0.749318801089918,"10mm"
"108",1997,115,173,166,0.959537572254335,"10mm"
"109",1997,125,27,27,1,"10mm"
"110",1997,135,1,1,1,"10mm"
"111",1998,25,7,0,0,"10mm"
"112",1998,35,21,0,0,"10mm"
"113",1998,45,233,6,0.0257510729613734,"10mm"
"114",1998,55,333,44,0.132132132132132,"10mm"
"115",1998,65,351,107,0.304843304843305,"10mm"
"116",1998,75,396,177,0.446969696969697,"10mm"
"117",1998,85,616,256,0.415584415584416,"10mm"
"118",1998,95,901,472,0.523862375138735,"10mm"
"119",1998,105,732,616,0.841530054644809,"10mm"
"120",1998,115,395,378,0.956962025316456,"10mm"
"121",1998,125,106,104,0.981132075471698,"10mm"
"122",1998,135,9,9,1,"10mm"
"123",1999,15,3,0,0,"10mm"
