Season,Stat Week,Stat Area,Processors,Number of Vessels,Whole Weight (sum),Number Of Crab,Effort (sum),CPUE
1990,3,685600,1,1.00,9080.00,6093.00,50.00,121.86
1990,3,685630,2,2.00,152343.00,112637.00,901.00,125.01
1990,3,695631,3,4.00,144215.00,109989.00,1305.00,84.28
1990,3,705701,1,1.00,35366.00,27415.00,400.00,68.54
1990,3,715630,5,6.00,493489.00,365537.00,2784.00,131.30
1990,3,715700,3,4.00,564557.00,454724.00,2550.00,178.32
1990,3,725630,2,2.00,221836.00,170348.00,1015.00,167.83
1990,4,685600,2,2.00,145262.00,83685.00,687.00,121.81
1990,4,685630,5,6.00,407115.00,288853.00,2145.00,134.66
1990,4,685700,1,1.00,31490.00,26242.00,572.00,45.88
1990,4,695600,1,1.00,56460.00,47050.00,450.00,104.56
1990,4,695631,5,6.00,196392.00,159264.00,1882.00,84.62
1990,4,705600,2,2.00,102222.00,74220.00,520.00,142.73
1990,4,705630,4,4.00,579185.00,453376.00,2135.00,212.35
1990,4,705701,1,1.00,54995.00,46644.00,460.00,101.40
1990,4,715630,15,19.00,1865429.00,1407634.00,7615.00,184.85
1990,4,715700,2,4.00,479450.00,385283.00,1717.00,224.39
1990,4,725630,6,5.00,926346.00,751387.00,3337.00,225.17
1990,4,725700,3,3.00,273379.00,212849.00,1169.00,182.08
1990,4,745930,1,1.00,65290.00,51440.00,700.00,73.49
1990,5,625600,1,1.00,13465.00,9974.00,225.00,44.33
1990,5,645600,1,1.00,22481.00,17293.00,1000.00,17.29
1990,5,665600,1,1.00,81974.00,68311.00,360.00,189.75
1990,5,675630,1,1.00,105969.00,66647.00,602.00,110.71
1990,5,685600,1,2.00,98416.00,83929.00,1380.00,60.82
1990,5,685630,7,7.00,321807.00,264477.00,4196.00,63.03
1990,5,695600,1,1.00,37410.00,30415.00,180.00,168.97
1990,5,695631,6,6.00,51579.00,40483.00,1387.00,29.19
1990,5,705600,1,1.00,11095.00,8099.00,700.00,11.57
1990,5,705630,6,7.00,417698.00,314748.00,4688.00,67.14
1990,5,705701,4,4.00,160504.00,108494.00,2223.00,48.81
1990,5,715600,1,1.00,83673.00,54688.00,375.00,145.83
1990,5,715630,11,13.00,1693326.00,1304483.00,7072.00,184.46
1990,5,715700,15,19.00,2257112.00,1724875.00,8604.00,200.47
1990,5,715730,2,2.00,101813.00,73269.00,634.00,115.57
1990,5,725630,3,3.00,270665.00,163333.00,1278.00,127.80
1990,5,725700,5,5.00,613777.00,474982.00,1727.00,275.03
1990,5,725730,3,3.00,225114.00,179742.00,690.00,260.50
1990,6,685630,7,8.00,717750.00,569523.00,3717.00,153.22
1990,6,695631,2,2.00,20195.00,15883.00,940.00,16.90
1990,6,695632,1,1.00,2239.00,1820.00,500.00,3.64
1990,6,695700,1,1.00,29690.00,24742.00,620.00,39.91
1990,6,695730,1,1.00,54472.00,43578.00,301.00,144.78
1990,6,705600,2,2.00,163836.00,136268.00,1175.00,115.97
1990,6,705630,4,4.00,233439.00,173590.00,1044.00,166.27
1990,6,705701,2,2.00,75308.00,58826.00,263.00,223.67
1990,6,705730,1,1.00,132421.00,97377.00,880.00,110.66
1990,6,715600,2,2.00,119151.00,91780.00,1120.00,81.95
1990,6,715630,11,12.00,1230486.00,961869.00,4877.00,197.23
1990,6,715700,11,16.00,1856883.00,1493243.00,8206.00,181.97
1990,6,715730,2,2.00,272624.00,220947.00,1200.00,184.12
1990,6,725630,7,7.00,1069389.00,857409.00,3737.00,229.44
1990,6,725700,8,9.00,689526.00,554440.00,2878.00,192.65
1990,6,725730,1,1.00,151176.00,119036.00,450.00,264.52
1990,6,735700,1,1.00,23078.00,17483.00,150.00,116.55
1990,6,746030,1,1.00,112631.00,87993.00,425.00,207.04
1990,6,786100,1,1.00,54672.00,43578.00,302.00,144.30
1990,7,645630,1,1.00,37635.00,30351.00,630.00,48.18
1990,7,685630,5,5.00,176987.00,152884.00,1727.00,88.53
1990,7,695631,5,5.00,240374.00,183815.00,2307.00,79.68
