"year","window","abundance","immature_abundance"
1982,"45-55 mm",296435967.992724,254040361.853652
1983,"45-55 mm",190144360.967383,162597084.367618
1984,"45-55 mm",264617261.31285,237745763.960973
1985,"45-55 mm",84373633.6404914,74758861.6514023
1986,"45-55 mm",258878671.051335,226263821.068466
1987,"45-55 mm",1019015246.92258,903934512.42389
1988,"45-55 mm",1078509047.4796,945332368.343518
1989,"45-55 mm",670813065.024662,596281693.371166
1990,"45-55 mm",470822318.635995,438331059.374824
1991,"45-55 mm",756128403.404261,698922888.504322
1992,"45-55 mm",864934430.241878,767235142.658901
1993,"45-55 mm",1555335027.06529,1204052217.81407
1994,"45-55 mm",1105209764.51967,1001614064.75287
1995,"45-55 mm",999546445.962744,890157283.581029
1996,"45-55 mm",292389907.265195,239902068.544013
1997,"45-55 mm",118470733.228238,112062674.362009
1998,"45-55 mm",197678750.556829,182536730.034495
1999,"45-55 mm",83073348.1162729,76118015.5918865
2000,"45-55 mm",291423951.849878,265603369.006552
2001,"45-55 mm",215275072.190831,195706990.533039
2002,"45-55 mm",101498738.57646,94990803.2346435
2003,"45-55 mm",335713886.842028,319388093.401447
2004,"45-55 mm",335081304.198353,305688746.548307
2005,"45-55 mm",485796188.761547,400345047.261808
2006,"45-55 mm",173977621.529452,151776333.326881
2007,"45-55 mm",390133741.157709,342986470.682486
2008,"45-55 mm",115047452.891181,99012183.5492435
2009,"45-55 mm",234851802.438859,207812332.287267
2010,"45-55 mm",1085380455.69982,938788767.360523
2011,"45-55 mm",475977976.543867,411522079.607327
2012,"45-55 mm",252524600.238098,214038264.452052
2013,"45-55 mm",261399772.660072,234005466.148263
2014,"45-55 mm",400288977.154233,341117380.77344
2015,"45-55 mm",226682234.745452,205711994.937163
2016,"45-55 mm",623626199.653923,540245874.767059
2017,"45-55 mm",1098209750.82628,954867855.331399
2018,"45-55 mm",2362155787.57176,1939283215.06362
2019,"45-55 mm",318018391.443213,253164551.607366
2021,"45-55 mm",11128667.4899134,8496538.27070804
2022,"45-55 mm",185253558.960909,173724295.456683
2023,"45-55 mm",165768358.863342,140452000.303632
2024,"45-55 mm",810080599.793926,722875228.028103
2025,"45-55 mm",760567444.370452,661323768.056603
2026,"45-55 mm",349743800.559613,310361402.575348
1982,"56-75 mm",928797461.572742,632241478.123565
1983,"56-75 mm",622431016.364685,426115117.904084
1984,"56-75 mm",269839700.851774,182670521.147749
1985,"56-75 mm",107364928.146002,74108477.1311644
1986,"56-75 mm",316534829.989745,220388932.424148
1987,"56-75 mm",1030799179.08546,726770459.101046
1988,"56-75 mm",1359816284.26427,948907723.222513
1989,"56-75 mm",1386257975.8138,959134065.141567
1990,"56-75 mm",819371249.581729,635275623.052385
1991,"56-75 mm",974317959.724191,778708806.978661
1992,"56-75 mm",479959858.798582,329607269.474145
1993,"56-75 mm",1119436227.61939,559382882.931599
1994,"56-75 mm",1370882198.21041,1060317280.82926
1995,"56-75 mm",1787868149.18215,1223672327.12625
1996,"56-75 mm",1167702906.3763,759316214.978012
1997,"56-75 mm",498489005.056656,379334352.079269
1998,"56-75 mm",268833640.285607,192631640.519571
1999,"56-75 mm",157338857.732146,118399238.013175
2000,"56-75 mm",331680996.582421,248587523.800686
2001,"56-75 mm",805725278.232117,607447708.915849
2002,"56-75 mm",237290538.044711,185755657.616171
2003,"56-75 mm",267362939.138525,218372781.263407
2004,"56-75 mm",393989850.722103,296168183.184813
2005,"56-75 mm",861962978.325025,580417776.976763
2006,"56-75 mm",469088300.734118,327321732.867923
2007,"56-75 mm",466941527.055457,311490315.408693
2008,"56-75 mm",484048575.950504,320757576.3638
2009,"56-75 mm",265580021.633083,182495200.04514
2010,"56-75 mm",471763924.045609,292553436.534365
2011,"56-75 mm",742107979.224612,488194970.015033
2012,"56-75 mm",558499317.743038,365742109.947462
2013,"56-75 mm",328167192.518813,222050082.476969
2014,"56-75 mm",589289351.199371,367058795.974673
2015,"56-75 mm",286893397.927794,209275635.057758
2016,"56-75 mm",230967706.638702,147633860.672181
2017,"56-75 mm",728590070.297874,494627741.63903
2018,"56-75 mm",2185989193.06041,1297703412.67024
2019,"56-75 mm",1093695068.27836,663794967.620958
2021,"56-75 mm",75778091.3749152,44979909.0054854
2022,"56-75 mm",90999582.7060918,69032685.9125881
2023,"56-75 mm",125089432.943703,88551112.822585
2024,"56-75 mm",546583611.678976,399162908.57205
2025,"56-75 mm",1106788090.06383,715749778.855399
2026,"56-75 mm",875482413.005256,618529334.390762
1982,"76-99 mm",595154544.854043,317969484.916194
1983,"76-99 mm",468345502.481992,243929683.365232
1984,"76-99 mm",339154259.932905,172686166.274762
1985,"76-99 mm",123169033.776026,63110119.6351676
1986,"76-99 mm",140593501.892948,73455399.3013139
1987,"76-99 mm",385116837.538487,200435207.636756
1988,"76-99 mm",556333401.520559,294170446.396485
1989,"76-99 mm",795458447.460177,469983786.829516
1990,"76-99 mm",942549270.25905,563923488.999263
1991,"76-99 mm",653902693.84165,417415853.218726
1992,"76-99 mm",311790313.596229,157325298.924698
1993,"76-99 mm",248808839.658848,79765243.4305959
1994,"76-99 mm",294400099.276988,188596117.708527
1995,"76-99 mm",532330717.778796,300265474.102643
1996,"76-99 mm",868921697.750376,492808419.977391
1997,"76-99 mm",675820169.672312,437198798.253686
1998,"76-99 mm",294575579.26905,155575397.559674
1999,"76-99 mm",111777868.785153,56199068.9330471
2000,"76-99 mm",124072132.712203,62261544.6662788
2001,"76-99 mm",279209817.362107,176168634.449614
2002,"76-99 mm",227282465.493532,134834373.343695
2003,"76-99 mm",148782042.677237,102930021.272385
2004,"76-99 mm",97723381.8462628,53039115.9002426
2005,"76-99 mm",271786609.102717,130099389.314608
2006,"76-99 mm",266731967.54202,134971542.747659
2007,"76-99 mm",315079387.884597,173429932.037997
2008,"76-99 mm",238154987.981904,116331428.5301
2009,"76-99 mm",251633366.379372,152230327.45923
2010,"76-99 mm",159222761.371396,76888686.2973785
