"year","recruit_abundance"
1982,245829554.649797
1983,149692115.911707
1984,249581933.743963
1985,77393320.1455624
1986,228177403.510469
1987,937521759.076878
1988,981497548.372139
1989,603286844.577453
1990,411976131.576979
1991,686509149.752634
1992,839243677.295876
1993,1471543875.94071
1994,1000405573.91538
1995,897226575.207736
1996,250974077.818074
1997,102987780.023422
1998,183455163.863175
1999,74827194.6101618
2000,266354472.342666
2001,174652059.846049
2002,88583066.7638077
2003,322724856.585819
2004,311080644.299685
2005,446576691.417344
2006,158062550.546288
2007,355153630.753666
2008,99801699.1987981
2009,218402200.285007
2010,1046627530.15053
2011,422743115.735062
2012,225995732.444195
2013,236434673.659993
2014,378288303.810372
2015,210042786.592138
2016,596681217.762553
2017,1024214916.6934
2018,2138108064.04232
2019,281169091.143804
2021,9578733.34617767
2022,176646460.926161
2023,154443546.810002
2024,787145438.338263
2025,734033601.414114
2026,304473139.976959
