crab_year,gear,bycatch_n
1985,"NON PELAGIC",6
1986,"NON PELAGIC",153
1987,"LONGLINER",13
1987,"NON PELAGIC",9915
1988,"NON PELAGIC",4478
1988,"PELAGIC",2361
1989,"LONGLINER",568
1989,"NON PELAGIC",342599
1989,"PELAGIC",11463
1989,"POT OR TRAP",1
1990,"LONGLINER",17838
1990,"NON PELAGIC",1981823
1990,"PELAGIC",507737
1990,"POT OR TRAP",10146
1991,"LONGLINER",55881
1991,"NON PELAGIC",3633484
1991,"PAIR TRAWL",3
1991,"PELAGIC",2745977
1991,"POT OR TRAP",30860
1992,"LONGLINER",111590
1992,"NON PELAGIC",13143194
1992,"PELAGIC",1259180
1992,"POT OR TRAP",25787
1992,"SHRIMP TRAWL",1234
1993,"LONGLINER",57689
1993,"NON PELAGIC",11354058
1993,"PAIR TRAWL",1
1993,"PELAGIC",187779
1993,"POT OR TRAP",275
1994,"LONGLINER",49627
1994,"NON PELAGIC",6113146
1994,"PELAGIC",133520
1994,"POT OR TRAP",612
1995,"LONGLINER",37686
1995,"NON PELAGIC",3330692
1995,"PELAGIC",29004
1995,"POT OR TRAP",18224
1996,"LONGLINER",56699
1996,"NON PELAGIC",2291754
1996,"PAIR TRAWL",41
1996,"PELAGIC",31113
1996,"POT OR TRAP",64101
1997,"LONGLINER",91562
1997,"NON PELAGIC",2852790
1997,"PELAGIC",18157
1997,"POT OR TRAP",21323
1998,"LONGLINER",54809
1998,"NON PELAGIC",1473480
1998,"PELAGIC",12356
1998,"POT OR TRAP",143829
1999,"LONGLINER",44687
1999,"NON PELAGIC",1180859
1999,"PELAGIC",435
1999,"POT OR TRAP",29499
2000,"LONGLINER",46900
2000,"NON PELAGIC",1136981
2000,"PELAGIC",997
2000,"POT OR TRAP",6219
2001,"LONGLINER",42166
2001,"NON PELAGIC",777679
2001,"PELAGIC",657
2001,"POT OR TRAP",35623
2002,"LONGLINER",55434
2002,"NON PELAGIC",433847
2002,"PELAGIC",839
2002,"POT OR TRAP",23772
2003,"LONGLINER",31929
2003,"NON PELAGIC",1266937
2003,"PELAGIC",847
2003,"POT OR TRAP",11945
2004,"LONGLINER",34478
2004,"NON PELAGIC",2277333
2004,"PELAGIC",1158
2004,"POT OR TRAP",85315
2005,"LONGLINER",35673
2005,"NON PELAGIC",708942
2005,"PELAGIC",1314
2005,"POT OR TRAP",57870
2006,"LONGLINER",33247
2006,"NON PELAGIC",1135765
2006,"PELAGIC",2776
2006,"POT OR TRAP",264155
2007,"LONGLINER",28102
2007,"NON PELAGIC",644652
2007,"PELAGIC",2812
2007,"POT OR TRAP",186534
2008,"LONGLINER",34089
2008,"NON PELAGIC",707359
2008,"PELAGIC",5141
2008,"POT OR TRAP",48131
2009,"LONGLINER",25619
2009,"NON PELAGIC",1710505
2009,"PAIR TRAWL",7032
2009,"PELAGIC",3138
2009,"POT OR TRAP",347234
2010,"LONGLINER",23023
2010,"NON PELAGIC",563717
2010,"PAIR TRAWL",8637
2010,"PELAGIC",3888
2010,"POT OR TRAP",47922
2011,"LONGLINER",23920
2011,"NON PELAGIC",593590
2011,"PELAGIC",4986
2011,"POT OR TRAP",4869
2012,"LONGLINER",17564
2012,"NON PELAGIC",864492
2012,"PELAGIC",4100
2012,"POT OR TRAP",1997
2013,"LONGLINER",20361
2013,"NON PELAGIC",351599
2013,"PELAGIC",3151
2013,"POT OR TRAP",7668
2014,"LONGLINER",19408
2014,"NON PELAGIC",404781
2014,"PELAGIC",3103
2014,"POT OR TRAP",13104
2015,"LONGLINER",21155
2015,"NON PELAGIC",396068
2015,"PELAGIC",2865
2015,"POT OR TRAP",6998
2016,"LONGLINER",19339
2016,"NON PELAGIC",189418
2016,"PELAGIC",679
2016,"POT OR TRAP",7242
2017,"LONGLINER",19894
2017,"NON PELAGIC",137109
2017,"PELAGIC",62
2017,"POT OR TRAP",19917
2018,"LONGLINER",11905
2018,"NON PELAGIC",1701188
2018,"PELAGIC",274
2018,"POT OR TRAP",15057
2019,"LONGLINER",11211
2019,"NON PELAGIC",1415617
2019,"PELAGIC",123
2019,"POT OR TRAP",14453
2020,"LONGLINER",12708
2020,"NON PELAGIC",270324
2020,"PELAGIC",1679
2020,"POT OR TRAP",21151
2021,"LONGLINER",11802
2021,"NON PELAGIC",234107
2021,"PELAGIC",417
2021,"POT OR TRAP",14239
2022,"LONGLINER",13197
2022,"NON PELAGIC",169817
2022,"PELAGIC",48
2022,"POT OR TRAP",11636
2023,"LONGLINER",18065
2023,"NON PELAGIC",956288
2023,"PELAGIC",50
2023,"POT OR TRAP",1089
2024,"LONGLINER",15076
2024,"NON PELAGIC",407288
2024,"PELAGIC",143
2024,"POT OR TRAP",11701
2025,"LONGLINER",16078
2025,"NON PELAGIC",432831
2025,"PELAGIC",324
2025,"POT OR TRAP",16604
2026,"LONGLINER",39
2026,"PELAGIC",69
